Country,Cases,Date
Afghanistan,1,2020-02-24T00:00:00Z
Afghanistan,1,2020-02-25T00:00:00Z
Afghanistan,1,2020-02-26T00:00:00Z
Afghanistan,1,2020-02-27T00:00:00Z
Afghanistan,1,2020-02-28T00:00:00Z
Afghanistan,1,2020-02-29T00:00:00Z
Afghanistan,1,2020-03-01T00:00:00Z
Afghanistan,1,2020-03-02T00:00:00Z
Afghanistan,1,2020-03-03T00:00:00Z
Afghanistan,1,2020-03-04T00:00:00Z
Afghanistan,1,2020-03-05T00:00:00Z
Afghanistan,1,2020-03-06T00:00:00Z
Afghanistan,1,2020-03-07T00:00:00Z
Afghanistan,4,2020-03-08T00:00:00Z
Afghanistan,4,2020-03-09T00:00:00Z
Afghanistan,5,2020-03-10T00:00:00Z
Afghanistan,7,2020-03-11T00:00:00Z
Afghanistan,7,2020-03-12T00:00:00Z
Afghanistan,7,2020-03-13T00:00:00Z
Afghanistan,11,2020-03-14T00:00:00Z
Afghanistan,16,2020-03-15T00:00:00Z
Afghanistan,21,2020-03-16T00:00:00Z
Afghanistan,22,2020-03-17T00:00:00Z
Afghanistan,22,2020-03-18T00:00:00Z
Afghanistan,22,2020-03-19T00:00:00Z
Afghanistan,24,2020-03-20T00:00:00Z
Afghanistan,24,2020-03-21T00:00:00Z
Afghanistan,40,2020-03-22T00:00:00Z
Afghanistan,40,2020-03-23T00:00:00Z
Afghanistan,74,2020-03-24T00:00:00Z
Afghanistan,84,2020-03-25T00:00:00Z
Afghanistan,94,2020-03-26T00:00:00Z
Afghanistan,110,2020-03-27T00:00:00Z
Afghanistan,110,2020-03-28T00:00:00Z
Afghanistan,120,2020-03-29T00:00:00Z
Afghanistan,170,2020-03-30T00:00:00Z
Afghanistan,174,2020-03-31T00:00:00Z
Afghanistan,237,2020-04-01T00:00:00Z
Afghanistan,273,2020-04-02T00:00:00Z
Afghanistan,281,2020-04-03T00:00:00Z
Afghanistan,299,2020-04-04T00:00:00Z
Afghanistan,349,2020-04-05T00:00:00Z
Afghanistan,367,2020-04-06T00:00:00Z
Afghanistan,423,2020-04-07T00:00:00Z
Afghanistan,444,2020-04-08T00:00:00Z
Afghanistan,484,2020-04-09T00:00:00Z
Afghanistan,521,2020-04-10T00:00:00Z
Afghanistan,555,2020-04-11T00:00:00Z
Afghanistan,607,2020-04-12T00:00:00Z
Afghanistan,665,2020-04-13T00:00:00Z
Afghanistan,714,2020-04-14T00:00:00Z
Afghanistan,784,2020-04-15T00:00:00Z
Afghanistan,840,2020-04-16T00:00:00Z
Afghanistan,906,2020-04-17T00:00:00Z
Afghanistan,933,2020-04-18T00:00:00Z
Afghanistan,996,2020-04-19T00:00:00Z
Afghanistan,1026,2020-04-20T00:00:00Z
Afghanistan,1092,2020-04-21T00:00:00Z
Afghanistan,1176,2020-04-22T00:00:00Z
Afghanistan,1279,2020-04-23T00:00:00Z
Afghanistan,1351,2020-04-24T00:00:00Z
Afghanistan,1463,2020-04-25T00:00:00Z
Afghanistan,1531,2020-04-26T00:00:00Z
Afghanistan,1703,2020-04-27T00:00:00Z
Afghanistan,1828,2020-04-28T00:00:00Z
Afghanistan,1939,2020-04-29T00:00:00Z
Afghanistan,2171,2020-04-30T00:00:00Z
Afghanistan,2335,2020-05-01T00:00:00Z
Afghanistan,2469,2020-05-02T00:00:00Z
Afghanistan,2704,2020-05-03T00:00:00Z
Afghanistan,2894,2020-05-04T00:00:00Z
Afghanistan,3224,2020-05-05T00:00:00Z
Afghanistan,3392,2020-05-06T00:00:00Z
Afghanistan,3563,2020-05-07T00:00:00Z
Afghanistan,3778,2020-05-08T00:00:00Z
Afghanistan,4033,2020-05-09T00:00:00Z
Afghanistan,4402,2020-05-10T00:00:00Z
Afghanistan,4687,2020-05-11T00:00:00Z
Afghanistan,4963,2020-05-12T00:00:00Z
Afghanistan,5226,2020-05-13T00:00:00Z
Afghanistan,5639,2020-05-14T00:00:00Z
Afghanistan,6053,2020-05-15T00:00:00Z
Afghanistan,6402,2020-05-16T00:00:00Z
