Country,Cases,Date
Albania,2,2020-03-09T00:00:00Z
Albania,10,2020-03-10T00:00:00Z
Albania,12,2020-03-11T00:00:00Z
Albania,23,2020-03-12T00:00:00Z
Albania,33,2020-03-13T00:00:00Z
Albania,38,2020-03-14T00:00:00Z
Albania,42,2020-03-15T00:00:00Z
Albania,51,2020-03-16T00:00:00Z
Albania,55,2020-03-17T00:00:00Z
Albania,59,2020-03-18T00:00:00Z
Albania,64,2020-03-19T00:00:00Z
Albania,70,2020-03-20T00:00:00Z
Albania,76,2020-03-21T00:00:00Z
Albania,89,2020-03-22T00:00:00Z
Albania,104,2020-03-23T00:00:00Z
Albania,123,2020-03-24T00:00:00Z
Albania,146,2020-03-25T00:00:00Z
Albania,174,2020-03-26T00:00:00Z
Albania,186,2020-03-27T00:00:00Z
Albania,197,2020-03-28T00:00:00Z
Albania,212,2020-03-29T00:00:00Z
Albania,223,2020-03-30T00:00:00Z
Albania,243,2020-03-31T00:00:00Z
Albania,259,2020-04-01T00:00:00Z
Albania,277,2020-04-02T00:00:00Z
Albania,304,2020-04-03T00:00:00Z
Albania,333,2020-04-04T00:00:00Z
Albania,361,2020-04-05T00:00:00Z
Albania,377,2020-04-06T00:00:00Z
Albania,383,2020-04-07T00:00:00Z
Albania,400,2020-04-08T00:00:00Z
Albania,409,2020-04-09T00:00:00Z
Albania,416,2020-04-10T00:00:00Z
Albania,433,2020-04-11T00:00:00Z
Albania,446,2020-04-12T00:00:00Z
Albania,467,2020-04-13T00:00:00Z
Albania,475,2020-04-14T00:00:00Z
Albania,494,2020-04-15T00:00:00Z
Albania,518,2020-04-16T00:00:00Z
Albania,539,2020-04-17T00:00:00Z
Albania,548,2020-04-18T00:00:00Z
Albania,562,2020-04-19T00:00:00Z
Albania,584,2020-04-20T00:00:00Z
Albania,609,2020-04-21T00:00:00Z
Albania,634,2020-04-22T00:00:00Z
Albania,663,2020-04-23T00:00:00Z
Albania,678,2020-04-24T00:00:00Z
Albania,712,2020-04-25T00:00:00Z
Albania,726,2020-04-26T00:00:00Z
Albania,736,2020-04-27T00:00:00Z
Albania,750,2020-04-28T00:00:00Z
Albania,766,2020-04-29T00:00:00Z
Albania,773,2020-04-30T00:00:00Z
Albania,782,2020-05-01T00:00:00Z
Albania,789,2020-05-02T00:00:00Z
Albania,795,2020-05-03T00:00:00Z
Albania,803,2020-05-04T00:00:00Z
Albania,820,2020-05-05T00:00:00Z
Albania,832,2020-05-06T00:00:00Z
Albania,842,2020-05-07T00:00:00Z
Albania,850,2020-05-08T00:00:00Z
Albania,856,2020-05-09T00:00:00Z
Albania,868,2020-05-10T00:00:00Z
Albania,872,2020-05-11T00:00:00Z
Albania,876,2020-05-12T00:00:00Z
Albania,880,2020-05-13T00:00:00Z
Albania,898,2020-05-14T00:00:00Z
Albania,916,2020-05-15T00:00:00Z
Albania,933,2020-05-16T00:00:00Z
