Country,Cases,Date
Algeria,1,2020-02-25T00:00:00Z
Algeria,1,2020-02-26T00:00:00Z
Algeria,1,2020-02-27T00:00:00Z
Algeria,1,2020-02-28T00:00:00Z
Algeria,1,2020-02-29T00:00:00Z
Algeria,1,2020-03-01T00:00:00Z
Algeria,3,2020-03-02T00:00:00Z
Algeria,5,2020-03-03T00:00:00Z
Algeria,12,2020-03-04T00:00:00Z
Algeria,12,2020-03-05T00:00:00Z
Algeria,17,2020-03-06T00:00:00Z
Algeria,17,2020-03-07T00:00:00Z
Algeria,19,2020-03-08T00:00:00Z
Algeria,20,2020-03-09T00:00:00Z
Algeria,20,2020-03-10T00:00:00Z
Algeria,20,2020-03-11T00:00:00Z
Algeria,24,2020-03-12T00:00:00Z
Algeria,26,2020-03-13T00:00:00Z
Algeria,37,2020-03-14T00:00:00Z
Algeria,48,2020-03-15T00:00:00Z
Algeria,54,2020-03-16T00:00:00Z
Algeria,60,2020-03-17T00:00:00Z
Algeria,74,2020-03-18T00:00:00Z
Algeria,87,2020-03-19T00:00:00Z
Algeria,90,2020-03-20T00:00:00Z
Algeria,139,2020-03-21T00:00:00Z
Algeria,201,2020-03-22T00:00:00Z
Algeria,230,2020-03-23T00:00:00Z
Algeria,264,2020-03-24T00:00:00Z
Algeria,302,2020-03-25T00:00:00Z
Algeria,367,2020-03-26T00:00:00Z
Algeria,409,2020-03-27T00:00:00Z
Algeria,454,2020-03-28T00:00:00Z
Algeria,511,2020-03-29T00:00:00Z
Algeria,584,2020-03-30T00:00:00Z
Algeria,716,2020-03-31T00:00:00Z
Algeria,847,2020-04-01T00:00:00Z
Algeria,986,2020-04-02T00:00:00Z
Algeria,1171,2020-04-03T00:00:00Z
Algeria,1251,2020-04-04T00:00:00Z
Algeria,1320,2020-04-05T00:00:00Z
Algeria,1423,2020-04-06T00:00:00Z
Algeria,1468,2020-04-07T00:00:00Z
Algeria,1572,2020-04-08T00:00:00Z
Algeria,1666,2020-04-09T00:00:00Z
Algeria,1761,2020-04-10T00:00:00Z
Algeria,1825,2020-04-11T00:00:00Z
Algeria,1914,2020-04-12T00:00:00Z
Algeria,1983,2020-04-13T00:00:00Z
Algeria,2070,2020-04-14T00:00:00Z
Algeria,2160,2020-04-15T00:00:00Z
Algeria,2268,2020-04-16T00:00:00Z
Algeria,2418,2020-04-17T00:00:00Z
Algeria,2534,2020-04-18T00:00:00Z
Algeria,2629,2020-04-19T00:00:00Z
Algeria,2718,2020-04-20T00:00:00Z
Algeria,2811,2020-04-21T00:00:00Z
Algeria,2910,2020-04-22T00:00:00Z
Algeria,3007,2020-04-23T00:00:00Z
Algeria,3127,2020-04-24T00:00:00Z
Algeria,3256,2020-04-25T00:00:00Z
Algeria,3382,2020-04-26T00:00:00Z
Algeria,3517,2020-04-27T00:00:00Z
Algeria,3649,2020-04-28T00:00:00Z
Algeria,3848,2020-04-29T00:00:00Z
Algeria,4006,2020-04-30T00:00:00Z
Algeria,4154,2020-05-01T00:00:00Z
Algeria,4295,2020-05-02T00:00:00Z
Algeria,4474,2020-05-03T00:00:00Z
Algeria,4648,2020-05-04T00:00:00Z
Algeria,4838,2020-05-05T00:00:00Z
Algeria,4997,2020-05-06T00:00:00Z
Algeria,5182,2020-05-07T00:00:00Z
Algeria,5369,2020-05-08T00:00:00Z
Algeria,5558,2020-05-09T00:00:00Z
Algeria,5723,2020-05-10T00:00:00Z
Algeria,5891,2020-05-11T00:00:00Z
Algeria,6067,2020-05-12T00:00:00Z
Algeria,6253,2020-05-13T00:00:00Z
Algeria,6442,2020-05-14T00:00:00Z
Algeria,6629,2020-05-15T00:00:00Z
Algeria,6821,2020-05-16T00:00:00Z
