Country,Cases,Date
Andorra,1,2020-03-02T00:00:00Z
Andorra,1,2020-03-03T00:00:00Z
Andorra,1,2020-03-04T00:00:00Z
Andorra,1,2020-03-05T00:00:00Z
Andorra,1,2020-03-06T00:00:00Z
Andorra,1,2020-03-07T00:00:00Z
Andorra,1,2020-03-08T00:00:00Z
Andorra,1,2020-03-09T00:00:00Z
Andorra,1,2020-03-10T00:00:00Z
Andorra,1,2020-03-11T00:00:00Z
Andorra,1,2020-03-12T00:00:00Z
Andorra,1,2020-03-13T00:00:00Z
Andorra,1,2020-03-14T00:00:00Z
Andorra,1,2020-03-15T00:00:00Z
Andorra,2,2020-03-16T00:00:00Z
Andorra,39,2020-03-17T00:00:00Z
Andorra,39,2020-03-18T00:00:00Z
Andorra,53,2020-03-19T00:00:00Z
Andorra,75,2020-03-20T00:00:00Z
Andorra,88,2020-03-21T00:00:00Z
Andorra,113,2020-03-22T00:00:00Z
Andorra,133,2020-03-23T00:00:00Z
Andorra,164,2020-03-24T00:00:00Z
Andorra,188,2020-03-25T00:00:00Z
Andorra,224,2020-03-26T00:00:00Z
Andorra,267,2020-03-27T00:00:00Z
Andorra,308,2020-03-28T00:00:00Z
Andorra,334,2020-03-29T00:00:00Z
Andorra,370,2020-03-30T00:00:00Z
Andorra,376,2020-03-31T00:00:00Z
Andorra,390,2020-04-01T00:00:00Z
Andorra,428,2020-04-02T00:00:00Z
Andorra,439,2020-04-03T00:00:00Z
Andorra,466,2020-04-04T00:00:00Z
Andorra,501,2020-04-05T00:00:00Z
Andorra,525,2020-04-06T00:00:00Z
Andorra,545,2020-04-07T00:00:00Z
Andorra,564,2020-04-08T00:00:00Z
Andorra,583,2020-04-09T00:00:00Z
Andorra,601,2020-04-10T00:00:00Z
Andorra,601,2020-04-11T00:00:00Z
Andorra,638,2020-04-12T00:00:00Z
Andorra,646,2020-04-13T00:00:00Z
Andorra,659,2020-04-14T00:00:00Z
Andorra,673,2020-04-15T00:00:00Z
Andorra,673,2020-04-16T00:00:00Z
Andorra,696,2020-04-17T00:00:00Z
Andorra,704,2020-04-18T00:00:00Z
Andorra,713,2020-04-19T00:00:00Z
Andorra,717,2020-04-20T00:00:00Z
Andorra,717,2020-04-21T00:00:00Z
Andorra,723,2020-04-22T00:00:00Z
Andorra,723,2020-04-23T00:00:00Z
Andorra,731,2020-04-24T00:00:00Z
Andorra,738,2020-04-25T00:00:00Z
Andorra,738,2020-04-26T00:00:00Z
Andorra,743,2020-04-27T00:00:00Z
Andorra,743,2020-04-28T00:00:00Z
Andorra,743,2020-04-29T00:00:00Z
Andorra,745,2020-04-30T00:00:00Z
Andorra,745,2020-05-01T00:00:00Z
Andorra,747,2020-05-02T00:00:00Z
Andorra,748,2020-05-03T00:00:00Z
Andorra,750,2020-05-04T00:00:00Z
Andorra,751,2020-05-05T00:00:00Z
Andorra,751,2020-05-06T00:00:00Z
Andorra,752,2020-05-07T00:00:00Z
Andorra,752,2020-05-08T00:00:00Z
Andorra,754,2020-05-09T00:00:00Z
Andorra,755,2020-05-10T00:00:00Z
Andorra,755,2020-05-11T00:00:00Z
Andorra,758,2020-05-12T00:00:00Z
Andorra,760,2020-05-13T00:00:00Z
Andorra,761,2020-05-14T00:00:00Z
Andorra,761,2020-05-15T00:00:00Z
Andorra,761,2020-05-16T00:00:00Z
