Country,Cases,Date
Argentina,1,2020-03-03T00:00:00Z
Argentina,1,2020-03-04T00:00:00Z
Argentina,1,2020-03-05T00:00:00Z
Argentina,2,2020-03-06T00:00:00Z
Argentina,8,2020-03-07T00:00:00Z
Argentina,12,2020-03-08T00:00:00Z
Argentina,12,2020-03-09T00:00:00Z
Argentina,17,2020-03-10T00:00:00Z
Argentina,19,2020-03-11T00:00:00Z
Argentina,19,2020-03-12T00:00:00Z
Argentina,31,2020-03-13T00:00:00Z
Argentina,34,2020-03-14T00:00:00Z
Argentina,45,2020-03-15T00:00:00Z
Argentina,56,2020-03-16T00:00:00Z
Argentina,68,2020-03-17T00:00:00Z
Argentina,79,2020-03-18T00:00:00Z
Argentina,97,2020-03-19T00:00:00Z
Argentina,128,2020-03-20T00:00:00Z
Argentina,158,2020-03-21T00:00:00Z
Argentina,266,2020-03-22T00:00:00Z
Argentina,301,2020-03-23T00:00:00Z
Argentina,387,2020-03-24T00:00:00Z
Argentina,387,2020-03-25T00:00:00Z
Argentina,502,2020-03-26T00:00:00Z
Argentina,589,2020-03-27T00:00:00Z
Argentina,690,2020-03-28T00:00:00Z
Argentina,745,2020-03-29T00:00:00Z
Argentina,820,2020-03-30T00:00:00Z
Argentina,1054,2020-03-31T00:00:00Z
Argentina,1054,2020-04-01T00:00:00Z
Argentina,1133,2020-04-02T00:00:00Z
Argentina,1265,2020-04-03T00:00:00Z
Argentina,1451,2020-04-04T00:00:00Z
Argentina,1451,2020-04-05T00:00:00Z
Argentina,1554,2020-04-06T00:00:00Z
Argentina,1628,2020-04-07T00:00:00Z
Argentina,1715,2020-04-08T00:00:00Z
Argentina,1795,2020-04-09T00:00:00Z
Argentina,1975,2020-04-10T00:00:00Z
Argentina,1975,2020-04-11T00:00:00Z
Argentina,2142,2020-04-12T00:00:00Z
Argentina,2208,2020-04-13T00:00:00Z
Argentina,2277,2020-04-14T00:00:00Z
Argentina,2443,2020-04-15T00:00:00Z
Argentina,2571,2020-04-16T00:00:00Z
Argentina,2669,2020-04-17T00:00:00Z
Argentina,2758,2020-04-18T00:00:00Z
Argentina,2839,2020-04-19T00:00:00Z
Argentina,2941,2020-04-20T00:00:00Z
Argentina,3031,2020-04-21T00:00:00Z
Argentina,3144,2020-04-22T00:00:00Z
Argentina,3435,2020-04-23T00:00:00Z
Argentina,3607,2020-04-24T00:00:00Z
Argentina,3780,2020-04-25T00:00:00Z
Argentina,3892,2020-04-26T00:00:00Z
Argentina,4003,2020-04-27T00:00:00Z
Argentina,4127,2020-04-28T00:00:00Z
Argentina,4285,2020-04-29T00:00:00Z
Argentina,4428,2020-04-30T00:00:00Z
Argentina,4532,2020-05-01T00:00:00Z
Argentina,4681,2020-05-02T00:00:00Z
Argentina,4783,2020-05-03T00:00:00Z
Argentina,4887,2020-05-04T00:00:00Z
Argentina,5020,2020-05-05T00:00:00Z
Argentina,5208,2020-05-06T00:00:00Z
Argentina,5371,2020-05-07T00:00:00Z
Argentina,5611,2020-05-08T00:00:00Z
Argentina,5776,2020-05-09T00:00:00Z
Argentina,6034,2020-05-10T00:00:00Z
Argentina,6278,2020-05-11T00:00:00Z
Argentina,6563,2020-05-12T00:00:00Z
Argentina,6879,2020-05-13T00:00:00Z
Argentina,7134,2020-05-14T00:00:00Z
Argentina,7479,2020-05-15T00:00:00Z
Argentina,7805,2020-05-16T00:00:00Z
