Country,Cases,Date
Armenia,1,2020-03-01T00:00:00Z
Armenia,1,2020-03-02T00:00:00Z
Armenia,1,2020-03-03T00:00:00Z
Armenia,1,2020-03-04T00:00:00Z
Armenia,1,2020-03-05T00:00:00Z
Armenia,1,2020-03-06T00:00:00Z
Armenia,1,2020-03-07T00:00:00Z
Armenia,1,2020-03-08T00:00:00Z
Armenia,1,2020-03-09T00:00:00Z
Armenia,1,2020-03-10T00:00:00Z
Armenia,1,2020-03-11T00:00:00Z
Armenia,4,2020-03-12T00:00:00Z
Armenia,8,2020-03-13T00:00:00Z
Armenia,18,2020-03-14T00:00:00Z
Armenia,26,2020-03-15T00:00:00Z
Armenia,52,2020-03-16T00:00:00Z
Armenia,78,2020-03-17T00:00:00Z
Armenia,84,2020-03-18T00:00:00Z
Armenia,115,2020-03-19T00:00:00Z
Armenia,136,2020-03-20T00:00:00Z
Armenia,160,2020-03-21T00:00:00Z
Armenia,194,2020-03-22T00:00:00Z
Armenia,235,2020-03-23T00:00:00Z
Armenia,249,2020-03-24T00:00:00Z
Armenia,265,2020-03-25T00:00:00Z
Armenia,290,2020-03-26T00:00:00Z
Armenia,329,2020-03-27T00:00:00Z
Armenia,407,2020-03-28T00:00:00Z
Armenia,424,2020-03-29T00:00:00Z
Armenia,482,2020-03-30T00:00:00Z
Armenia,532,2020-03-31T00:00:00Z
Armenia,571,2020-04-01T00:00:00Z
Armenia,663,2020-04-02T00:00:00Z
Armenia,736,2020-04-03T00:00:00Z
Armenia,770,2020-04-04T00:00:00Z
Armenia,822,2020-04-05T00:00:00Z
Armenia,833,2020-04-06T00:00:00Z
Armenia,853,2020-04-07T00:00:00Z
Armenia,881,2020-04-08T00:00:00Z
Armenia,921,2020-04-09T00:00:00Z
Armenia,937,2020-04-10T00:00:00Z
Armenia,967,2020-04-11T00:00:00Z
Armenia,1013,2020-04-12T00:00:00Z
Armenia,1039,2020-04-13T00:00:00Z
Armenia,1067,2020-04-14T00:00:00Z
Armenia,1111,2020-04-15T00:00:00Z
Armenia,1159,2020-04-16T00:00:00Z
Armenia,1201,2020-04-17T00:00:00Z
Armenia,1248,2020-04-18T00:00:00Z
Armenia,1291,2020-04-19T00:00:00Z
Armenia,1339,2020-04-20T00:00:00Z
Armenia,1401,2020-04-21T00:00:00Z
Armenia,1473,2020-04-22T00:00:00Z
Armenia,1523,2020-04-23T00:00:00Z
Armenia,1596,2020-04-24T00:00:00Z
Armenia,1677,2020-04-25T00:00:00Z
Armenia,1746,2020-04-26T00:00:00Z
Armenia,1808,2020-04-27T00:00:00Z
Armenia,1867,2020-04-28T00:00:00Z
Armenia,1932,2020-04-29T00:00:00Z
Armenia,2066,2020-04-30T00:00:00Z
Armenia,2148,2020-05-01T00:00:00Z
Armenia,2273,2020-05-02T00:00:00Z
Armenia,2386,2020-05-03T00:00:00Z
Armenia,2507,2020-05-04T00:00:00Z
Armenia,2619,2020-05-05T00:00:00Z
Armenia,2782,2020-05-06T00:00:00Z
Armenia,2884,2020-05-07T00:00:00Z
Armenia,3029,2020-05-08T00:00:00Z
Armenia,3175,2020-05-09T00:00:00Z
Armenia,3313,2020-05-10T00:00:00Z
Armenia,3392,2020-05-11T00:00:00Z
Armenia,3538,2020-05-12T00:00:00Z
Armenia,3718,2020-05-13T00:00:00Z
Armenia,3860,2020-05-14T00:00:00Z
Armenia,4044,2020-05-15T00:00:00Z
Armenia,4283,2020-05-16T00:00:00Z
