Country,Cases,Date
Australia,4,2020-01-26T00:00:00Z
Australia,5,2020-01-27T00:00:00Z
Australia,5,2020-01-28T00:00:00Z
Australia,6,2020-01-29T00:00:00Z
Australia,9,2020-01-30T00:00:00Z
Australia,9,2020-01-31T00:00:00Z
Australia,12,2020-02-01T00:00:00Z
Australia,12,2020-02-02T00:00:00Z
Australia,12,2020-02-03T00:00:00Z
Australia,13,2020-02-04T00:00:00Z
Australia,13,2020-02-05T00:00:00Z
Australia,14,2020-02-06T00:00:00Z
Australia,15,2020-02-07T00:00:00Z
Australia,15,2020-02-08T00:00:00Z
Australia,15,2020-02-09T00:00:00Z
Australia,15,2020-02-10T00:00:00Z
Australia,15,2020-02-11T00:00:00Z
Australia,15,2020-02-12T00:00:00Z
Australia,15,2020-02-13T00:00:00Z
Australia,15,2020-02-14T00:00:00Z
Australia,15,2020-02-15T00:00:00Z
Australia,15,2020-02-16T00:00:00Z
Australia,15,2020-02-17T00:00:00Z
Australia,15,2020-02-18T00:00:00Z
Australia,15,2020-02-19T00:00:00Z
Australia,15,2020-02-20T00:00:00Z
Australia,15,2020-02-21T00:00:00Z
Australia,15,2020-02-22T00:00:00Z
Australia,15,2020-02-23T00:00:00Z
Australia,15,2020-02-24T00:00:00Z
Australia,15,2020-02-25T00:00:00Z
Australia,15,2020-02-26T00:00:00Z
Australia,15,2020-02-27T00:00:00Z
Australia,15,2020-02-28T00:00:00Z
Australia,25,2020-02-29T00:00:00Z
Australia,27,2020-03-01T00:00:00Z
Australia,30,2020-03-02T00:00:00Z
Australia,39,2020-03-03T00:00:00Z
Australia,52,2020-03-04T00:00:00Z
Australia,55,2020-03-05T00:00:00Z
Australia,60,2020-03-06T00:00:00Z
Australia,63,2020-03-07T00:00:00Z
Australia,76,2020-03-08T00:00:00Z
Australia,91,2020-03-09T00:00:00Z
Australia,107,2020-03-10T00:00:00Z
Australia,128,2020-03-11T00:00:00Z
Australia,128,2020-03-12T00:00:00Z
Australia,200,2020-03-13T00:00:00Z
Australia,250,2020-03-14T00:00:00Z
Australia,297,2020-03-15T00:00:00Z
Australia,377,2020-03-16T00:00:00Z
Australia,452,2020-03-17T00:00:00Z
Australia,568,2020-03-18T00:00:00Z
Australia,681,2020-03-19T00:00:00Z
Australia,791,2020-03-20T00:00:00Z
Australia,1071,2020-03-21T00:00:00Z
Australia,1549,2020-03-22T00:00:00Z
Australia,1682,2020-03-23T00:00:00Z
Australia,2044,2020-03-24T00:00:00Z
Australia,2364,2020-03-25T00:00:00Z
Australia,2810,2020-03-26T00:00:00Z
Australia,3143,2020-03-27T00:00:00Z
Australia,3640,2020-03-28T00:00:00Z
Australia,3984,2020-03-29T00:00:00Z
Australia,4361,2020-03-30T00:00:00Z
Australia,4559,2020-03-31T00:00:00Z
Australia,4862,2020-04-01T00:00:00Z
Australia,5116,2020-04-02T00:00:00Z
Australia,5330,2020-04-03T00:00:00Z
Australia,5550,2020-04-04T00:00:00Z
Australia,5687,2020-04-05T00:00:00Z
Australia,5797,2020-04-06T00:00:00Z
Australia,5895,2020-04-07T00:00:00Z
Australia,6010,2020-04-08T00:00:00Z
Australia,6108,2020-04-09T00:00:00Z
Australia,6215,2020-04-10T00:00:00Z
Australia,6303,2020-04-11T00:00:00Z
Australia,6315,2020-04-12T00:00:00Z
Australia,6351,2020-04-13T00:00:00Z
Australia,6415,2020-04-14T00:00:00Z
Australia,6440,2020-04-15T00:00:00Z
Australia,6462,2020-04-16T00:00:00Z
Australia,6522,2020-04-17T00:00:00Z
Australia,6568,2020-04-18T00:00:00Z
Australia,6610,2020-04-19T00:00:00Z
Australia,6623,2020-04-20T00:00:00Z
Australia,6645,2020-04-21T00:00:00Z
Australia,6652,2020-04-22T00:00:00Z
Australia,6662,2020-04-23T00:00:00Z
Australia,6677,2020-04-24T00:00:00Z
Australia,6694,2020-04-25T00:00:00Z
Australia,6714,2020-04-26T00:00:00Z
Australia,6721,2020-04-27T00:00:00Z
Australia,6744,2020-04-28T00:00:00Z
Australia,6752,2020-04-29T00:00:00Z
Australia,6766,2020-04-30T00:00:00Z
Australia,6778,2020-05-01T00:00:00Z
Australia,6799,2020-05-02T00:00:00Z
Australia,6822,2020-05-03T00:00:00Z
Australia,6847,2020-05-04T00:00:00Z
Australia,6875,2020-05-05T00:00:00Z
Australia,6894,2020-05-06T00:00:00Z
Australia,6913,2020-05-07T00:00:00Z
Australia,6918,2020-05-08T00:00:00Z
Australia,6939,2020-05-09T00:00:00Z
Australia,6948,2020-05-10T00:00:00Z
Australia,6970,2020-05-11T00:00:00Z
Australia,6980,2020-05-12T00:00:00Z
Australia,6989,2020-05-13T00:00:00Z
Australia,7019,2020-05-14T00:00:00Z
Australia,7035,2020-05-15T00:00:00Z
Australia,7044,2020-05-16T00:00:00Z
