Country,Cases,Date
Austria,2,2020-02-25T00:00:00Z
Austria,2,2020-02-26T00:00:00Z
Austria,3,2020-02-27T00:00:00Z
Austria,3,2020-02-28T00:00:00Z
Austria,9,2020-02-29T00:00:00Z
Austria,14,2020-03-01T00:00:00Z
Austria,18,2020-03-02T00:00:00Z
Austria,21,2020-03-03T00:00:00Z
Austria,29,2020-03-04T00:00:00Z
Austria,41,2020-03-05T00:00:00Z
Austria,55,2020-03-06T00:00:00Z
Austria,79,2020-03-07T00:00:00Z
Austria,104,2020-03-08T00:00:00Z
Austria,131,2020-03-09T00:00:00Z
Austria,182,2020-03-10T00:00:00Z
Austria,246,2020-03-11T00:00:00Z
Austria,302,2020-03-12T00:00:00Z
Austria,504,2020-03-13T00:00:00Z
Austria,655,2020-03-14T00:00:00Z
Austria,860,2020-03-15T00:00:00Z
Austria,1018,2020-03-16T00:00:00Z
Austria,1332,2020-03-17T00:00:00Z
Austria,1646,2020-03-18T00:00:00Z
Austria,2013,2020-03-19T00:00:00Z
Austria,2388,2020-03-20T00:00:00Z
Austria,2814,2020-03-21T00:00:00Z
Austria,3582,2020-03-22T00:00:00Z
Austria,4474,2020-03-23T00:00:00Z
Austria,5283,2020-03-24T00:00:00Z
Austria,5588,2020-03-25T00:00:00Z
Austria,6909,2020-03-26T00:00:00Z
Austria,7657,2020-03-27T00:00:00Z
Austria,8271,2020-03-28T00:00:00Z
Austria,8788,2020-03-29T00:00:00Z
Austria,9618,2020-03-30T00:00:00Z
Austria,10180,2020-03-31T00:00:00Z
Austria,10711,2020-04-01T00:00:00Z
Austria,11129,2020-04-02T00:00:00Z
Austria,11524,2020-04-03T00:00:00Z
Austria,11781,2020-04-04T00:00:00Z
Austria,12051,2020-04-05T00:00:00Z
Austria,12297,2020-04-06T00:00:00Z
Austria,12639,2020-04-07T00:00:00Z
Austria,12942,2020-04-08T00:00:00Z
Austria,13244,2020-04-09T00:00:00Z
Austria,13555,2020-04-10T00:00:00Z
Austria,13806,2020-04-11T00:00:00Z
Austria,13945,2020-04-12T00:00:00Z
Austria,14041,2020-04-13T00:00:00Z
Austria,14226,2020-04-14T00:00:00Z
Austria,14336,2020-04-15T00:00:00Z
Austria,14476,2020-04-16T00:00:00Z
Austria,14595,2020-04-17T00:00:00Z
Austria,14671,2020-04-18T00:00:00Z
Austria,14749,2020-04-19T00:00:00Z
Austria,14795,2020-04-20T00:00:00Z
Austria,14873,2020-04-21T00:00:00Z
Austria,14925,2020-04-22T00:00:00Z
Austria,15002,2020-04-23T00:00:00Z
Austria,15071,2020-04-24T00:00:00Z
Austria,15148,2020-04-25T00:00:00Z
Austria,15225,2020-04-26T00:00:00Z
Austria,15274,2020-04-27T00:00:00Z
Austria,15357,2020-04-28T00:00:00Z
Austria,15402,2020-04-29T00:00:00Z
Austria,15452,2020-04-30T00:00:00Z
Austria,15531,2020-05-01T00:00:00Z
Austria,15558,2020-05-02T00:00:00Z
Austria,15597,2020-05-03T00:00:00Z
Austria,15621,2020-05-04T00:00:00Z
Austria,15650,2020-05-05T00:00:00Z
Austria,15684,2020-05-06T00:00:00Z
Austria,15752,2020-05-07T00:00:00Z
Austria,15774,2020-05-08T00:00:00Z
Austria,15833,2020-05-09T00:00:00Z
Austria,15871,2020-05-10T00:00:00Z
Austria,15882,2020-05-11T00:00:00Z
Austria,15961,2020-05-12T00:00:00Z
Austria,15997,2020-05-13T00:00:00Z
Austria,16058,2020-05-14T00:00:00Z
Austria,16109,2020-05-15T00:00:00Z
Austria,16201,2020-05-16T00:00:00Z
