Country,Cases,Date
Bahrain,1,2020-02-24T00:00:00Z
Bahrain,23,2020-02-25T00:00:00Z
Bahrain,33,2020-02-26T00:00:00Z
Bahrain,33,2020-02-27T00:00:00Z
Bahrain,36,2020-02-28T00:00:00Z
Bahrain,41,2020-02-29T00:00:00Z
Bahrain,47,2020-03-01T00:00:00Z
Bahrain,49,2020-03-02T00:00:00Z
Bahrain,49,2020-03-03T00:00:00Z
Bahrain,52,2020-03-04T00:00:00Z
Bahrain,55,2020-03-05T00:00:00Z
Bahrain,60,2020-03-06T00:00:00Z
Bahrain,85,2020-03-07T00:00:00Z
Bahrain,85,2020-03-08T00:00:00Z
Bahrain,95,2020-03-09T00:00:00Z
Bahrain,110,2020-03-10T00:00:00Z
Bahrain,195,2020-03-11T00:00:00Z
Bahrain,195,2020-03-12T00:00:00Z
Bahrain,195,2020-03-13T00:00:00Z
Bahrain,210,2020-03-14T00:00:00Z
Bahrain,214,2020-03-15T00:00:00Z
Bahrain,214,2020-03-16T00:00:00Z
Bahrain,228,2020-03-17T00:00:00Z
Bahrain,256,2020-03-18T00:00:00Z
Bahrain,278,2020-03-19T00:00:00Z
Bahrain,285,2020-03-20T00:00:00Z
Bahrain,305,2020-03-21T00:00:00Z
Bahrain,334,2020-03-22T00:00:00Z
Bahrain,377,2020-03-23T00:00:00Z
Bahrain,392,2020-03-24T00:00:00Z
Bahrain,419,2020-03-25T00:00:00Z
Bahrain,458,2020-03-26T00:00:00Z
Bahrain,466,2020-03-27T00:00:00Z
Bahrain,476,2020-03-28T00:00:00Z
Bahrain,499,2020-03-29T00:00:00Z
Bahrain,515,2020-03-30T00:00:00Z
Bahrain,567,2020-03-31T00:00:00Z
Bahrain,569,2020-04-01T00:00:00Z
Bahrain,643,2020-04-02T00:00:00Z
Bahrain,672,2020-04-03T00:00:00Z
Bahrain,688,2020-04-04T00:00:00Z
Bahrain,700,2020-04-05T00:00:00Z
Bahrain,756,2020-04-06T00:00:00Z
Bahrain,811,2020-04-07T00:00:00Z
Bahrain,823,2020-04-08T00:00:00Z
Bahrain,887,2020-04-09T00:00:00Z
Bahrain,925,2020-04-10T00:00:00Z
Bahrain,1040,2020-04-11T00:00:00Z
Bahrain,1136,2020-04-12T00:00:00Z
Bahrain,1361,2020-04-13T00:00:00Z
Bahrain,1528,2020-04-14T00:00:00Z
Bahrain,1671,2020-04-15T00:00:00Z
Bahrain,1700,2020-04-16T00:00:00Z
Bahrain,1740,2020-04-17T00:00:00Z
Bahrain,1773,2020-04-18T00:00:00Z
Bahrain,1881,2020-04-19T00:00:00Z
Bahrain,1907,2020-04-20T00:00:00Z
Bahrain,1973,2020-04-21T00:00:00Z
Bahrain,2027,2020-04-22T00:00:00Z
Bahrain,2217,2020-04-23T00:00:00Z
Bahrain,2518,2020-04-24T00:00:00Z
Bahrain,2588,2020-04-25T00:00:00Z
Bahrain,2647,2020-04-26T00:00:00Z
Bahrain,2723,2020-04-27T00:00:00Z
Bahrain,2811,2020-04-28T00:00:00Z
Bahrain,2921,2020-04-29T00:00:00Z
Bahrain,3040,2020-04-30T00:00:00Z
Bahrain,3170,2020-05-01T00:00:00Z
Bahrain,3284,2020-05-02T00:00:00Z
Bahrain,3383,2020-05-03T00:00:00Z
Bahrain,3533,2020-05-04T00:00:00Z
Bahrain,3720,2020-05-05T00:00:00Z
Bahrain,3934,2020-05-06T00:00:00Z
Bahrain,4199,2020-05-07T00:00:00Z
Bahrain,4444,2020-05-08T00:00:00Z
Bahrain,4774,2020-05-09T00:00:00Z
Bahrain,4941,2020-05-10T00:00:00Z
Bahrain,5236,2020-05-11T00:00:00Z
Bahrain,5531,2020-05-12T00:00:00Z
Bahrain,5816,2020-05-13T00:00:00Z
Bahrain,6198,2020-05-14T00:00:00Z
Bahrain,6583,2020-05-15T00:00:00Z
Bahrain,6747,2020-05-16T00:00:00Z
