Country,Cases,Date
Bangladesh,3,2020-03-08T00:00:00Z
Bangladesh,3,2020-03-09T00:00:00Z
Bangladesh,3,2020-03-10T00:00:00Z
Bangladesh,3,2020-03-11T00:00:00Z
Bangladesh,3,2020-03-12T00:00:00Z
Bangladesh,3,2020-03-13T00:00:00Z
Bangladesh,3,2020-03-14T00:00:00Z
Bangladesh,5,2020-03-15T00:00:00Z
Bangladesh,8,2020-03-16T00:00:00Z
Bangladesh,10,2020-03-17T00:00:00Z
Bangladesh,14,2020-03-18T00:00:00Z
Bangladesh,17,2020-03-19T00:00:00Z
Bangladesh,20,2020-03-20T00:00:00Z
Bangladesh,25,2020-03-21T00:00:00Z
Bangladesh,27,2020-03-22T00:00:00Z
Bangladesh,33,2020-03-23T00:00:00Z
Bangladesh,39,2020-03-24T00:00:00Z
Bangladesh,39,2020-03-25T00:00:00Z
Bangladesh,44,2020-03-26T00:00:00Z
Bangladesh,48,2020-03-27T00:00:00Z
Bangladesh,48,2020-03-28T00:00:00Z
Bangladesh,48,2020-03-29T00:00:00Z
Bangladesh,49,2020-03-30T00:00:00Z
Bangladesh,51,2020-03-31T00:00:00Z
Bangladesh,54,2020-04-01T00:00:00Z
Bangladesh,56,2020-04-02T00:00:00Z
Bangladesh,61,2020-04-03T00:00:00Z
Bangladesh,70,2020-04-04T00:00:00Z
Bangladesh,88,2020-04-05T00:00:00Z
Bangladesh,123,2020-04-06T00:00:00Z
Bangladesh,164,2020-04-07T00:00:00Z
Bangladesh,218,2020-04-08T00:00:00Z
Bangladesh,330,2020-04-09T00:00:00Z
Bangladesh,424,2020-04-10T00:00:00Z
Bangladesh,482,2020-04-11T00:00:00Z
Bangladesh,621,2020-04-12T00:00:00Z
Bangladesh,803,2020-04-13T00:00:00Z
Bangladesh,1012,2020-04-14T00:00:00Z
Bangladesh,1231,2020-04-15T00:00:00Z
Bangladesh,1572,2020-04-16T00:00:00Z
Bangladesh,1838,2020-04-17T00:00:00Z
Bangladesh,2144,2020-04-18T00:00:00Z
Bangladesh,2456,2020-04-19T00:00:00Z
Bangladesh,2948,2020-04-20T00:00:00Z
Bangladesh,3382,2020-04-21T00:00:00Z
Bangladesh,3772,2020-04-22T00:00:00Z
Bangladesh,4186,2020-04-23T00:00:00Z
Bangladesh,4689,2020-04-24T00:00:00Z
Bangladesh,4998,2020-04-25T00:00:00Z
Bangladesh,5416,2020-04-26T00:00:00Z
Bangladesh,5913,2020-04-27T00:00:00Z
Bangladesh,6462,2020-04-28T00:00:00Z
Bangladesh,7103,2020-04-29T00:00:00Z
Bangladesh,7667,2020-04-30T00:00:00Z
Bangladesh,8238,2020-05-01T00:00:00Z
Bangladesh,8790,2020-05-02T00:00:00Z
Bangladesh,9455,2020-05-03T00:00:00Z
Bangladesh,10143,2020-05-04T00:00:00Z
Bangladesh,10929,2020-05-05T00:00:00Z
Bangladesh,11719,2020-05-06T00:00:00Z
Bangladesh,12425,2020-05-07T00:00:00Z
Bangladesh,13134,2020-05-08T00:00:00Z
Bangladesh,13770,2020-05-09T00:00:00Z
Bangladesh,14657,2020-05-10T00:00:00Z
Bangladesh,15691,2020-05-11T00:00:00Z
Bangladesh,16660,2020-05-12T00:00:00Z
Bangladesh,17822,2020-05-13T00:00:00Z
Bangladesh,18863,2020-05-14T00:00:00Z
Bangladesh,20065,2020-05-15T00:00:00Z
Bangladesh,20995,2020-05-16T00:00:00Z
