Country,Cases,Date
Bolivia,2,2020-03-11T00:00:00Z
Bolivia,2,2020-03-12T00:00:00Z
Bolivia,3,2020-03-13T00:00:00Z
Bolivia,10,2020-03-14T00:00:00Z
Bolivia,10,2020-03-15T00:00:00Z
Bolivia,11,2020-03-16T00:00:00Z
Bolivia,11,2020-03-17T00:00:00Z
Bolivia,12,2020-03-18T00:00:00Z
Bolivia,12,2020-03-19T00:00:00Z
Bolivia,15,2020-03-20T00:00:00Z
Bolivia,19,2020-03-21T00:00:00Z
Bolivia,24,2020-03-22T00:00:00Z
Bolivia,27,2020-03-23T00:00:00Z
Bolivia,29,2020-03-24T00:00:00Z
Bolivia,32,2020-03-25T00:00:00Z
Bolivia,43,2020-03-26T00:00:00Z
Bolivia,61,2020-03-27T00:00:00Z
Bolivia,74,2020-03-28T00:00:00Z
Bolivia,81,2020-03-29T00:00:00Z
Bolivia,97,2020-03-30T00:00:00Z
Bolivia,107,2020-03-31T00:00:00Z
Bolivia,115,2020-04-01T00:00:00Z
Bolivia,123,2020-04-02T00:00:00Z
Bolivia,132,2020-04-03T00:00:00Z
Bolivia,139,2020-04-04T00:00:00Z
Bolivia,157,2020-04-05T00:00:00Z
Bolivia,183,2020-04-06T00:00:00Z
Bolivia,194,2020-04-07T00:00:00Z
Bolivia,210,2020-04-08T00:00:00Z
Bolivia,264,2020-04-09T00:00:00Z
Bolivia,268,2020-04-10T00:00:00Z
Bolivia,275,2020-04-11T00:00:00Z
Bolivia,300,2020-04-12T00:00:00Z
Bolivia,330,2020-04-13T00:00:00Z
Bolivia,354,2020-04-14T00:00:00Z
Bolivia,397,2020-04-15T00:00:00Z
Bolivia,441,2020-04-16T00:00:00Z
Bolivia,465,2020-04-17T00:00:00Z
Bolivia,493,2020-04-18T00:00:00Z
Bolivia,520,2020-04-19T00:00:00Z
Bolivia,564,2020-04-20T00:00:00Z
Bolivia,598,2020-04-21T00:00:00Z
Bolivia,609,2020-04-22T00:00:00Z
Bolivia,703,2020-04-23T00:00:00Z
Bolivia,807,2020-04-24T00:00:00Z
Bolivia,866,2020-04-25T00:00:00Z
Bolivia,950,2020-04-26T00:00:00Z
Bolivia,1014,2020-04-27T00:00:00Z
Bolivia,1014,2020-04-28T00:00:00Z
Bolivia,1110,2020-04-29T00:00:00Z
Bolivia,1110,2020-04-30T00:00:00Z
Bolivia,1229,2020-05-01T00:00:00Z
Bolivia,1229,2020-05-02T00:00:00Z
Bolivia,1594,2020-05-03T00:00:00Z
Bolivia,1681,2020-05-04T00:00:00Z
Bolivia,1802,2020-05-05T00:00:00Z
Bolivia,1886,2020-05-06T00:00:00Z
Bolivia,2081,2020-05-07T00:00:00Z
Bolivia,2266,2020-05-08T00:00:00Z
Bolivia,2437,2020-05-09T00:00:00Z
Bolivia,2556,2020-05-10T00:00:00Z
Bolivia,2831,2020-05-11T00:00:00Z
Bolivia,2964,2020-05-12T00:00:00Z
Bolivia,3148,2020-05-13T00:00:00Z
Bolivia,3372,2020-05-14T00:00:00Z
Bolivia,3577,2020-05-15T00:00:00Z
Bolivia,3826,2020-05-16T00:00:00Z
