Country,Cases,Date
Brazil,1,2020-02-26T00:00:00Z
Brazil,1,2020-02-27T00:00:00Z
Brazil,1,2020-02-28T00:00:00Z
Brazil,2,2020-02-29T00:00:00Z
Brazil,2,2020-03-01T00:00:00Z
Brazil,2,2020-03-02T00:00:00Z
Brazil,2,2020-03-03T00:00:00Z
Brazil,4,2020-03-04T00:00:00Z
Brazil,4,2020-03-05T00:00:00Z
Brazil,13,2020-03-06T00:00:00Z
Brazil,13,2020-03-07T00:00:00Z
Brazil,20,2020-03-08T00:00:00Z
Brazil,25,2020-03-09T00:00:00Z
Brazil,31,2020-03-10T00:00:00Z
Brazil,38,2020-03-11T00:00:00Z
Brazil,52,2020-03-12T00:00:00Z
Brazil,151,2020-03-13T00:00:00Z
Brazil,151,2020-03-14T00:00:00Z
Brazil,162,2020-03-15T00:00:00Z
Brazil,200,2020-03-16T00:00:00Z
Brazil,321,2020-03-17T00:00:00Z
Brazil,372,2020-03-18T00:00:00Z
Brazil,621,2020-03-19T00:00:00Z
Brazil,793,2020-03-20T00:00:00Z
Brazil,1021,2020-03-21T00:00:00Z
Brazil,1546,2020-03-22T00:00:00Z
Brazil,1924,2020-03-23T00:00:00Z
Brazil,2247,2020-03-24T00:00:00Z
Brazil,2554,2020-03-25T00:00:00Z
Brazil,2985,2020-03-26T00:00:00Z
Brazil,3417,2020-03-27T00:00:00Z
Brazil,3904,2020-03-28T00:00:00Z
Brazil,4256,2020-03-29T00:00:00Z
Brazil,4579,2020-03-30T00:00:00Z
Brazil,5717,2020-03-31T00:00:00Z
Brazil,6836,2020-04-01T00:00:00Z
Brazil,8044,2020-04-02T00:00:00Z
Brazil,9056,2020-04-03T00:00:00Z
Brazil,10360,2020-04-04T00:00:00Z
Brazil,11130,2020-04-05T00:00:00Z
Brazil,12161,2020-04-06T00:00:00Z
Brazil,14034,2020-04-07T00:00:00Z
Brazil,16170,2020-04-08T00:00:00Z
Brazil,18092,2020-04-09T00:00:00Z
Brazil,19638,2020-04-10T00:00:00Z
Brazil,20727,2020-04-11T00:00:00Z
Brazil,22192,2020-04-12T00:00:00Z
Brazil,23430,2020-04-13T00:00:00Z
Brazil,25262,2020-04-14T00:00:00Z
Brazil,28320,2020-04-15T00:00:00Z
Brazil,30425,2020-04-16T00:00:00Z
Brazil,33682,2020-04-17T00:00:00Z
Brazil,36658,2020-04-18T00:00:00Z
Brazil,38654,2020-04-19T00:00:00Z
Brazil,40743,2020-04-20T00:00:00Z
Brazil,43079,2020-04-21T00:00:00Z
Brazil,45757,2020-04-22T00:00:00Z
Brazil,50036,2020-04-23T00:00:00Z
Brazil,54043,2020-04-24T00:00:00Z
Brazil,59324,2020-04-25T00:00:00Z
Brazil,63100,2020-04-26T00:00:00Z
Brazil,67446,2020-04-27T00:00:00Z
Brazil,73235,2020-04-28T00:00:00Z
Brazil,79685,2020-04-29T00:00:00Z
Brazil,87187,2020-04-30T00:00:00Z
Brazil,92202,2020-05-01T00:00:00Z
Brazil,97100,2020-05-02T00:00:00Z
Brazil,101826,2020-05-03T00:00:00Z
Brazil,108620,2020-05-04T00:00:00Z
Brazil,115455,2020-05-05T00:00:00Z
Brazil,126611,2020-05-06T00:00:00Z
Brazil,135773,2020-05-07T00:00:00Z
Brazil,146894,2020-05-08T00:00:00Z
Brazil,156061,2020-05-09T00:00:00Z
Brazil,162699,2020-05-10T00:00:00Z
Brazil,169594,2020-05-11T00:00:00Z
Brazil,178214,2020-05-12T00:00:00Z
Brazil,190137,2020-05-13T00:00:00Z
Brazil,203165,2020-05-14T00:00:00Z
Brazil,220291,2020-05-15T00:00:00Z
Brazil,233511,2020-05-16T00:00:00Z
