Country,Cases,Date
Bulgaria,4,2020-03-08T00:00:00Z
Bulgaria,4,2020-03-09T00:00:00Z
Bulgaria,4,2020-03-10T00:00:00Z
Bulgaria,7,2020-03-11T00:00:00Z
Bulgaria,7,2020-03-12T00:00:00Z
Bulgaria,23,2020-03-13T00:00:00Z
Bulgaria,41,2020-03-14T00:00:00Z
Bulgaria,51,2020-03-15T00:00:00Z
Bulgaria,52,2020-03-16T00:00:00Z
Bulgaria,67,2020-03-17T00:00:00Z
Bulgaria,92,2020-03-18T00:00:00Z
Bulgaria,94,2020-03-19T00:00:00Z
Bulgaria,127,2020-03-20T00:00:00Z
Bulgaria,163,2020-03-21T00:00:00Z
Bulgaria,187,2020-03-22T00:00:00Z
Bulgaria,201,2020-03-23T00:00:00Z
Bulgaria,218,2020-03-24T00:00:00Z
Bulgaria,242,2020-03-25T00:00:00Z
Bulgaria,264,2020-03-26T00:00:00Z
Bulgaria,293,2020-03-27T00:00:00Z
Bulgaria,331,2020-03-28T00:00:00Z
Bulgaria,346,2020-03-29T00:00:00Z
Bulgaria,359,2020-03-30T00:00:00Z
Bulgaria,399,2020-03-31T00:00:00Z
Bulgaria,422,2020-04-01T00:00:00Z
Bulgaria,457,2020-04-02T00:00:00Z
Bulgaria,485,2020-04-03T00:00:00Z
Bulgaria,503,2020-04-04T00:00:00Z
Bulgaria,531,2020-04-05T00:00:00Z
Bulgaria,549,2020-04-06T00:00:00Z
Bulgaria,577,2020-04-07T00:00:00Z
Bulgaria,593,2020-04-08T00:00:00Z
Bulgaria,618,2020-04-09T00:00:00Z
Bulgaria,635,2020-04-10T00:00:00Z
Bulgaria,661,2020-04-11T00:00:00Z
Bulgaria,675,2020-04-12T00:00:00Z
Bulgaria,685,2020-04-13T00:00:00Z
Bulgaria,713,2020-04-14T00:00:00Z
Bulgaria,747,2020-04-15T00:00:00Z
Bulgaria,800,2020-04-16T00:00:00Z
Bulgaria,846,2020-04-17T00:00:00Z
Bulgaria,878,2020-04-18T00:00:00Z
Bulgaria,894,2020-04-19T00:00:00Z
Bulgaria,929,2020-04-20T00:00:00Z
Bulgaria,975,2020-04-21T00:00:00Z
Bulgaria,1024,2020-04-22T00:00:00Z
Bulgaria,1097,2020-04-23T00:00:00Z
Bulgaria,1234,2020-04-24T00:00:00Z
Bulgaria,1247,2020-04-25T00:00:00Z
Bulgaria,1300,2020-04-26T00:00:00Z
Bulgaria,1363,2020-04-27T00:00:00Z
Bulgaria,1399,2020-04-28T00:00:00Z
Bulgaria,1447,2020-04-29T00:00:00Z
Bulgaria,1506,2020-04-30T00:00:00Z
Bulgaria,1555,2020-05-01T00:00:00Z
Bulgaria,1594,2020-05-02T00:00:00Z
Bulgaria,1618,2020-05-03T00:00:00Z
Bulgaria,1652,2020-05-04T00:00:00Z
Bulgaria,1704,2020-05-05T00:00:00Z
Bulgaria,1778,2020-05-06T00:00:00Z
Bulgaria,1829,2020-05-07T00:00:00Z
Bulgaria,1872,2020-05-08T00:00:00Z
Bulgaria,1921,2020-05-09T00:00:00Z
Bulgaria,1965,2020-05-10T00:00:00Z
Bulgaria,1990,2020-05-11T00:00:00Z
Bulgaria,2023,2020-05-12T00:00:00Z
Bulgaria,2069,2020-05-13T00:00:00Z
Bulgaria,2100,2020-05-14T00:00:00Z
Bulgaria,2138,2020-05-15T00:00:00Z
Bulgaria,2175,2020-05-16T00:00:00Z
