Country,Cases,Date
Burkina Faso,1,2020-03-10T00:00:00Z
Burkina Faso,2,2020-03-11T00:00:00Z
Burkina Faso,2,2020-03-12T00:00:00Z
Burkina Faso,2,2020-03-13T00:00:00Z
Burkina Faso,2,2020-03-14T00:00:00Z
Burkina Faso,3,2020-03-15T00:00:00Z
Burkina Faso,15,2020-03-16T00:00:00Z
Burkina Faso,15,2020-03-17T00:00:00Z
Burkina Faso,20,2020-03-18T00:00:00Z
Burkina Faso,33,2020-03-19T00:00:00Z
Burkina Faso,40,2020-03-20T00:00:00Z
Burkina Faso,64,2020-03-21T00:00:00Z
Burkina Faso,75,2020-03-22T00:00:00Z
Burkina Faso,99,2020-03-23T00:00:00Z
Burkina Faso,114,2020-03-24T00:00:00Z
Burkina Faso,146,2020-03-25T00:00:00Z
Burkina Faso,152,2020-03-26T00:00:00Z
Burkina Faso,180,2020-03-27T00:00:00Z
Burkina Faso,207,2020-03-28T00:00:00Z
Burkina Faso,222,2020-03-29T00:00:00Z
Burkina Faso,246,2020-03-30T00:00:00Z
Burkina Faso,261,2020-03-31T00:00:00Z
Burkina Faso,282,2020-04-01T00:00:00Z
Burkina Faso,288,2020-04-02T00:00:00Z
Burkina Faso,302,2020-04-03T00:00:00Z
Burkina Faso,318,2020-04-04T00:00:00Z
Burkina Faso,345,2020-04-05T00:00:00Z
Burkina Faso,364,2020-04-06T00:00:00Z
Burkina Faso,384,2020-04-07T00:00:00Z
Burkina Faso,414,2020-04-08T00:00:00Z
Burkina Faso,443,2020-04-09T00:00:00Z
Burkina Faso,443,2020-04-10T00:00:00Z
Burkina Faso,484,2020-04-11T00:00:00Z
Burkina Faso,497,2020-04-12T00:00:00Z
Burkina Faso,497,2020-04-13T00:00:00Z
Burkina Faso,528,2020-04-14T00:00:00Z
Burkina Faso,542,2020-04-15T00:00:00Z
Burkina Faso,546,2020-04-16T00:00:00Z
Burkina Faso,557,2020-04-17T00:00:00Z
Burkina Faso,565,2020-04-18T00:00:00Z
Burkina Faso,576,2020-04-19T00:00:00Z
Burkina Faso,581,2020-04-20T00:00:00Z
Burkina Faso,600,2020-04-21T00:00:00Z
Burkina Faso,609,2020-04-22T00:00:00Z
Burkina Faso,616,2020-04-23T00:00:00Z
Burkina Faso,629,2020-04-24T00:00:00Z
Burkina Faso,629,2020-04-25T00:00:00Z
Burkina Faso,632,2020-04-26T00:00:00Z
Burkina Faso,635,2020-04-27T00:00:00Z
Burkina Faso,638,2020-04-28T00:00:00Z
Burkina Faso,641,2020-04-29T00:00:00Z
Burkina Faso,645,2020-04-30T00:00:00Z
Burkina Faso,649,2020-05-01T00:00:00Z
Burkina Faso,652,2020-05-02T00:00:00Z
Burkina Faso,662,2020-05-03T00:00:00Z
Burkina Faso,672,2020-05-04T00:00:00Z
Burkina Faso,688,2020-05-05T00:00:00Z
Burkina Faso,729,2020-05-06T00:00:00Z
Burkina Faso,736,2020-05-07T00:00:00Z
Burkina Faso,744,2020-05-08T00:00:00Z
Burkina Faso,748,2020-05-09T00:00:00Z
Burkina Faso,751,2020-05-10T00:00:00Z
Burkina Faso,760,2020-05-11T00:00:00Z
Burkina Faso,766,2020-05-12T00:00:00Z
Burkina Faso,773,2020-05-13T00:00:00Z
Burkina Faso,773,2020-05-14T00:00:00Z
Burkina Faso,780,2020-05-15T00:00:00Z
Burkina Faso,782,2020-05-16T00:00:00Z
