Country,Cases,Date
Cameroon,1,2020-03-06T00:00:00Z
Cameroon,1,2020-03-07T00:00:00Z
Cameroon,2,2020-03-08T00:00:00Z
Cameroon,2,2020-03-09T00:00:00Z
Cameroon,2,2020-03-10T00:00:00Z
Cameroon,2,2020-03-11T00:00:00Z
Cameroon,2,2020-03-12T00:00:00Z
Cameroon,2,2020-03-13T00:00:00Z
Cameroon,2,2020-03-14T00:00:00Z
Cameroon,2,2020-03-15T00:00:00Z
Cameroon,4,2020-03-16T00:00:00Z
Cameroon,10,2020-03-17T00:00:00Z
Cameroon,10,2020-03-18T00:00:00Z
Cameroon,13,2020-03-19T00:00:00Z
Cameroon,20,2020-03-20T00:00:00Z
Cameroon,27,2020-03-21T00:00:00Z
Cameroon,40,2020-03-22T00:00:00Z
Cameroon,56,2020-03-23T00:00:00Z
Cameroon,66,2020-03-24T00:00:00Z
Cameroon,75,2020-03-25T00:00:00Z
Cameroon,75,2020-03-26T00:00:00Z
Cameroon,91,2020-03-27T00:00:00Z
Cameroon,91,2020-03-28T00:00:00Z
Cameroon,139,2020-03-29T00:00:00Z
Cameroon,139,2020-03-30T00:00:00Z
Cameroon,193,2020-03-31T00:00:00Z
Cameroon,233,2020-04-01T00:00:00Z
Cameroon,306,2020-04-02T00:00:00Z
Cameroon,509,2020-04-03T00:00:00Z
Cameroon,555,2020-04-04T00:00:00Z
Cameroon,650,2020-04-05T00:00:00Z
Cameroon,658,2020-04-06T00:00:00Z
Cameroon,658,2020-04-07T00:00:00Z
Cameroon,730,2020-04-08T00:00:00Z
Cameroon,730,2020-04-09T00:00:00Z
Cameroon,820,2020-04-10T00:00:00Z
Cameroon,820,2020-04-11T00:00:00Z
Cameroon,820,2020-04-12T00:00:00Z
Cameroon,820,2020-04-13T00:00:00Z
Cameroon,848,2020-04-14T00:00:00Z
Cameroon,848,2020-04-15T00:00:00Z
Cameroon,996,2020-04-16T00:00:00Z
Cameroon,996,2020-04-17T00:00:00Z
Cameroon,1017,2020-04-18T00:00:00Z
Cameroon,1017,2020-04-19T00:00:00Z
Cameroon,1163,2020-04-20T00:00:00Z
Cameroon,1163,2020-04-21T00:00:00Z
Cameroon,1163,2020-04-22T00:00:00Z
Cameroon,1334,2020-04-23T00:00:00Z
Cameroon,1430,2020-04-24T00:00:00Z
Cameroon,1518,2020-04-25T00:00:00Z
Cameroon,1621,2020-04-26T00:00:00Z
Cameroon,1705,2020-04-27T00:00:00Z
Cameroon,1705,2020-04-28T00:00:00Z
Cameroon,1832,2020-04-29T00:00:00Z
Cameroon,1832,2020-04-30T00:00:00Z
Cameroon,1832,2020-05-01T00:00:00Z
Cameroon,2077,2020-05-02T00:00:00Z
Cameroon,2077,2020-05-03T00:00:00Z
Cameroon,2104,2020-05-04T00:00:00Z
Cameroon,2104,2020-05-05T00:00:00Z
Cameroon,2265,2020-05-06T00:00:00Z
Cameroon,2267,2020-05-07T00:00:00Z
Cameroon,2267,2020-05-08T00:00:00Z
Cameroon,2274,2020-05-09T00:00:00Z
Cameroon,2579,2020-05-10T00:00:00Z
Cameroon,2689,2020-05-11T00:00:00Z
Cameroon,2689,2020-05-12T00:00:00Z
Cameroon,2800,2020-05-13T00:00:00Z
Cameroon,2954,2020-05-14T00:00:00Z
Cameroon,3105,2020-05-15T00:00:00Z
Cameroon,3105,2020-05-16T00:00:00Z
