Country,Cases,Date
Canada,7,2020-02-12T00:00:00Z
Canada,7,2020-02-13T00:00:00Z
Canada,7,2020-02-14T00:00:00Z
Canada,7,2020-02-15T00:00:00Z
Canada,7,2020-02-16T00:00:00Z
Canada,8,2020-02-17T00:00:00Z
Canada,8,2020-02-18T00:00:00Z
Canada,8,2020-02-19T00:00:00Z
Canada,8,2020-02-20T00:00:00Z
Canada,9,2020-02-21T00:00:00Z
Canada,9,2020-02-22T00:00:00Z
Canada,9,2020-02-23T00:00:00Z
Canada,10,2020-02-24T00:00:00Z
Canada,11,2020-02-25T00:00:00Z
Canada,11,2020-02-26T00:00:00Z
Canada,13,2020-02-27T00:00:00Z
Canada,14,2020-02-28T00:00:00Z
Canada,20,2020-02-29T00:00:00Z
Canada,24,2020-03-01T00:00:00Z
Canada,27,2020-03-02T00:00:00Z
Canada,30,2020-03-03T00:00:00Z
Canada,33,2020-03-04T00:00:00Z
Canada,37,2020-03-05T00:00:00Z
Canada,49,2020-03-06T00:00:00Z
Canada,54,2020-03-07T00:00:00Z
Canada,64,2020-03-08T00:00:00Z
Canada,77,2020-03-09T00:00:00Z
Canada,79,2020-03-10T00:00:00Z
Canada,108,2020-03-11T00:00:00Z
Canada,117,2020-03-12T00:00:00Z
Canada,193,2020-03-13T00:00:00Z
Canada,198,2020-03-14T00:00:00Z
Canada,252,2020-03-15T00:00:00Z
Canada,415,2020-03-16T00:00:00Z
Canada,478,2020-03-17T00:00:00Z
Canada,657,2020-03-18T00:00:00Z
Canada,800,2020-03-19T00:00:00Z
Canada,943,2020-03-20T00:00:00Z
Canada,1277,2020-03-21T00:00:00Z
Canada,1469,2020-03-22T00:00:00Z
Canada,2088,2020-03-23T00:00:00Z
Canada,2790,2020-03-24T00:00:00Z
Canada,3251,2020-03-25T00:00:00Z
Canada,4042,2020-03-26T00:00:00Z
Canada,4682,2020-03-27T00:00:00Z
Canada,5576,2020-03-28T00:00:00Z
Canada,6280,2020-03-29T00:00:00Z
Canada,7398,2020-03-30T00:00:00Z
Canada,8527,2020-03-31T00:00:00Z
Canada,9560,2020-04-01T00:00:00Z
Canada,11284,2020-04-02T00:00:00Z
Canada,12437,2020-04-03T00:00:00Z
Canada,12978,2020-04-04T00:00:00Z
Canada,15756,2020-04-05T00:00:00Z
Canada,16563,2020-04-06T00:00:00Z
Canada,17872,2020-04-07T00:00:00Z
Canada,19141,2020-04-08T00:00:00Z
Canada,20654,2020-04-09T00:00:00Z
Canada,22059,2020-04-10T00:00:00Z
Canada,23316,2020-04-11T00:00:00Z
Canada,24299,2020-04-12T00:00:00Z
Canada,25680,2020-04-13T00:00:00Z
Canada,27035,2020-04-14T00:00:00Z
Canada,28209,2020-04-15T00:00:00Z
Canada,30809,2020-04-16T00:00:00Z
Canada,32814,2020-04-17T00:00:00Z
Canada,34356,2020-04-18T00:00:00Z
Canada,35633,2020-04-19T00:00:00Z
Canada,37658,2020-04-20T00:00:00Z
Canada,39402,2020-04-21T00:00:00Z
Canada,41663,2020-04-22T00:00:00Z
Canada,43299,2020-04-23T00:00:00Z
Canada,44919,2020-04-24T00:00:00Z
Canada,46371,2020-04-25T00:00:00Z
Canada,48033,2020-04-26T00:00:00Z
Canada,49616,2020-04-27T00:00:00Z
Canada,51150,2020-04-28T00:00:00Z
Canada,52865,2020-04-29T00:00:00Z
Canada,54457,2020-04-30T00:00:00Z
Canada,56342,2020-05-01T00:00:00Z
Canada,57925,2020-05-02T00:00:00Z
Canada,60503,2020-05-03T00:00:00Z
Canada,61956,2020-05-04T00:00:00Z
Canada,63214,2020-05-05T00:00:00Z
Canada,64693,2020-05-06T00:00:00Z
Canada,66200,2020-05-07T00:00:00Z
Canada,67673,2020-05-08T00:00:00Z
Canada,68917,2020-05-09T00:00:00Z
Canada,70090,2020-05-10T00:00:00Z
Canada,71263,2020-05-11T00:00:00Z
Canada,72418,2020-05-12T00:00:00Z
Canada,73567,2020-05-13T00:00:00Z
Canada,74780,2020-05-14T00:00:00Z
Canada,75958,2020-05-15T00:00:00Z
Canada,77205,2020-05-16T00:00:00Z
