Country,Cases,Date
Chile,1,2020-03-03T00:00:00Z
Chile,1,2020-03-04T00:00:00Z
Chile,4,2020-03-05T00:00:00Z
Chile,4,2020-03-06T00:00:00Z
Chile,4,2020-03-07T00:00:00Z
Chile,8,2020-03-08T00:00:00Z
Chile,8,2020-03-09T00:00:00Z
Chile,13,2020-03-10T00:00:00Z
Chile,23,2020-03-11T00:00:00Z
Chile,23,2020-03-12T00:00:00Z
Chile,43,2020-03-13T00:00:00Z
Chile,61,2020-03-14T00:00:00Z
Chile,74,2020-03-15T00:00:00Z
Chile,155,2020-03-16T00:00:00Z
Chile,201,2020-03-17T00:00:00Z
Chile,238,2020-03-18T00:00:00Z
Chile,238,2020-03-19T00:00:00Z
Chile,434,2020-03-20T00:00:00Z
Chile,537,2020-03-21T00:00:00Z
Chile,632,2020-03-22T00:00:00Z
Chile,746,2020-03-23T00:00:00Z
Chile,922,2020-03-24T00:00:00Z
Chile,1142,2020-03-25T00:00:00Z
Chile,1306,2020-03-26T00:00:00Z
Chile,1610,2020-03-27T00:00:00Z
Chile,1909,2020-03-28T00:00:00Z
Chile,2139,2020-03-29T00:00:00Z
Chile,2449,2020-03-30T00:00:00Z
Chile,2738,2020-03-31T00:00:00Z
Chile,3031,2020-04-01T00:00:00Z
Chile,3404,2020-04-02T00:00:00Z
Chile,3737,2020-04-03T00:00:00Z
Chile,4161,2020-04-04T00:00:00Z
Chile,4471,2020-04-05T00:00:00Z
Chile,4815,2020-04-06T00:00:00Z
Chile,5116,2020-04-07T00:00:00Z
Chile,5546,2020-04-08T00:00:00Z
Chile,5972,2020-04-09T00:00:00Z
Chile,6501,2020-04-10T00:00:00Z
Chile,6927,2020-04-11T00:00:00Z
Chile,7213,2020-04-12T00:00:00Z
Chile,7525,2020-04-13T00:00:00Z
Chile,7917,2020-04-14T00:00:00Z
Chile,8273,2020-04-15T00:00:00Z
Chile,8807,2020-04-16T00:00:00Z
Chile,9252,2020-04-17T00:00:00Z
Chile,9730,2020-04-18T00:00:00Z
Chile,10088,2020-04-19T00:00:00Z
Chile,10507,2020-04-20T00:00:00Z
Chile,10832,2020-04-21T00:00:00Z
Chile,11296,2020-04-22T00:00:00Z
Chile,11812,2020-04-23T00:00:00Z
Chile,12306,2020-04-24T00:00:00Z
Chile,12858,2020-04-25T00:00:00Z
Chile,13331,2020-04-26T00:00:00Z
Chile,13813,2020-04-27T00:00:00Z
Chile,14365,2020-04-28T00:00:00Z
Chile,14885,2020-04-29T00:00:00Z
Chile,16023,2020-04-30T00:00:00Z
Chile,17008,2020-05-01T00:00:00Z
Chile,18435,2020-05-02T00:00:00Z
Chile,19663,2020-05-03T00:00:00Z
Chile,20643,2020-05-04T00:00:00Z
Chile,22016,2020-05-05T00:00:00Z
Chile,23048,2020-05-06T00:00:00Z
Chile,24581,2020-05-07T00:00:00Z
Chile,25972,2020-05-08T00:00:00Z
Chile,27219,2020-05-09T00:00:00Z
Chile,28866,2020-05-10T00:00:00Z
Chile,30063,2020-05-11T00:00:00Z
Chile,31721,2020-05-12T00:00:00Z
Chile,34381,2020-05-13T00:00:00Z
Chile,37040,2020-05-14T00:00:00Z
Chile,39542,2020-05-15T00:00:00Z
Chile,41428,2020-05-16T00:00:00Z
