Country,Cases,Date
China,548,2020-01-22T00:00:00Z
China,643,2020-01-23T00:00:00Z
China,920,2020-01-24T00:00:00Z
China,1406,2020-01-25T00:00:00Z
China,2075,2020-01-26T00:00:00Z
China,2877,2020-01-27T00:00:00Z
China,5509,2020-01-28T00:00:00Z
China,6087,2020-01-29T00:00:00Z
China,8141,2020-01-30T00:00:00Z
China,9802,2020-01-31T00:00:00Z
China,11891,2020-02-01T00:00:00Z
China,16630,2020-02-02T00:00:00Z
China,19716,2020-02-03T00:00:00Z
China,23707,2020-02-04T00:00:00Z
China,27440,2020-02-05T00:00:00Z
China,30587,2020-02-06T00:00:00Z
China,34110,2020-02-07T00:00:00Z
China,36814,2020-02-08T00:00:00Z
China,39829,2020-02-09T00:00:00Z
China,42354,2020-02-10T00:00:00Z
China,44386,2020-02-11T00:00:00Z
China,44759,2020-02-12T00:00:00Z
China,59895,2020-02-13T00:00:00Z
China,66358,2020-02-14T00:00:00Z
China,68413,2020-02-15T00:00:00Z
China,70513,2020-02-16T00:00:00Z
China,72434,2020-02-17T00:00:00Z
China,74211,2020-02-18T00:00:00Z
China,74619,2020-02-19T00:00:00Z
China,75077,2020-02-20T00:00:00Z
China,75550,2020-02-21T00:00:00Z
China,77001,2020-02-22T00:00:00Z
China,77022,2020-02-23T00:00:00Z
China,77241,2020-02-24T00:00:00Z
China,77754,2020-02-25T00:00:00Z
China,78166,2020-02-26T00:00:00Z
China,78600,2020-02-27T00:00:00Z
China,78928,2020-02-28T00:00:00Z
China,79356,2020-02-29T00:00:00Z
China,79932,2020-03-01T00:00:00Z
China,80136,2020-03-02T00:00:00Z
China,80261,2020-03-03T00:00:00Z
China,80386,2020-03-04T00:00:00Z
China,80537,2020-03-05T00:00:00Z
China,80690,2020-03-06T00:00:00Z
China,80770,2020-03-07T00:00:00Z
China,80823,2020-03-08T00:00:00Z
China,80860,2020-03-09T00:00:00Z
China,80887,2020-03-10T00:00:00Z
China,80921,2020-03-11T00:00:00Z
China,80932,2020-03-12T00:00:00Z
China,80945,2020-03-13T00:00:00Z
China,80977,2020-03-14T00:00:00Z
China,81003,2020-03-15T00:00:00Z
China,81033,2020-03-16T00:00:00Z
China,81058,2020-03-17T00:00:00Z
China,81102,2020-03-18T00:00:00Z
China,81156,2020-03-19T00:00:00Z
China,81250,2020-03-20T00:00:00Z
China,81305,2020-03-21T00:00:00Z
China,81435,2020-03-22T00:00:00Z
China,81498,2020-03-23T00:00:00Z
China,81591,2020-03-24T00:00:00Z
China,81661,2020-03-25T00:00:00Z
China,81782,2020-03-26T00:00:00Z
China,81897,2020-03-27T00:00:00Z
China,81999,2020-03-28T00:00:00Z
China,82122,2020-03-29T00:00:00Z
China,82198,2020-03-30T00:00:00Z
China,82279,2020-03-31T00:00:00Z
China,82361,2020-04-01T00:00:00Z
China,82432,2020-04-02T00:00:00Z
China,82511,2020-04-03T00:00:00Z
China,82543,2020-04-04T00:00:00Z
China,82602,2020-04-05T00:00:00Z
China,82665,2020-04-06T00:00:00Z
China,82718,2020-04-07T00:00:00Z
China,82809,2020-04-08T00:00:00Z
China,82883,2020-04-09T00:00:00Z
China,82941,2020-04-10T00:00:00Z
China,83014,2020-04-11T00:00:00Z
China,83134,2020-04-12T00:00:00Z
China,83213,2020-04-13T00:00:00Z
China,83306,2020-04-14T00:00:00Z
China,83356,2020-04-15T00:00:00Z
China,83403,2020-04-16T00:00:00Z
China,83760,2020-04-17T00:00:00Z
China,83787,2020-04-18T00:00:00Z
China,83805,2020-04-19T00:00:00Z
China,83817,2020-04-20T00:00:00Z
China,83853,2020-04-21T00:00:00Z
China,83868,2020-04-22T00:00:00Z
China,83884,2020-04-23T00:00:00Z
China,83899,2020-04-24T00:00:00Z
China,83909,2020-04-25T00:00:00Z
China,83912,2020-04-26T00:00:00Z
China,83918,2020-04-27T00:00:00Z
China,83940,2020-04-28T00:00:00Z
China,83944,2020-04-29T00:00:00Z
China,83956,2020-04-30T00:00:00Z
China,83959,2020-05-01T00:00:00Z
China,83959,2020-05-02T00:00:00Z
China,83964,2020-05-03T00:00:00Z
China,83966,2020-05-04T00:00:00Z
China,83968,2020-05-05T00:00:00Z
China,83970,2020-05-06T00:00:00Z
China,83975,2020-05-07T00:00:00Z
China,83976,2020-05-08T00:00:00Z
China,83990,2020-05-09T00:00:00Z
China,84010,2020-05-10T00:00:00Z
China,84011,2020-05-11T00:00:00Z
China,84018,2020-05-12T00:00:00Z
China,84024,2020-05-13T00:00:00Z
China,84029,2020-05-14T00:00:00Z
China,84038,2020-05-15T00:00:00Z
China,84044,2020-05-16T00:00:00Z
