Country,Cases,Date
Colombia,1,2020-03-06T00:00:00Z
Colombia,1,2020-03-07T00:00:00Z
Colombia,1,2020-03-08T00:00:00Z
Colombia,1,2020-03-09T00:00:00Z
Colombia,3,2020-03-10T00:00:00Z
Colombia,9,2020-03-11T00:00:00Z
Colombia,9,2020-03-12T00:00:00Z
Colombia,13,2020-03-13T00:00:00Z
Colombia,22,2020-03-14T00:00:00Z
Colombia,34,2020-03-15T00:00:00Z
Colombia,54,2020-03-16T00:00:00Z
Colombia,65,2020-03-17T00:00:00Z
Colombia,93,2020-03-18T00:00:00Z
Colombia,102,2020-03-19T00:00:00Z
Colombia,128,2020-03-20T00:00:00Z
Colombia,196,2020-03-21T00:00:00Z
Colombia,231,2020-03-22T00:00:00Z
Colombia,277,2020-03-23T00:00:00Z
Colombia,378,2020-03-24T00:00:00Z
Colombia,470,2020-03-25T00:00:00Z
Colombia,491,2020-03-26T00:00:00Z
Colombia,539,2020-03-27T00:00:00Z
Colombia,608,2020-03-28T00:00:00Z
Colombia,702,2020-03-29T00:00:00Z
Colombia,798,2020-03-30T00:00:00Z
Colombia,906,2020-03-31T00:00:00Z
Colombia,1065,2020-04-01T00:00:00Z
Colombia,1161,2020-04-02T00:00:00Z
Colombia,1267,2020-04-03T00:00:00Z
Colombia,1406,2020-04-04T00:00:00Z
Colombia,1485,2020-04-05T00:00:00Z
Colombia,1579,2020-04-06T00:00:00Z
Colombia,1780,2020-04-07T00:00:00Z
Colombia,2054,2020-04-08T00:00:00Z
Colombia,2223,2020-04-09T00:00:00Z
Colombia,2473,2020-04-10T00:00:00Z
Colombia,2709,2020-04-11T00:00:00Z
Colombia,2776,2020-04-12T00:00:00Z
Colombia,2852,2020-04-13T00:00:00Z
Colombia,2979,2020-04-14T00:00:00Z
Colombia,3105,2020-04-15T00:00:00Z
Colombia,3233,2020-04-16T00:00:00Z
Colombia,3439,2020-04-17T00:00:00Z
Colombia,3439,2020-04-18T00:00:00Z
Colombia,3792,2020-04-19T00:00:00Z
Colombia,3977,2020-04-20T00:00:00Z
Colombia,4149,2020-04-21T00:00:00Z
Colombia,4356,2020-04-22T00:00:00Z
Colombia,4561,2020-04-23T00:00:00Z
Colombia,4881,2020-04-24T00:00:00Z
Colombia,5142,2020-04-25T00:00:00Z
Colombia,5379,2020-04-26T00:00:00Z
Colombia,5597,2020-04-27T00:00:00Z
Colombia,5949,2020-04-28T00:00:00Z
Colombia,6207,2020-04-29T00:00:00Z
Colombia,6507,2020-04-30T00:00:00Z
Colombia,7006,2020-05-01T00:00:00Z
Colombia,7285,2020-05-02T00:00:00Z
Colombia,7668,2020-05-03T00:00:00Z
Colombia,7973,2020-05-04T00:00:00Z
Colombia,8613,2020-05-05T00:00:00Z
Colombia,8959,2020-05-06T00:00:00Z
Colombia,9456,2020-05-07T00:00:00Z
Colombia,10051,2020-05-08T00:00:00Z
Colombia,10495,2020-05-09T00:00:00Z
Colombia,11063,2020-05-10T00:00:00Z
Colombia,11613,2020-05-11T00:00:00Z
Colombia,12272,2020-05-12T00:00:00Z
Colombia,12930,2020-05-13T00:00:00Z
Colombia,13610,2020-05-14T00:00:00Z
Colombia,14216,2020-05-15T00:00:00Z
Colombia,14939,2020-05-16T00:00:00Z
