Country,Cases,Date
Comoros,1,2020-04-30T00:00:00Z
Comoros,1,2020-05-01T00:00:00Z
Comoros,3,2020-05-02T00:00:00Z
Comoros,3,2020-05-03T00:00:00Z
Comoros,3,2020-05-04T00:00:00Z
Comoros,3,2020-05-05T00:00:00Z
Comoros,8,2020-05-06T00:00:00Z
Comoros,8,2020-05-07T00:00:00Z
Comoros,8,2020-05-08T00:00:00Z
Comoros,11,2020-05-09T00:00:00Z
Comoros,11,2020-05-10T00:00:00Z
Comoros,11,2020-05-11T00:00:00Z
Comoros,11,2020-05-12T00:00:00Z
Comoros,11,2020-05-13T00:00:00Z
Comoros,11,2020-05-14T00:00:00Z
Comoros,11,2020-05-15T00:00:00Z
Comoros,11,2020-05-16T00:00:00Z
