Country,Cases,Date
Congo (Kinshasa),1,2020-03-11T00:00:00Z
Congo (Kinshasa),1,2020-03-12T00:00:00Z
Congo (Kinshasa),2,2020-03-13T00:00:00Z
Congo (Kinshasa),2,2020-03-14T00:00:00Z
Congo (Kinshasa),2,2020-03-15T00:00:00Z
Congo (Kinshasa),2,2020-03-16T00:00:00Z
Congo (Kinshasa),3,2020-03-17T00:00:00Z
Congo (Kinshasa),4,2020-03-18T00:00:00Z
Congo (Kinshasa),14,2020-03-19T00:00:00Z
Congo (Kinshasa),18,2020-03-20T00:00:00Z
Congo (Kinshasa),23,2020-03-21T00:00:00Z
Congo (Kinshasa),30,2020-03-22T00:00:00Z
Congo (Kinshasa),36,2020-03-23T00:00:00Z
Congo (Kinshasa),45,2020-03-24T00:00:00Z
Congo (Kinshasa),48,2020-03-25T00:00:00Z
Congo (Kinshasa),51,2020-03-26T00:00:00Z
Congo (Kinshasa),51,2020-03-27T00:00:00Z
Congo (Kinshasa),65,2020-03-28T00:00:00Z
Congo (Kinshasa),65,2020-03-29T00:00:00Z
Congo (Kinshasa),81,2020-03-30T00:00:00Z
Congo (Kinshasa),98,2020-03-31T00:00:00Z
Congo (Kinshasa),109,2020-04-01T00:00:00Z
Congo (Kinshasa),134,2020-04-02T00:00:00Z
Congo (Kinshasa),134,2020-04-03T00:00:00Z
Congo (Kinshasa),154,2020-04-04T00:00:00Z
Congo (Kinshasa),154,2020-04-05T00:00:00Z
Congo (Kinshasa),161,2020-04-06T00:00:00Z
Congo (Kinshasa),180,2020-04-07T00:00:00Z
Congo (Kinshasa),180,2020-04-08T00:00:00Z
Congo (Kinshasa),180,2020-04-09T00:00:00Z
Congo (Kinshasa),215,2020-04-10T00:00:00Z
Congo (Kinshasa),223,2020-04-11T00:00:00Z
Congo (Kinshasa),234,2020-04-12T00:00:00Z
Congo (Kinshasa),235,2020-04-13T00:00:00Z
Congo (Kinshasa),241,2020-04-14T00:00:00Z
Congo (Kinshasa),254,2020-04-15T00:00:00Z
Congo (Kinshasa),267,2020-04-16T00:00:00Z
Congo (Kinshasa),287,2020-04-17T00:00:00Z
Congo (Kinshasa),307,2020-04-18T00:00:00Z
Congo (Kinshasa),327,2020-04-19T00:00:00Z
Congo (Kinshasa),332,2020-04-20T00:00:00Z
Congo (Kinshasa),350,2020-04-21T00:00:00Z
Congo (Kinshasa),359,2020-04-22T00:00:00Z
Congo (Kinshasa),377,2020-04-23T00:00:00Z
Congo (Kinshasa),394,2020-04-24T00:00:00Z
Congo (Kinshasa),416,2020-04-25T00:00:00Z
Congo (Kinshasa),442,2020-04-26T00:00:00Z
Congo (Kinshasa),459,2020-04-27T00:00:00Z
Congo (Kinshasa),471,2020-04-28T00:00:00Z
Congo (Kinshasa),491,2020-04-29T00:00:00Z
Congo (Kinshasa),572,2020-04-30T00:00:00Z
Congo (Kinshasa),604,2020-05-01T00:00:00Z
Congo (Kinshasa),674,2020-05-02T00:00:00Z
Congo (Kinshasa),674,2020-05-03T00:00:00Z
Congo (Kinshasa),682,2020-05-04T00:00:00Z
Congo (Kinshasa),705,2020-05-05T00:00:00Z
Congo (Kinshasa),797,2020-05-06T00:00:00Z
Congo (Kinshasa),863,2020-05-07T00:00:00Z
Congo (Kinshasa),937,2020-05-08T00:00:00Z
Congo (Kinshasa),937,2020-05-09T00:00:00Z
Congo (Kinshasa),991,2020-05-10T00:00:00Z
Congo (Kinshasa),1024,2020-05-11T00:00:00Z
Congo (Kinshasa),1102,2020-05-12T00:00:00Z
Congo (Kinshasa),1169,2020-05-13T00:00:00Z
Congo (Kinshasa),1242,2020-05-14T00:00:00Z
Congo (Kinshasa),1298,2020-05-15T00:00:00Z
Congo (Kinshasa),1455,2020-05-16T00:00:00Z
