Country,Cases,Date
Costa Rica,1,2020-03-06T00:00:00Z
Costa Rica,1,2020-03-07T00:00:00Z
Costa Rica,5,2020-03-08T00:00:00Z
Costa Rica,9,2020-03-09T00:00:00Z
Costa Rica,9,2020-03-10T00:00:00Z
Costa Rica,13,2020-03-11T00:00:00Z
Costa Rica,22,2020-03-12T00:00:00Z
Costa Rica,23,2020-03-13T00:00:00Z
Costa Rica,26,2020-03-14T00:00:00Z
Costa Rica,27,2020-03-15T00:00:00Z
Costa Rica,35,2020-03-16T00:00:00Z
Costa Rica,41,2020-03-17T00:00:00Z
Costa Rica,50,2020-03-18T00:00:00Z
Costa Rica,69,2020-03-19T00:00:00Z
Costa Rica,89,2020-03-20T00:00:00Z
Costa Rica,117,2020-03-21T00:00:00Z
Costa Rica,134,2020-03-22T00:00:00Z
Costa Rica,158,2020-03-23T00:00:00Z
Costa Rica,177,2020-03-24T00:00:00Z
Costa Rica,201,2020-03-25T00:00:00Z
Costa Rica,231,2020-03-26T00:00:00Z
Costa Rica,263,2020-03-27T00:00:00Z
Costa Rica,295,2020-03-28T00:00:00Z
Costa Rica,314,2020-03-29T00:00:00Z
Costa Rica,330,2020-03-30T00:00:00Z
Costa Rica,347,2020-03-31T00:00:00Z
Costa Rica,375,2020-04-01T00:00:00Z
Costa Rica,396,2020-04-02T00:00:00Z
Costa Rica,416,2020-04-03T00:00:00Z
Costa Rica,435,2020-04-04T00:00:00Z
Costa Rica,454,2020-04-05T00:00:00Z
Costa Rica,467,2020-04-06T00:00:00Z
Costa Rica,483,2020-04-07T00:00:00Z
Costa Rica,502,2020-04-08T00:00:00Z
Costa Rica,539,2020-04-09T00:00:00Z
Costa Rica,558,2020-04-10T00:00:00Z
Costa Rica,577,2020-04-11T00:00:00Z
Costa Rica,595,2020-04-12T00:00:00Z
Costa Rica,612,2020-04-13T00:00:00Z
Costa Rica,618,2020-04-14T00:00:00Z
Costa Rica,626,2020-04-15T00:00:00Z
Costa Rica,642,2020-04-16T00:00:00Z
Costa Rica,649,2020-04-17T00:00:00Z
Costa Rica,655,2020-04-18T00:00:00Z
Costa Rica,660,2020-04-19T00:00:00Z
Costa Rica,662,2020-04-20T00:00:00Z
Costa Rica,669,2020-04-21T00:00:00Z
Costa Rica,681,2020-04-22T00:00:00Z
Costa Rica,686,2020-04-23T00:00:00Z
Costa Rica,687,2020-04-24T00:00:00Z
Costa Rica,693,2020-04-25T00:00:00Z
Costa Rica,695,2020-04-26T00:00:00Z
Costa Rica,697,2020-04-27T00:00:00Z
Costa Rica,705,2020-04-28T00:00:00Z
Costa Rica,713,2020-04-29T00:00:00Z
Costa Rica,719,2020-04-30T00:00:00Z
Costa Rica,725,2020-05-01T00:00:00Z
Costa Rica,733,2020-05-02T00:00:00Z
Costa Rica,739,2020-05-03T00:00:00Z
Costa Rica,742,2020-05-04T00:00:00Z
Costa Rica,755,2020-05-05T00:00:00Z
Costa Rica,761,2020-05-06T00:00:00Z
Costa Rica,765,2020-05-07T00:00:00Z
Costa Rica,773,2020-05-08T00:00:00Z
Costa Rica,780,2020-05-09T00:00:00Z
Costa Rica,792,2020-05-10T00:00:00Z
Costa Rica,801,2020-05-11T00:00:00Z
Costa Rica,804,2020-05-12T00:00:00Z
Costa Rica,815,2020-05-13T00:00:00Z
Costa Rica,830,2020-05-14T00:00:00Z
Costa Rica,843,2020-05-15T00:00:00Z
Costa Rica,853,2020-05-16T00:00:00Z
