Country,Cases,Date
Côte d'Ivoire,1,2020-03-11T00:00:00Z
Côte d'Ivoire,1,2020-03-12T00:00:00Z
Côte d'Ivoire,1,2020-03-13T00:00:00Z
Côte d'Ivoire,1,2020-03-14T00:00:00Z
Côte d'Ivoire,1,2020-03-15T00:00:00Z
Côte d'Ivoire,1,2020-03-16T00:00:00Z
Côte d'Ivoire,5,2020-03-17T00:00:00Z
Côte d'Ivoire,6,2020-03-18T00:00:00Z
Côte d'Ivoire,9,2020-03-19T00:00:00Z
Côte d'Ivoire,9,2020-03-20T00:00:00Z
Côte d'Ivoire,14,2020-03-21T00:00:00Z
Côte d'Ivoire,14,2020-03-22T00:00:00Z
Côte d'Ivoire,25,2020-03-23T00:00:00Z
Côte d'Ivoire,73,2020-03-24T00:00:00Z
Côte d'Ivoire,80,2020-03-25T00:00:00Z
Côte d'Ivoire,96,2020-03-26T00:00:00Z
Côte d'Ivoire,101,2020-03-27T00:00:00Z
Côte d'Ivoire,101,2020-03-28T00:00:00Z
Côte d'Ivoire,165,2020-03-29T00:00:00Z
Côte d'Ivoire,168,2020-03-30T00:00:00Z
Côte d'Ivoire,179,2020-03-31T00:00:00Z
Côte d'Ivoire,190,2020-04-01T00:00:00Z
Côte d'Ivoire,194,2020-04-02T00:00:00Z
Côte d'Ivoire,218,2020-04-03T00:00:00Z
Côte d'Ivoire,245,2020-04-04T00:00:00Z
Côte d'Ivoire,261,2020-04-05T00:00:00Z
Côte d'Ivoire,323,2020-04-06T00:00:00Z
Côte d'Ivoire,349,2020-04-07T00:00:00Z
Côte d'Ivoire,384,2020-04-08T00:00:00Z
Côte d'Ivoire,444,2020-04-09T00:00:00Z
Côte d'Ivoire,444,2020-04-10T00:00:00Z
Côte d'Ivoire,533,2020-04-11T00:00:00Z
Côte d'Ivoire,574,2020-04-12T00:00:00Z
Côte d'Ivoire,626,2020-04-13T00:00:00Z
Côte d'Ivoire,638,2020-04-14T00:00:00Z
Côte d'Ivoire,638,2020-04-15T00:00:00Z
Côte d'Ivoire,654,2020-04-16T00:00:00Z
Côte d'Ivoire,688,2020-04-17T00:00:00Z
Côte d'Ivoire,801,2020-04-18T00:00:00Z
Côte d'Ivoire,847,2020-04-19T00:00:00Z
Côte d'Ivoire,847,2020-04-20T00:00:00Z
Côte d'Ivoire,916,2020-04-21T00:00:00Z
Côte d'Ivoire,952,2020-04-22T00:00:00Z
Côte d'Ivoire,1004,2020-04-23T00:00:00Z
Côte d'Ivoire,1077,2020-04-24T00:00:00Z
Côte d'Ivoire,1077,2020-04-25T00:00:00Z
Côte d'Ivoire,1150,2020-04-26T00:00:00Z
Côte d'Ivoire,1164,2020-04-27T00:00:00Z
Côte d'Ivoire,1183,2020-04-28T00:00:00Z
Côte d'Ivoire,1238,2020-04-29T00:00:00Z
Côte d'Ivoire,1275,2020-04-30T00:00:00Z
Côte d'Ivoire,1333,2020-05-01T00:00:00Z
Côte d'Ivoire,1362,2020-05-02T00:00:00Z
Côte d'Ivoire,1398,2020-05-03T00:00:00Z
Côte d'Ivoire,1432,2020-05-04T00:00:00Z
Côte d'Ivoire,1464,2020-05-05T00:00:00Z
Côte d'Ivoire,1516,2020-05-06T00:00:00Z
Côte d'Ivoire,1571,2020-05-07T00:00:00Z
Côte d'Ivoire,1602,2020-05-08T00:00:00Z
Côte d'Ivoire,1667,2020-05-09T00:00:00Z
Côte d'Ivoire,1700,2020-05-10T00:00:00Z
Côte d'Ivoire,1730,2020-05-11T00:00:00Z
Côte d'Ivoire,1857,2020-05-12T00:00:00Z
Côte d'Ivoire,1912,2020-05-13T00:00:00Z
Côte d'Ivoire,1971,2020-05-14T00:00:00Z
Côte d'Ivoire,2017,2020-05-15T00:00:00Z
Côte d'Ivoire,2061,2020-05-16T00:00:00Z
