Country,Cases,Date
Croatia,1,2020-02-25T00:00:00Z
Croatia,3,2020-02-26T00:00:00Z
Croatia,3,2020-02-27T00:00:00Z
Croatia,5,2020-02-28T00:00:00Z
Croatia,6,2020-02-29T00:00:00Z
Croatia,7,2020-03-01T00:00:00Z
Croatia,7,2020-03-02T00:00:00Z
Croatia,9,2020-03-03T00:00:00Z
Croatia,10,2020-03-04T00:00:00Z
Croatia,10,2020-03-05T00:00:00Z
Croatia,11,2020-03-06T00:00:00Z
Croatia,12,2020-03-07T00:00:00Z
Croatia,12,2020-03-08T00:00:00Z
Croatia,12,2020-03-09T00:00:00Z
Croatia,14,2020-03-10T00:00:00Z
Croatia,19,2020-03-11T00:00:00Z
Croatia,19,2020-03-12T00:00:00Z
Croatia,32,2020-03-13T00:00:00Z
Croatia,38,2020-03-14T00:00:00Z
Croatia,49,2020-03-15T00:00:00Z
Croatia,57,2020-03-16T00:00:00Z
Croatia,65,2020-03-17T00:00:00Z
Croatia,81,2020-03-18T00:00:00Z
Croatia,105,2020-03-19T00:00:00Z
Croatia,128,2020-03-20T00:00:00Z
Croatia,206,2020-03-21T00:00:00Z
Croatia,254,2020-03-22T00:00:00Z
Croatia,315,2020-03-23T00:00:00Z
Croatia,382,2020-03-24T00:00:00Z
Croatia,442,2020-03-25T00:00:00Z
Croatia,495,2020-03-26T00:00:00Z
Croatia,586,2020-03-27T00:00:00Z
Croatia,657,2020-03-28T00:00:00Z
Croatia,713,2020-03-29T00:00:00Z
Croatia,790,2020-03-30T00:00:00Z
Croatia,867,2020-03-31T00:00:00Z
Croatia,963,2020-04-01T00:00:00Z
Croatia,1011,2020-04-02T00:00:00Z
Croatia,1079,2020-04-03T00:00:00Z
Croatia,1126,2020-04-04T00:00:00Z
Croatia,1182,2020-04-05T00:00:00Z
Croatia,1222,2020-04-06T00:00:00Z
Croatia,1282,2020-04-07T00:00:00Z
Croatia,1343,2020-04-08T00:00:00Z
Croatia,1407,2020-04-09T00:00:00Z
Croatia,1495,2020-04-10T00:00:00Z
Croatia,1534,2020-04-11T00:00:00Z
Croatia,1600,2020-04-12T00:00:00Z
Croatia,1650,2020-04-13T00:00:00Z
Croatia,1704,2020-04-14T00:00:00Z
Croatia,1741,2020-04-15T00:00:00Z
Croatia,1791,2020-04-16T00:00:00Z
Croatia,1814,2020-04-17T00:00:00Z
Croatia,1832,2020-04-18T00:00:00Z
Croatia,1871,2020-04-19T00:00:00Z
Croatia,1881,2020-04-20T00:00:00Z
Croatia,1908,2020-04-21T00:00:00Z
Croatia,1950,2020-04-22T00:00:00Z
Croatia,1981,2020-04-23T00:00:00Z
Croatia,2009,2020-04-24T00:00:00Z
Croatia,2016,2020-04-25T00:00:00Z
Croatia,2030,2020-04-26T00:00:00Z
Croatia,2039,2020-04-27T00:00:00Z
Croatia,2047,2020-04-28T00:00:00Z
Croatia,2062,2020-04-29T00:00:00Z
Croatia,2076,2020-04-30T00:00:00Z
Croatia,2085,2020-05-01T00:00:00Z
Croatia,2088,2020-05-02T00:00:00Z
Croatia,2096,2020-05-03T00:00:00Z
Croatia,2101,2020-05-04T00:00:00Z
Croatia,2112,2020-05-05T00:00:00Z
Croatia,2119,2020-05-06T00:00:00Z
Croatia,2125,2020-05-07T00:00:00Z
Croatia,2161,2020-05-08T00:00:00Z
Croatia,2176,2020-05-09T00:00:00Z
Croatia,2187,2020-05-10T00:00:00Z
Croatia,2196,2020-05-11T00:00:00Z
Croatia,2207,2020-05-12T00:00:00Z
Croatia,2213,2020-05-13T00:00:00Z
Croatia,2221,2020-05-14T00:00:00Z
Croatia,2222,2020-05-15T00:00:00Z
Croatia,2224,2020-05-16T00:00:00Z
