Country,Cases,Date
Cuba,3,2020-03-12T00:00:00Z
Cuba,4,2020-03-13T00:00:00Z
Cuba,4,2020-03-14T00:00:00Z
Cuba,4,2020-03-15T00:00:00Z
Cuba,4,2020-03-16T00:00:00Z
Cuba,5,2020-03-17T00:00:00Z
Cuba,7,2020-03-18T00:00:00Z
Cuba,11,2020-03-19T00:00:00Z
Cuba,16,2020-03-20T00:00:00Z
Cuba,21,2020-03-21T00:00:00Z
Cuba,35,2020-03-22T00:00:00Z
Cuba,40,2020-03-23T00:00:00Z
Cuba,48,2020-03-24T00:00:00Z
Cuba,57,2020-03-25T00:00:00Z
Cuba,67,2020-03-26T00:00:00Z
Cuba,80,2020-03-27T00:00:00Z
Cuba,119,2020-03-28T00:00:00Z
Cuba,139,2020-03-29T00:00:00Z
Cuba,170,2020-03-30T00:00:00Z
Cuba,186,2020-03-31T00:00:00Z
Cuba,212,2020-04-01T00:00:00Z
Cuba,233,2020-04-02T00:00:00Z
Cuba,269,2020-04-03T00:00:00Z
Cuba,288,2020-04-04T00:00:00Z
Cuba,320,2020-04-05T00:00:00Z
Cuba,350,2020-04-06T00:00:00Z
Cuba,396,2020-04-07T00:00:00Z
Cuba,457,2020-04-08T00:00:00Z
Cuba,515,2020-04-09T00:00:00Z
Cuba,564,2020-04-10T00:00:00Z
Cuba,620,2020-04-11T00:00:00Z
Cuba,669,2020-04-12T00:00:00Z
Cuba,726,2020-04-13T00:00:00Z
Cuba,766,2020-04-14T00:00:00Z
Cuba,814,2020-04-15T00:00:00Z
Cuba,862,2020-04-16T00:00:00Z
Cuba,923,2020-04-17T00:00:00Z
Cuba,986,2020-04-18T00:00:00Z
Cuba,1035,2020-04-19T00:00:00Z
Cuba,1087,2020-04-20T00:00:00Z
Cuba,1137,2020-04-21T00:00:00Z
Cuba,1189,2020-04-22T00:00:00Z
Cuba,1235,2020-04-23T00:00:00Z
Cuba,1285,2020-04-24T00:00:00Z
Cuba,1337,2020-04-25T00:00:00Z
Cuba,1369,2020-04-26T00:00:00Z
Cuba,1389,2020-04-27T00:00:00Z
Cuba,1437,2020-04-28T00:00:00Z
Cuba,1467,2020-04-29T00:00:00Z
Cuba,1501,2020-04-30T00:00:00Z
Cuba,1537,2020-05-01T00:00:00Z
Cuba,1611,2020-05-02T00:00:00Z
Cuba,1649,2020-05-03T00:00:00Z
Cuba,1668,2020-05-04T00:00:00Z
Cuba,1685,2020-05-05T00:00:00Z
Cuba,1703,2020-05-06T00:00:00Z
Cuba,1729,2020-05-07T00:00:00Z
Cuba,1741,2020-05-08T00:00:00Z
Cuba,1754,2020-05-09T00:00:00Z
Cuba,1766,2020-05-10T00:00:00Z
Cuba,1783,2020-05-11T00:00:00Z
Cuba,1804,2020-05-12T00:00:00Z
Cuba,1810,2020-05-13T00:00:00Z
Cuba,1830,2020-05-14T00:00:00Z
Cuba,1840,2020-05-15T00:00:00Z
Cuba,1862,2020-05-16T00:00:00Z
