Country,Cases,Date
Cyprus,2,2020-03-09T00:00:00Z
Cyprus,3,2020-03-10T00:00:00Z
Cyprus,6,2020-03-11T00:00:00Z
Cyprus,6,2020-03-12T00:00:00Z
Cyprus,14,2020-03-13T00:00:00Z
Cyprus,26,2020-03-14T00:00:00Z
Cyprus,26,2020-03-15T00:00:00Z
Cyprus,33,2020-03-16T00:00:00Z
Cyprus,46,2020-03-17T00:00:00Z
Cyprus,49,2020-03-18T00:00:00Z
Cyprus,67,2020-03-19T00:00:00Z
Cyprus,67,2020-03-20T00:00:00Z
Cyprus,84,2020-03-21T00:00:00Z
Cyprus,95,2020-03-22T00:00:00Z
Cyprus,116,2020-03-23T00:00:00Z
Cyprus,124,2020-03-24T00:00:00Z
Cyprus,132,2020-03-25T00:00:00Z
Cyprus,146,2020-03-26T00:00:00Z
Cyprus,162,2020-03-27T00:00:00Z
Cyprus,179,2020-03-28T00:00:00Z
Cyprus,214,2020-03-29T00:00:00Z
Cyprus,230,2020-03-30T00:00:00Z
Cyprus,262,2020-03-31T00:00:00Z
Cyprus,320,2020-04-01T00:00:00Z
Cyprus,356,2020-04-02T00:00:00Z
Cyprus,396,2020-04-03T00:00:00Z
Cyprus,426,2020-04-04T00:00:00Z
Cyprus,446,2020-04-05T00:00:00Z
Cyprus,465,2020-04-06T00:00:00Z
Cyprus,494,2020-04-07T00:00:00Z
Cyprus,526,2020-04-08T00:00:00Z
Cyprus,564,2020-04-09T00:00:00Z
Cyprus,595,2020-04-10T00:00:00Z
Cyprus,616,2020-04-11T00:00:00Z
Cyprus,633,2020-04-12T00:00:00Z
Cyprus,662,2020-04-13T00:00:00Z
Cyprus,695,2020-04-14T00:00:00Z
Cyprus,715,2020-04-15T00:00:00Z
Cyprus,735,2020-04-16T00:00:00Z
Cyprus,750,2020-04-17T00:00:00Z
Cyprus,761,2020-04-18T00:00:00Z
Cyprus,767,2020-04-19T00:00:00Z
Cyprus,772,2020-04-20T00:00:00Z
Cyprus,784,2020-04-21T00:00:00Z
Cyprus,790,2020-04-22T00:00:00Z
Cyprus,795,2020-04-23T00:00:00Z
Cyprus,804,2020-04-24T00:00:00Z
Cyprus,810,2020-04-25T00:00:00Z
Cyprus,817,2020-04-26T00:00:00Z
Cyprus,822,2020-04-27T00:00:00Z
Cyprus,837,2020-04-28T00:00:00Z
Cyprus,843,2020-04-29T00:00:00Z
Cyprus,850,2020-04-30T00:00:00Z
Cyprus,857,2020-05-01T00:00:00Z
Cyprus,864,2020-05-02T00:00:00Z
Cyprus,872,2020-05-03T00:00:00Z
Cyprus,874,2020-05-04T00:00:00Z
Cyprus,878,2020-05-05T00:00:00Z
Cyprus,883,2020-05-06T00:00:00Z
Cyprus,889,2020-05-07T00:00:00Z
Cyprus,891,2020-05-08T00:00:00Z
Cyprus,892,2020-05-09T00:00:00Z
Cyprus,898,2020-05-10T00:00:00Z
Cyprus,901,2020-05-11T00:00:00Z
Cyprus,903,2020-05-12T00:00:00Z
Cyprus,905,2020-05-13T00:00:00Z
Cyprus,907,2020-05-14T00:00:00Z
Cyprus,910,2020-05-15T00:00:00Z
Cyprus,914,2020-05-16T00:00:00Z
