Country,Cases,Date
Czech Republic,3,2020-03-01T00:00:00Z
Czech Republic,3,2020-03-02T00:00:00Z
Czech Republic,5,2020-03-03T00:00:00Z
Czech Republic,8,2020-03-04T00:00:00Z
Czech Republic,12,2020-03-05T00:00:00Z
Czech Republic,18,2020-03-06T00:00:00Z
Czech Republic,19,2020-03-07T00:00:00Z
Czech Republic,31,2020-03-08T00:00:00Z
Czech Republic,31,2020-03-09T00:00:00Z
Czech Republic,41,2020-03-10T00:00:00Z
Czech Republic,91,2020-03-11T00:00:00Z
Czech Republic,94,2020-03-12T00:00:00Z
Czech Republic,141,2020-03-13T00:00:00Z
Czech Republic,189,2020-03-14T00:00:00Z
Czech Republic,253,2020-03-15T00:00:00Z
Czech Republic,298,2020-03-16T00:00:00Z
Czech Republic,396,2020-03-17T00:00:00Z
Czech Republic,464,2020-03-18T00:00:00Z
Czech Republic,694,2020-03-19T00:00:00Z
Czech Republic,833,2020-03-20T00:00:00Z
Czech Republic,995,2020-03-21T00:00:00Z
Czech Republic,1120,2020-03-22T00:00:00Z
Czech Republic,1236,2020-03-23T00:00:00Z
Czech Republic,1394,2020-03-24T00:00:00Z
Czech Republic,1654,2020-03-25T00:00:00Z
Czech Republic,1925,2020-03-26T00:00:00Z
Czech Republic,2279,2020-03-27T00:00:00Z
Czech Republic,2631,2020-03-28T00:00:00Z
Czech Republic,2817,2020-03-29T00:00:00Z
Czech Republic,3001,2020-03-30T00:00:00Z
Czech Republic,3308,2020-03-31T00:00:00Z
Czech Republic,3508,2020-04-01T00:00:00Z
Czech Republic,3858,2020-04-02T00:00:00Z
Czech Republic,4091,2020-04-03T00:00:00Z
Czech Republic,4472,2020-04-04T00:00:00Z
Czech Republic,4587,2020-04-05T00:00:00Z
Czech Republic,4822,2020-04-06T00:00:00Z
Czech Republic,5017,2020-04-07T00:00:00Z
Czech Republic,5312,2020-04-08T00:00:00Z
Czech Republic,5569,2020-04-09T00:00:00Z
Czech Republic,5732,2020-04-10T00:00:00Z
Czech Republic,5831,2020-04-11T00:00:00Z
Czech Republic,5991,2020-04-12T00:00:00Z
Czech Republic,6059,2020-04-13T00:00:00Z
Czech Republic,6111,2020-04-14T00:00:00Z
Czech Republic,6216,2020-04-15T00:00:00Z
Czech Republic,6433,2020-04-16T00:00:00Z
Czech Republic,6549,2020-04-17T00:00:00Z
Czech Republic,6606,2020-04-18T00:00:00Z
Czech Republic,6746,2020-04-19T00:00:00Z
Czech Republic,6900,2020-04-20T00:00:00Z
Czech Republic,7033,2020-04-21T00:00:00Z
Czech Republic,7132,2020-04-22T00:00:00Z
Czech Republic,7187,2020-04-23T00:00:00Z
Czech Republic,7273,2020-04-24T00:00:00Z
Czech Republic,7352,2020-04-25T00:00:00Z
Czech Republic,7404,2020-04-26T00:00:00Z
Czech Republic,7445,2020-04-27T00:00:00Z
Czech Republic,7504,2020-04-28T00:00:00Z
Czech Republic,7579,2020-04-29T00:00:00Z
Czech Republic,7682,2020-04-30T00:00:00Z
Czech Republic,7737,2020-05-01T00:00:00Z
Czech Republic,7755,2020-05-02T00:00:00Z
Czech Republic,7781,2020-05-03T00:00:00Z
Czech Republic,7819,2020-05-04T00:00:00Z
Czech Republic,7896,2020-05-05T00:00:00Z
Czech Republic,7974,2020-05-06T00:00:00Z
Czech Republic,8031,2020-05-07T00:00:00Z
Czech Republic,8077,2020-05-08T00:00:00Z
Czech Republic,8095,2020-05-09T00:00:00Z
Czech Republic,8123,2020-05-10T00:00:00Z
Czech Republic,8176,2020-05-11T00:00:00Z
Czech Republic,8221,2020-05-12T00:00:00Z
Czech Republic,8269,2020-05-13T00:00:00Z
Czech Republic,8351,2020-05-14T00:00:00Z
Czech Republic,8406,2020-05-15T00:00:00Z
Czech Republic,8455,2020-05-16T00:00:00Z
