Country,Cases,Date
Denmark,1,2020-02-27T00:00:00Z
Denmark,1,2020-02-28T00:00:00Z
Denmark,3,2020-02-29T00:00:00Z
Denmark,4,2020-03-01T00:00:00Z
Denmark,4,2020-03-02T00:00:00Z
Denmark,6,2020-03-03T00:00:00Z
Denmark,10,2020-03-04T00:00:00Z
Denmark,10,2020-03-05T00:00:00Z
Denmark,23,2020-03-06T00:00:00Z
Denmark,23,2020-03-07T00:00:00Z
Denmark,35,2020-03-08T00:00:00Z
Denmark,90,2020-03-09T00:00:00Z
Denmark,262,2020-03-10T00:00:00Z
Denmark,442,2020-03-11T00:00:00Z
Denmark,615,2020-03-12T00:00:00Z
Denmark,801,2020-03-13T00:00:00Z
Denmark,827,2020-03-14T00:00:00Z
Denmark,864,2020-03-15T00:00:00Z
Denmark,914,2020-03-16T00:00:00Z
Denmark,977,2020-03-17T00:00:00Z
Denmark,1057,2020-03-18T00:00:00Z
Denmark,1151,2020-03-19T00:00:00Z
Denmark,1255,2020-03-20T00:00:00Z
Denmark,1326,2020-03-21T00:00:00Z
Denmark,1395,2020-03-22T00:00:00Z
Denmark,1450,2020-03-23T00:00:00Z
Denmark,1591,2020-03-24T00:00:00Z
Denmark,1724,2020-03-25T00:00:00Z
Denmark,1877,2020-03-26T00:00:00Z
Denmark,2046,2020-03-27T00:00:00Z
Denmark,2201,2020-03-28T00:00:00Z
Denmark,2395,2020-03-29T00:00:00Z
Denmark,2577,2020-03-30T00:00:00Z
Denmark,2860,2020-03-31T00:00:00Z
Denmark,3107,2020-04-01T00:00:00Z
Denmark,3386,2020-04-02T00:00:00Z
Denmark,3757,2020-04-03T00:00:00Z
Denmark,4077,2020-04-04T00:00:00Z
Denmark,4369,2020-04-05T00:00:00Z
Denmark,4681,2020-04-06T00:00:00Z
Denmark,5071,2020-04-07T00:00:00Z
Denmark,5402,2020-04-08T00:00:00Z
Denmark,5635,2020-04-09T00:00:00Z
Denmark,5819,2020-04-10T00:00:00Z
Denmark,5996,2020-04-11T00:00:00Z
Denmark,6174,2020-04-12T00:00:00Z
Denmark,6318,2020-04-13T00:00:00Z
Denmark,6511,2020-04-14T00:00:00Z
Denmark,6681,2020-04-15T00:00:00Z
Denmark,6879,2020-04-16T00:00:00Z
Denmark,7073,2020-04-17T00:00:00Z
Denmark,7242,2020-04-18T00:00:00Z
Denmark,7384,2020-04-19T00:00:00Z
Denmark,7515,2020-04-20T00:00:00Z
Denmark,7695,2020-04-21T00:00:00Z
Denmark,7912,2020-04-22T00:00:00Z
Denmark,8073,2020-04-23T00:00:00Z
Denmark,8210,2020-04-24T00:00:00Z
Denmark,8445,2020-04-25T00:00:00Z
Denmark,8575,2020-04-26T00:00:00Z
Denmark,8698,2020-04-27T00:00:00Z
Denmark,8851,2020-04-28T00:00:00Z
Denmark,9008,2020-04-29T00:00:00Z
Denmark,9158,2020-04-30T00:00:00Z
Denmark,9311,2020-05-01T00:00:00Z
Denmark,9407,2020-05-02T00:00:00Z
Denmark,9523,2020-05-03T00:00:00Z
Denmark,9670,2020-05-04T00:00:00Z
Denmark,9821,2020-05-05T00:00:00Z
Denmark,9938,2020-05-06T00:00:00Z
Denmark,10083,2020-05-07T00:00:00Z
Denmark,10218,2020-05-08T00:00:00Z
Denmark,10319,2020-05-09T00:00:00Z
Denmark,10429,2020-05-10T00:00:00Z
Denmark,10513,2020-05-11T00:00:00Z
Denmark,10591,2020-05-12T00:00:00Z
Denmark,10667,2020-05-13T00:00:00Z
Denmark,10713,2020-05-14T00:00:00Z
Denmark,10791,2020-05-15T00:00:00Z
Denmark,10858,2020-05-16T00:00:00Z
