Country,Cases,Date
Dominican Republic,1,2020-03-01T00:00:00Z
Dominican Republic,1,2020-03-02T00:00:00Z
Dominican Republic,1,2020-03-03T00:00:00Z
Dominican Republic,1,2020-03-04T00:00:00Z
Dominican Republic,1,2020-03-05T00:00:00Z
Dominican Republic,2,2020-03-06T00:00:00Z
Dominican Republic,2,2020-03-07T00:00:00Z
Dominican Republic,5,2020-03-08T00:00:00Z
Dominican Republic,5,2020-03-09T00:00:00Z
Dominican Republic,5,2020-03-10T00:00:00Z
Dominican Republic,5,2020-03-11T00:00:00Z
Dominican Republic,5,2020-03-12T00:00:00Z
Dominican Republic,5,2020-03-13T00:00:00Z
Dominican Republic,11,2020-03-14T00:00:00Z
Dominican Republic,11,2020-03-15T00:00:00Z
Dominican Republic,11,2020-03-16T00:00:00Z
Dominican Republic,21,2020-03-17T00:00:00Z
Dominican Republic,21,2020-03-18T00:00:00Z
Dominican Republic,34,2020-03-19T00:00:00Z
Dominican Republic,72,2020-03-20T00:00:00Z
Dominican Republic,112,2020-03-21T00:00:00Z
Dominican Republic,202,2020-03-22T00:00:00Z
Dominican Republic,245,2020-03-23T00:00:00Z
Dominican Republic,312,2020-03-24T00:00:00Z
Dominican Republic,392,2020-03-25T00:00:00Z
Dominican Republic,488,2020-03-26T00:00:00Z
Dominican Republic,581,2020-03-27T00:00:00Z
Dominican Republic,719,2020-03-28T00:00:00Z
Dominican Republic,859,2020-03-29T00:00:00Z
Dominican Republic,901,2020-03-30T00:00:00Z
Dominican Republic,1109,2020-03-31T00:00:00Z
Dominican Republic,1284,2020-04-01T00:00:00Z
Dominican Republic,1380,2020-04-02T00:00:00Z
Dominican Republic,1488,2020-04-03T00:00:00Z
Dominican Republic,1488,2020-04-04T00:00:00Z
Dominican Republic,1745,2020-04-05T00:00:00Z
Dominican Republic,1828,2020-04-06T00:00:00Z
Dominican Republic,1956,2020-04-07T00:00:00Z
Dominican Republic,2111,2020-04-08T00:00:00Z
Dominican Republic,2349,2020-04-09T00:00:00Z
Dominican Republic,2620,2020-04-10T00:00:00Z
Dominican Republic,2759,2020-04-11T00:00:00Z
Dominican Republic,2967,2020-04-12T00:00:00Z
Dominican Republic,3167,2020-04-13T00:00:00Z
Dominican Republic,3286,2020-04-14T00:00:00Z
Dominican Republic,3614,2020-04-15T00:00:00Z
Dominican Republic,3755,2020-04-16T00:00:00Z
Dominican Republic,4126,2020-04-17T00:00:00Z
Dominican Republic,4335,2020-04-18T00:00:00Z
Dominican Republic,4680,2020-04-19T00:00:00Z
Dominican Republic,4964,2020-04-20T00:00:00Z
Dominican Republic,5044,2020-04-21T00:00:00Z
Dominican Republic,5300,2020-04-22T00:00:00Z
Dominican Republic,5543,2020-04-23T00:00:00Z
Dominican Republic,5749,2020-04-24T00:00:00Z
Dominican Republic,5926,2020-04-25T00:00:00Z
Dominican Republic,6135,2020-04-26T00:00:00Z
Dominican Republic,6293,2020-04-27T00:00:00Z
Dominican Republic,6416,2020-04-28T00:00:00Z
Dominican Republic,6652,2020-04-29T00:00:00Z
Dominican Republic,6972,2020-04-30T00:00:00Z
Dominican Republic,7288,2020-05-01T00:00:00Z
Dominican Republic,7578,2020-05-02T00:00:00Z
Dominican Republic,7954,2020-05-03T00:00:00Z
Dominican Republic,8235,2020-05-04T00:00:00Z
Dominican Republic,8480,2020-05-05T00:00:00Z
Dominican Republic,8807,2020-05-06T00:00:00Z
Dominican Republic,9095,2020-05-07T00:00:00Z
Dominican Republic,9376,2020-05-08T00:00:00Z
Dominican Republic,9882,2020-05-09T00:00:00Z
Dominican Republic,10347,2020-05-10T00:00:00Z
Dominican Republic,10634,2020-05-11T00:00:00Z
Dominican Republic,10900,2020-05-12T00:00:00Z
Dominican Republic,11196,2020-05-13T00:00:00Z
Dominican Republic,11320,2020-05-14T00:00:00Z
Dominican Republic,11739,2020-05-15T00:00:00Z
Dominican Republic,12110,2020-05-16T00:00:00Z
