Country,Cases,Date
Ecuador,6,2020-03-01T00:00:00Z
Ecuador,6,2020-03-02T00:00:00Z
Ecuador,7,2020-03-03T00:00:00Z
Ecuador,10,2020-03-04T00:00:00Z
Ecuador,13,2020-03-05T00:00:00Z
Ecuador,13,2020-03-06T00:00:00Z
Ecuador,13,2020-03-07T00:00:00Z
Ecuador,14,2020-03-08T00:00:00Z
Ecuador,15,2020-03-09T00:00:00Z
Ecuador,15,2020-03-10T00:00:00Z
Ecuador,17,2020-03-11T00:00:00Z
Ecuador,17,2020-03-12T00:00:00Z
Ecuador,17,2020-03-13T00:00:00Z
Ecuador,28,2020-03-14T00:00:00Z
Ecuador,28,2020-03-15T00:00:00Z
Ecuador,37,2020-03-16T00:00:00Z
Ecuador,58,2020-03-17T00:00:00Z
Ecuador,111,2020-03-18T00:00:00Z
Ecuador,199,2020-03-19T00:00:00Z
Ecuador,367,2020-03-20T00:00:00Z
Ecuador,506,2020-03-21T00:00:00Z
Ecuador,789,2020-03-22T00:00:00Z
Ecuador,981,2020-03-23T00:00:00Z
Ecuador,1082,2020-03-24T00:00:00Z
Ecuador,1173,2020-03-25T00:00:00Z
Ecuador,1403,2020-03-26T00:00:00Z
Ecuador,1595,2020-03-27T00:00:00Z
Ecuador,1823,2020-03-28T00:00:00Z
Ecuador,1924,2020-03-29T00:00:00Z
Ecuador,1962,2020-03-30T00:00:00Z
Ecuador,2240,2020-03-31T00:00:00Z
Ecuador,2748,2020-04-01T00:00:00Z
Ecuador,3163,2020-04-02T00:00:00Z
Ecuador,3368,2020-04-03T00:00:00Z
Ecuador,3465,2020-04-04T00:00:00Z
Ecuador,3646,2020-04-05T00:00:00Z
Ecuador,3747,2020-04-06T00:00:00Z
Ecuador,3747,2020-04-07T00:00:00Z
Ecuador,4450,2020-04-08T00:00:00Z
Ecuador,4965,2020-04-09T00:00:00Z
Ecuador,7161,2020-04-10T00:00:00Z
Ecuador,7257,2020-04-11T00:00:00Z
Ecuador,7466,2020-04-12T00:00:00Z
Ecuador,7529,2020-04-13T00:00:00Z
Ecuador,7603,2020-04-14T00:00:00Z
Ecuador,7858,2020-04-15T00:00:00Z
Ecuador,8225,2020-04-16T00:00:00Z
Ecuador,8450,2020-04-17T00:00:00Z
Ecuador,9022,2020-04-18T00:00:00Z
Ecuador,9468,2020-04-19T00:00:00Z
Ecuador,10128,2020-04-20T00:00:00Z
Ecuador,10398,2020-04-21T00:00:00Z
Ecuador,10850,2020-04-22T00:00:00Z
Ecuador,11183,2020-04-23T00:00:00Z
Ecuador,22719,2020-04-24T00:00:00Z
Ecuador,22719,2020-04-25T00:00:00Z
Ecuador,22719,2020-04-26T00:00:00Z
Ecuador,23240,2020-04-27T00:00:00Z
Ecuador,24258,2020-04-28T00:00:00Z
Ecuador,24675,2020-04-29T00:00:00Z
Ecuador,24934,2020-04-30T00:00:00Z
Ecuador,26336,2020-05-01T00:00:00Z
Ecuador,27464,2020-05-02T00:00:00Z
Ecuador,29538,2020-05-03T00:00:00Z
Ecuador,31881,2020-05-04T00:00:00Z
Ecuador,31881,2020-05-05T00:00:00Z
Ecuador,31881,2020-05-06T00:00:00Z
Ecuador,30298,2020-05-07T00:00:00Z
Ecuador,28818,2020-05-08T00:00:00Z
Ecuador,29071,2020-05-09T00:00:00Z
Ecuador,29559,2020-05-10T00:00:00Z
Ecuador,29509,2020-05-11T00:00:00Z
Ecuador,30419,2020-05-12T00:00:00Z
Ecuador,30486,2020-05-13T00:00:00Z
Ecuador,30502,2020-05-14T00:00:00Z
Ecuador,31467,2020-05-15T00:00:00Z
Ecuador,32763,2020-05-16T00:00:00Z
