Country,Cases,Date
Egypt,1,2020-02-14T00:00:00Z
Egypt,1,2020-02-15T00:00:00Z
Egypt,1,2020-02-16T00:00:00Z
Egypt,1,2020-02-17T00:00:00Z
Egypt,1,2020-02-18T00:00:00Z
Egypt,1,2020-02-19T00:00:00Z
Egypt,1,2020-02-20T00:00:00Z
Egypt,1,2020-02-21T00:00:00Z
Egypt,1,2020-02-22T00:00:00Z
Egypt,1,2020-02-23T00:00:00Z
Egypt,1,2020-02-24T00:00:00Z
Egypt,1,2020-02-25T00:00:00Z
Egypt,1,2020-02-26T00:00:00Z
Egypt,1,2020-02-27T00:00:00Z
Egypt,1,2020-02-28T00:00:00Z
Egypt,1,2020-02-29T00:00:00Z
Egypt,2,2020-03-01T00:00:00Z
Egypt,2,2020-03-02T00:00:00Z
Egypt,2,2020-03-03T00:00:00Z
Egypt,2,2020-03-04T00:00:00Z
Egypt,3,2020-03-05T00:00:00Z
Egypt,15,2020-03-06T00:00:00Z
Egypt,15,2020-03-07T00:00:00Z
Egypt,49,2020-03-08T00:00:00Z
Egypt,55,2020-03-09T00:00:00Z
Egypt,59,2020-03-10T00:00:00Z
Egypt,60,2020-03-11T00:00:00Z
Egypt,67,2020-03-12T00:00:00Z
Egypt,80,2020-03-13T00:00:00Z
Egypt,109,2020-03-14T00:00:00Z
Egypt,110,2020-03-15T00:00:00Z
Egypt,150,2020-03-16T00:00:00Z
Egypt,196,2020-03-17T00:00:00Z
Egypt,196,2020-03-18T00:00:00Z
Egypt,256,2020-03-19T00:00:00Z
Egypt,285,2020-03-20T00:00:00Z
Egypt,294,2020-03-21T00:00:00Z
Egypt,327,2020-03-22T00:00:00Z
Egypt,366,2020-03-23T00:00:00Z
Egypt,402,2020-03-24T00:00:00Z
Egypt,456,2020-03-25T00:00:00Z
Egypt,495,2020-03-26T00:00:00Z
Egypt,536,2020-03-27T00:00:00Z
Egypt,576,2020-03-28T00:00:00Z
Egypt,609,2020-03-29T00:00:00Z
Egypt,656,2020-03-30T00:00:00Z
Egypt,710,2020-03-31T00:00:00Z
Egypt,779,2020-04-01T00:00:00Z
Egypt,865,2020-04-02T00:00:00Z
Egypt,985,2020-04-03T00:00:00Z
Egypt,1070,2020-04-04T00:00:00Z
Egypt,1173,2020-04-05T00:00:00Z
Egypt,1322,2020-04-06T00:00:00Z
Egypt,1450,2020-04-07T00:00:00Z
Egypt,1560,2020-04-08T00:00:00Z
Egypt,1699,2020-04-09T00:00:00Z
Egypt,1794,2020-04-10T00:00:00Z
Egypt,1939,2020-04-11T00:00:00Z
Egypt,2065,2020-04-12T00:00:00Z
Egypt,2190,2020-04-13T00:00:00Z
Egypt,2350,2020-04-14T00:00:00Z
Egypt,2505,2020-04-15T00:00:00Z
Egypt,2673,2020-04-16T00:00:00Z
Egypt,2844,2020-04-17T00:00:00Z
Egypt,3032,2020-04-18T00:00:00Z
Egypt,3144,2020-04-19T00:00:00Z
Egypt,3333,2020-04-20T00:00:00Z
Egypt,3490,2020-04-21T00:00:00Z
Egypt,3659,2020-04-22T00:00:00Z
Egypt,3891,2020-04-23T00:00:00Z
Egypt,4092,2020-04-24T00:00:00Z
Egypt,4319,2020-04-25T00:00:00Z
Egypt,4534,2020-04-26T00:00:00Z
Egypt,4782,2020-04-27T00:00:00Z
Egypt,5042,2020-04-28T00:00:00Z
Egypt,5268,2020-04-29T00:00:00Z
Egypt,5537,2020-04-30T00:00:00Z
Egypt,5895,2020-05-01T00:00:00Z
Egypt,6193,2020-05-02T00:00:00Z
Egypt,6465,2020-05-03T00:00:00Z
Egypt,6813,2020-05-04T00:00:00Z
Egypt,7201,2020-05-05T00:00:00Z
Egypt,7588,2020-05-06T00:00:00Z
Egypt,7981,2020-05-07T00:00:00Z
Egypt,8476,2020-05-08T00:00:00Z
Egypt,8964,2020-05-09T00:00:00Z
Egypt,9400,2020-05-10T00:00:00Z
Egypt,9746,2020-05-11T00:00:00Z
Egypt,10093,2020-05-12T00:00:00Z
Egypt,10431,2020-05-13T00:00:00Z
Egypt,10829,2020-05-14T00:00:00Z
Egypt,11228,2020-05-15T00:00:00Z
Egypt,11719,2020-05-16T00:00:00Z
