Country,Cases,Date
El Salvador,1,2020-03-19T00:00:00Z
El Salvador,1,2020-03-20T00:00:00Z
El Salvador,3,2020-03-21T00:00:00Z
El Salvador,3,2020-03-22T00:00:00Z
El Salvador,3,2020-03-23T00:00:00Z
El Salvador,5,2020-03-24T00:00:00Z
El Salvador,9,2020-03-25T00:00:00Z
El Salvador,13,2020-03-26T00:00:00Z
El Salvador,13,2020-03-27T00:00:00Z
El Salvador,19,2020-03-28T00:00:00Z
El Salvador,24,2020-03-29T00:00:00Z
El Salvador,30,2020-03-30T00:00:00Z
El Salvador,32,2020-03-31T00:00:00Z
El Salvador,32,2020-04-01T00:00:00Z
El Salvador,41,2020-04-02T00:00:00Z
El Salvador,46,2020-04-03T00:00:00Z
El Salvador,56,2020-04-04T00:00:00Z
El Salvador,62,2020-04-05T00:00:00Z
El Salvador,69,2020-04-06T00:00:00Z
El Salvador,78,2020-04-07T00:00:00Z
El Salvador,93,2020-04-08T00:00:00Z
El Salvador,103,2020-04-09T00:00:00Z
El Salvador,117,2020-04-10T00:00:00Z
El Salvador,118,2020-04-11T00:00:00Z
El Salvador,125,2020-04-12T00:00:00Z
El Salvador,137,2020-04-13T00:00:00Z
El Salvador,149,2020-04-14T00:00:00Z
El Salvador,159,2020-04-15T00:00:00Z
El Salvador,164,2020-04-16T00:00:00Z
El Salvador,177,2020-04-17T00:00:00Z
El Salvador,190,2020-04-18T00:00:00Z
El Salvador,201,2020-04-19T00:00:00Z
El Salvador,218,2020-04-20T00:00:00Z
El Salvador,225,2020-04-21T00:00:00Z
El Salvador,237,2020-04-22T00:00:00Z
El Salvador,250,2020-04-23T00:00:00Z
El Salvador,274,2020-04-24T00:00:00Z
El Salvador,274,2020-04-25T00:00:00Z
El Salvador,298,2020-04-26T00:00:00Z
El Salvador,323,2020-04-27T00:00:00Z
El Salvador,345,2020-04-28T00:00:00Z
El Salvador,377,2020-04-29T00:00:00Z
El Salvador,395,2020-04-30T00:00:00Z
El Salvador,424,2020-05-01T00:00:00Z
El Salvador,446,2020-05-02T00:00:00Z
El Salvador,490,2020-05-03T00:00:00Z
El Salvador,555,2020-05-04T00:00:00Z
El Salvador,587,2020-05-05T00:00:00Z
El Salvador,633,2020-05-06T00:00:00Z
El Salvador,695,2020-05-07T00:00:00Z
El Salvador,742,2020-05-08T00:00:00Z
El Salvador,784,2020-05-09T00:00:00Z
El Salvador,889,2020-05-10T00:00:00Z
El Salvador,958,2020-05-11T00:00:00Z
El Salvador,998,2020-05-12T00:00:00Z
El Salvador,1037,2020-05-13T00:00:00Z
El Salvador,1112,2020-05-14T00:00:00Z
El Salvador,1210,2020-05-15T00:00:00Z
El Salvador,1265,2020-05-16T00:00:00Z
