Country,Cases,Date
Estonia,1,2020-02-27T00:00:00Z
Estonia,1,2020-02-28T00:00:00Z
Estonia,1,2020-02-29T00:00:00Z
Estonia,1,2020-03-01T00:00:00Z
Estonia,1,2020-03-02T00:00:00Z
Estonia,2,2020-03-03T00:00:00Z
Estonia,2,2020-03-04T00:00:00Z
Estonia,3,2020-03-05T00:00:00Z
Estonia,10,2020-03-06T00:00:00Z
Estonia,10,2020-03-07T00:00:00Z
Estonia,10,2020-03-08T00:00:00Z
Estonia,10,2020-03-09T00:00:00Z
Estonia,12,2020-03-10T00:00:00Z
Estonia,16,2020-03-11T00:00:00Z
Estonia,16,2020-03-12T00:00:00Z
Estonia,79,2020-03-13T00:00:00Z
Estonia,115,2020-03-14T00:00:00Z
Estonia,171,2020-03-15T00:00:00Z
Estonia,205,2020-03-16T00:00:00Z
Estonia,225,2020-03-17T00:00:00Z
Estonia,258,2020-03-18T00:00:00Z
Estonia,267,2020-03-19T00:00:00Z
Estonia,283,2020-03-20T00:00:00Z
Estonia,306,2020-03-21T00:00:00Z
Estonia,326,2020-03-22T00:00:00Z
Estonia,352,2020-03-23T00:00:00Z
Estonia,369,2020-03-24T00:00:00Z
Estonia,404,2020-03-25T00:00:00Z
Estonia,538,2020-03-26T00:00:00Z
Estonia,575,2020-03-27T00:00:00Z
Estonia,645,2020-03-28T00:00:00Z
Estonia,679,2020-03-29T00:00:00Z
Estonia,715,2020-03-30T00:00:00Z
Estonia,745,2020-03-31T00:00:00Z
Estonia,779,2020-04-01T00:00:00Z
Estonia,858,2020-04-02T00:00:00Z
Estonia,961,2020-04-03T00:00:00Z
Estonia,1039,2020-04-04T00:00:00Z
Estonia,1097,2020-04-05T00:00:00Z
Estonia,1108,2020-04-06T00:00:00Z
Estonia,1149,2020-04-07T00:00:00Z
Estonia,1185,2020-04-08T00:00:00Z
Estonia,1207,2020-04-09T00:00:00Z
Estonia,1258,2020-04-10T00:00:00Z
Estonia,1304,2020-04-11T00:00:00Z
Estonia,1309,2020-04-12T00:00:00Z
Estonia,1332,2020-04-13T00:00:00Z
Estonia,1373,2020-04-14T00:00:00Z
Estonia,1400,2020-04-15T00:00:00Z
Estonia,1434,2020-04-16T00:00:00Z
Estonia,1459,2020-04-17T00:00:00Z
Estonia,1512,2020-04-18T00:00:00Z
Estonia,1528,2020-04-19T00:00:00Z
Estonia,1535,2020-04-20T00:00:00Z
Estonia,1552,2020-04-21T00:00:00Z
Estonia,1559,2020-04-22T00:00:00Z
Estonia,1592,2020-04-23T00:00:00Z
Estonia,1605,2020-04-24T00:00:00Z
Estonia,1635,2020-04-25T00:00:00Z
Estonia,1643,2020-04-26T00:00:00Z
Estonia,1647,2020-04-27T00:00:00Z
Estonia,1660,2020-04-28T00:00:00Z
Estonia,1666,2020-04-29T00:00:00Z
Estonia,1689,2020-04-30T00:00:00Z
Estonia,1694,2020-05-01T00:00:00Z
Estonia,1699,2020-05-02T00:00:00Z
Estonia,1700,2020-05-03T00:00:00Z
Estonia,1703,2020-05-04T00:00:00Z
Estonia,1711,2020-05-05T00:00:00Z
Estonia,1713,2020-05-06T00:00:00Z
Estonia,1720,2020-05-07T00:00:00Z
Estonia,1725,2020-05-08T00:00:00Z
Estonia,1733,2020-05-09T00:00:00Z
Estonia,1739,2020-05-10T00:00:00Z
Estonia,1741,2020-05-11T00:00:00Z
Estonia,1746,2020-05-12T00:00:00Z
Estonia,1751,2020-05-13T00:00:00Z
Estonia,1758,2020-05-14T00:00:00Z
Estonia,1766,2020-05-15T00:00:00Z
Estonia,1770,2020-05-16T00:00:00Z
