Country,Cases,Date
Finland,1,2020-01-29T00:00:00Z
Finland,1,2020-01-30T00:00:00Z
Finland,1,2020-01-31T00:00:00Z
Finland,1,2020-02-01T00:00:00Z
Finland,1,2020-02-02T00:00:00Z
Finland,1,2020-02-03T00:00:00Z
Finland,1,2020-02-04T00:00:00Z
Finland,1,2020-02-05T00:00:00Z
Finland,1,2020-02-06T00:00:00Z
Finland,1,2020-02-07T00:00:00Z
Finland,1,2020-02-08T00:00:00Z
Finland,1,2020-02-09T00:00:00Z
Finland,1,2020-02-10T00:00:00Z
Finland,1,2020-02-11T00:00:00Z
Finland,1,2020-02-12T00:00:00Z
Finland,1,2020-02-13T00:00:00Z
Finland,1,2020-02-14T00:00:00Z
Finland,1,2020-02-15T00:00:00Z
Finland,1,2020-02-16T00:00:00Z
Finland,1,2020-02-17T00:00:00Z
Finland,1,2020-02-18T00:00:00Z
Finland,1,2020-02-19T00:00:00Z
Finland,1,2020-02-20T00:00:00Z
Finland,1,2020-02-21T00:00:00Z
Finland,1,2020-02-22T00:00:00Z
Finland,1,2020-02-23T00:00:00Z
Finland,1,2020-02-24T00:00:00Z
Finland,1,2020-02-25T00:00:00Z
Finland,2,2020-02-26T00:00:00Z
Finland,2,2020-02-27T00:00:00Z
Finland,2,2020-02-28T00:00:00Z
Finland,3,2020-02-29T00:00:00Z
Finland,6,2020-03-01T00:00:00Z
Finland,6,2020-03-02T00:00:00Z
Finland,6,2020-03-03T00:00:00Z
Finland,6,2020-03-04T00:00:00Z
Finland,12,2020-03-05T00:00:00Z
Finland,15,2020-03-06T00:00:00Z
Finland,15,2020-03-07T00:00:00Z
Finland,23,2020-03-08T00:00:00Z
Finland,30,2020-03-09T00:00:00Z
Finland,40,2020-03-10T00:00:00Z
Finland,59,2020-03-11T00:00:00Z
Finland,59,2020-03-12T00:00:00Z
Finland,155,2020-03-13T00:00:00Z
Finland,225,2020-03-14T00:00:00Z
Finland,244,2020-03-15T00:00:00Z
Finland,277,2020-03-16T00:00:00Z
Finland,321,2020-03-17T00:00:00Z
Finland,336,2020-03-18T00:00:00Z
Finland,400,2020-03-19T00:00:00Z
Finland,450,2020-03-20T00:00:00Z
Finland,523,2020-03-21T00:00:00Z
Finland,626,2020-03-22T00:00:00Z
Finland,700,2020-03-23T00:00:00Z
Finland,792,2020-03-24T00:00:00Z
Finland,880,2020-03-25T00:00:00Z
Finland,958,2020-03-26T00:00:00Z
Finland,1041,2020-03-27T00:00:00Z
Finland,1167,2020-03-28T00:00:00Z
Finland,1240,2020-03-29T00:00:00Z
Finland,1352,2020-03-30T00:00:00Z
Finland,1418,2020-03-31T00:00:00Z
Finland,1446,2020-04-01T00:00:00Z
Finland,1518,2020-04-02T00:00:00Z
Finland,1615,2020-04-03T00:00:00Z
Finland,1882,2020-04-04T00:00:00Z
Finland,1927,2020-04-05T00:00:00Z
Finland,2176,2020-04-06T00:00:00Z
Finland,2308,2020-04-07T00:00:00Z
Finland,2487,2020-04-08T00:00:00Z
Finland,2605,2020-04-09T00:00:00Z
Finland,2769,2020-04-10T00:00:00Z
Finland,2905,2020-04-11T00:00:00Z
Finland,2974,2020-04-12T00:00:00Z
Finland,3064,2020-04-13T00:00:00Z
Finland,3161,2020-04-14T00:00:00Z
Finland,3237,2020-04-15T00:00:00Z
Finland,3369,2020-04-16T00:00:00Z
Finland,3489,2020-04-17T00:00:00Z
Finland,3681,2020-04-18T00:00:00Z
Finland,3783,2020-04-19T00:00:00Z
Finland,3868,2020-04-20T00:00:00Z
Finland,4014,2020-04-21T00:00:00Z
Finland,4129,2020-04-22T00:00:00Z
Finland,4284,2020-04-23T00:00:00Z
Finland,4395,2020-04-24T00:00:00Z
Finland,4475,2020-04-25T00:00:00Z
Finland,4576,2020-04-26T00:00:00Z
Finland,4695,2020-04-27T00:00:00Z
Finland,4740,2020-04-28T00:00:00Z
Finland,4906,2020-04-29T00:00:00Z
Finland,4995,2020-04-30T00:00:00Z
Finland,5051,2020-05-01T00:00:00Z
Finland,5176,2020-05-02T00:00:00Z
Finland,5254,2020-05-03T00:00:00Z
Finland,5327,2020-05-04T00:00:00Z
Finland,5412,2020-05-05T00:00:00Z
Finland,5573,2020-05-06T00:00:00Z
Finland,5673,2020-05-07T00:00:00Z
Finland,5738,2020-05-08T00:00:00Z
Finland,5880,2020-05-09T00:00:00Z
Finland,5962,2020-05-10T00:00:00Z
Finland,5984,2020-05-11T00:00:00Z
Finland,6003,2020-05-12T00:00:00Z
Finland,6054,2020-05-13T00:00:00Z
Finland,6145,2020-05-14T00:00:00Z
Finland,6228,2020-05-15T00:00:00Z
Finland,6286,2020-05-16T00:00:00Z
