Country,Cases,Date
France,2,2020-01-24T00:00:00Z
France,3,2020-01-25T00:00:00Z
France,3,2020-01-26T00:00:00Z
France,3,2020-01-27T00:00:00Z
France,4,2020-01-28T00:00:00Z
France,5,2020-01-29T00:00:00Z
France,5,2020-01-30T00:00:00Z
France,5,2020-01-31T00:00:00Z
France,6,2020-02-01T00:00:00Z
France,6,2020-02-02T00:00:00Z
France,6,2020-02-03T00:00:00Z
France,6,2020-02-04T00:00:00Z
France,6,2020-02-05T00:00:00Z
France,6,2020-02-06T00:00:00Z
France,6,2020-02-07T00:00:00Z
France,11,2020-02-08T00:00:00Z
France,11,2020-02-09T00:00:00Z
France,11,2020-02-10T00:00:00Z
France,11,2020-02-11T00:00:00Z
France,11,2020-02-12T00:00:00Z
France,11,2020-02-13T00:00:00Z
France,11,2020-02-14T00:00:00Z
France,12,2020-02-15T00:00:00Z
France,12,2020-02-16T00:00:00Z
France,12,2020-02-17T00:00:00Z
France,12,2020-02-18T00:00:00Z
France,12,2020-02-19T00:00:00Z
France,12,2020-02-20T00:00:00Z
France,12,2020-02-21T00:00:00Z
France,12,2020-02-22T00:00:00Z
France,12,2020-02-23T00:00:00Z
France,12,2020-02-24T00:00:00Z
France,14,2020-02-25T00:00:00Z
France,18,2020-02-26T00:00:00Z
France,38,2020-02-27T00:00:00Z
France,57,2020-02-28T00:00:00Z
France,100,2020-02-29T00:00:00Z
France,130,2020-03-01T00:00:00Z
France,191,2020-03-02T00:00:00Z
France,204,2020-03-03T00:00:00Z
France,285,2020-03-04T00:00:00Z
France,377,2020-03-05T00:00:00Z
France,653,2020-03-06T00:00:00Z
France,949,2020-03-07T00:00:00Z
France,1126,2020-03-08T00:00:00Z
France,1209,2020-03-09T00:00:00Z
France,1784,2020-03-10T00:00:00Z
France,2281,2020-03-11T00:00:00Z
France,2281,2020-03-12T00:00:00Z
France,3661,2020-03-13T00:00:00Z
France,4469,2020-03-14T00:00:00Z
France,4499,2020-03-15T00:00:00Z
France,6633,2020-03-16T00:00:00Z
France,7652,2020-03-17T00:00:00Z
France,9043,2020-03-18T00:00:00Z
France,10871,2020-03-19T00:00:00Z
France,12612,2020-03-20T00:00:00Z
France,14282,2020-03-21T00:00:00Z
France,16018,2020-03-22T00:00:00Z
France,19856,2020-03-23T00:00:00Z
France,22304,2020-03-24T00:00:00Z
France,25233,2020-03-25T00:00:00Z
France,29155,2020-03-26T00:00:00Z
France,32964,2020-03-27T00:00:00Z
France,37575,2020-03-28T00:00:00Z
France,40174,2020-03-29T00:00:00Z
France,44550,2020-03-30T00:00:00Z
France,52128,2020-03-31T00:00:00Z
France,56989,2020-04-01T00:00:00Z
France,59105,2020-04-02T00:00:00Z
France,64338,2020-04-03T00:00:00Z
France,68605,2020-04-04T00:00:00Z
France,70478,2020-04-05T00:00:00Z
France,74390,2020-04-06T00:00:00Z
France,78167,2020-04-07T00:00:00Z
France,82048,2020-04-08T00:00:00Z
France,86334,2020-04-09T00:00:00Z
France,90676,2020-04-10T00:00:00Z
France,93790,2020-04-11T00:00:00Z
France,120633,2020-04-12T00:00:00Z
France,124298,2020-04-13T00:00:00Z
France,129257,2020-04-14T00:00:00Z
France,132473,2020-04-15T00:00:00Z
France,144944,2020-04-16T00:00:00Z
France,146923,2020-04-17T00:00:00Z
France,146906,2020-04-18T00:00:00Z
France,151808,2020-04-19T00:00:00Z
France,154188,2020-04-20T00:00:00Z
France,156921,2020-04-21T00:00:00Z
France,154715,2020-04-22T00:00:00Z
France,157026,2020-04-23T00:00:00Z
France,158636,2020-04-24T00:00:00Z
France,160292,2020-04-25T00:00:00Z
France,160847,2020-04-26T00:00:00Z
France,164589,2020-04-27T00:00:00Z
France,167605,2020-04-28T00:00:00Z
France,165093,2020-04-29T00:00:00Z
France,165764,2020-04-30T00:00:00Z
France,165764,2020-05-01T00:00:00Z
France,166976,2020-05-02T00:00:00Z
France,167272,2020-05-03T00:00:00Z
France,167886,2020-05-04T00:00:00Z
France,168935,2020-05-05T00:00:00Z
France,172465,2020-05-06T00:00:00Z
France,173040,2020-05-07T00:00:00Z
France,174318,2020-05-08T00:00:00Z
France,174758,2020-05-09T00:00:00Z
France,175027,2020-05-10T00:00:00Z
France,175479,2020-05-11T00:00:00Z
France,176207,2020-05-12T00:00:00Z
France,175981,2020-05-13T00:00:00Z
France,176712,2020-05-14T00:00:00Z
France,177319,2020-05-15T00:00:00Z
France,177207,2020-05-16T00:00:00Z
