Country,Cases,Date
Georgia,1,2020-02-26T00:00:00Z
Georgia,1,2020-02-27T00:00:00Z
Georgia,1,2020-02-28T00:00:00Z
Georgia,1,2020-02-29T00:00:00Z
Georgia,3,2020-03-01T00:00:00Z
Georgia,3,2020-03-02T00:00:00Z
Georgia,3,2020-03-03T00:00:00Z
Georgia,3,2020-03-04T00:00:00Z
Georgia,4,2020-03-05T00:00:00Z
Georgia,4,2020-03-06T00:00:00Z
Georgia,4,2020-03-07T00:00:00Z
Georgia,13,2020-03-08T00:00:00Z
Georgia,15,2020-03-09T00:00:00Z
Georgia,15,2020-03-10T00:00:00Z
Georgia,24,2020-03-11T00:00:00Z
Georgia,24,2020-03-12T00:00:00Z
Georgia,25,2020-03-13T00:00:00Z
Georgia,30,2020-03-14T00:00:00Z
Georgia,33,2020-03-15T00:00:00Z
Georgia,33,2020-03-16T00:00:00Z
Georgia,34,2020-03-17T00:00:00Z
Georgia,38,2020-03-18T00:00:00Z
Georgia,40,2020-03-19T00:00:00Z
Georgia,43,2020-03-20T00:00:00Z
Georgia,49,2020-03-21T00:00:00Z
Georgia,54,2020-03-22T00:00:00Z
Georgia,61,2020-03-23T00:00:00Z
Georgia,70,2020-03-24T00:00:00Z
Georgia,75,2020-03-25T00:00:00Z
Georgia,79,2020-03-26T00:00:00Z
Georgia,83,2020-03-27T00:00:00Z
Georgia,90,2020-03-28T00:00:00Z
Georgia,91,2020-03-29T00:00:00Z
Georgia,103,2020-03-30T00:00:00Z
Georgia,110,2020-03-31T00:00:00Z
Georgia,117,2020-04-01T00:00:00Z
Georgia,134,2020-04-02T00:00:00Z
Georgia,155,2020-04-03T00:00:00Z
Georgia,162,2020-04-04T00:00:00Z
Georgia,174,2020-04-05T00:00:00Z
Georgia,188,2020-04-06T00:00:00Z
Georgia,196,2020-04-07T00:00:00Z
Georgia,211,2020-04-08T00:00:00Z
Georgia,218,2020-04-09T00:00:00Z
Georgia,234,2020-04-10T00:00:00Z
Georgia,242,2020-04-11T00:00:00Z
Georgia,257,2020-04-12T00:00:00Z
Georgia,272,2020-04-13T00:00:00Z
Georgia,300,2020-04-14T00:00:00Z
Georgia,306,2020-04-15T00:00:00Z
Georgia,348,2020-04-16T00:00:00Z
Georgia,370,2020-04-17T00:00:00Z
Georgia,388,2020-04-18T00:00:00Z
Georgia,394,2020-04-19T00:00:00Z
Georgia,402,2020-04-20T00:00:00Z
Georgia,408,2020-04-21T00:00:00Z
Georgia,416,2020-04-22T00:00:00Z
Georgia,425,2020-04-23T00:00:00Z
Georgia,444,2020-04-24T00:00:00Z
Georgia,456,2020-04-25T00:00:00Z
Georgia,486,2020-04-26T00:00:00Z
Georgia,497,2020-04-27T00:00:00Z
Georgia,511,2020-04-28T00:00:00Z
Georgia,517,2020-04-29T00:00:00Z
Georgia,539,2020-04-30T00:00:00Z
Georgia,566,2020-05-01T00:00:00Z
Georgia,582,2020-05-02T00:00:00Z
Georgia,589,2020-05-03T00:00:00Z
Georgia,593,2020-05-04T00:00:00Z
Georgia,604,2020-05-05T00:00:00Z
Georgia,610,2020-05-06T00:00:00Z
Georgia,615,2020-05-07T00:00:00Z
Georgia,623,2020-05-08T00:00:00Z
Georgia,626,2020-05-09T00:00:00Z
Georgia,635,2020-05-10T00:00:00Z
Georgia,638,2020-05-11T00:00:00Z
Georgia,642,2020-05-12T00:00:00Z
Georgia,647,2020-05-13T00:00:00Z
Georgia,667,2020-05-14T00:00:00Z
Georgia,671,2020-05-15T00:00:00Z
Georgia,683,2020-05-16T00:00:00Z
