Country,Cases,Date
Germany,1,2020-01-27T00:00:00Z
Germany,4,2020-01-28T00:00:00Z
Germany,4,2020-01-29T00:00:00Z
Germany,4,2020-01-30T00:00:00Z
Germany,5,2020-01-31T00:00:00Z
Germany,8,2020-02-01T00:00:00Z
Germany,10,2020-02-02T00:00:00Z
Germany,12,2020-02-03T00:00:00Z
Germany,12,2020-02-04T00:00:00Z
Germany,12,2020-02-05T00:00:00Z
Germany,12,2020-02-06T00:00:00Z
Germany,13,2020-02-07T00:00:00Z
Germany,13,2020-02-08T00:00:00Z
Germany,14,2020-02-09T00:00:00Z
Germany,14,2020-02-10T00:00:00Z
Germany,16,2020-02-11T00:00:00Z
Germany,16,2020-02-12T00:00:00Z
Germany,16,2020-02-13T00:00:00Z
Germany,16,2020-02-14T00:00:00Z
Germany,16,2020-02-15T00:00:00Z
Germany,16,2020-02-16T00:00:00Z
Germany,16,2020-02-17T00:00:00Z
Germany,16,2020-02-18T00:00:00Z
Germany,16,2020-02-19T00:00:00Z
Germany,16,2020-02-20T00:00:00Z
Germany,16,2020-02-21T00:00:00Z
Germany,16,2020-02-22T00:00:00Z
Germany,16,2020-02-23T00:00:00Z
Germany,16,2020-02-24T00:00:00Z
Germany,17,2020-02-25T00:00:00Z
Germany,27,2020-02-26T00:00:00Z
Germany,46,2020-02-27T00:00:00Z
Germany,48,2020-02-28T00:00:00Z
Germany,79,2020-02-29T00:00:00Z
Germany,130,2020-03-01T00:00:00Z
Germany,159,2020-03-02T00:00:00Z
Germany,196,2020-03-03T00:00:00Z
Germany,262,2020-03-04T00:00:00Z
Germany,482,2020-03-05T00:00:00Z
Germany,670,2020-03-06T00:00:00Z
Germany,799,2020-03-07T00:00:00Z
Germany,1040,2020-03-08T00:00:00Z
Germany,1176,2020-03-09T00:00:00Z
Germany,1457,2020-03-10T00:00:00Z
Germany,1908,2020-03-11T00:00:00Z
Germany,2078,2020-03-12T00:00:00Z
Germany,3675,2020-03-13T00:00:00Z
Germany,4585,2020-03-14T00:00:00Z
Germany,5795,2020-03-15T00:00:00Z
Germany,7272,2020-03-16T00:00:00Z
Germany,9257,2020-03-17T00:00:00Z
Germany,12327,2020-03-18T00:00:00Z
Germany,15320,2020-03-19T00:00:00Z
Germany,19848,2020-03-20T00:00:00Z
Germany,22213,2020-03-21T00:00:00Z
Germany,24873,2020-03-22T00:00:00Z
Germany,29056,2020-03-23T00:00:00Z
Germany,32986,2020-03-24T00:00:00Z
Germany,37323,2020-03-25T00:00:00Z
Germany,43938,2020-03-26T00:00:00Z
Germany,50871,2020-03-27T00:00:00Z
Germany,57695,2020-03-28T00:00:00Z
Germany,62095,2020-03-29T00:00:00Z
Germany,66885,2020-03-30T00:00:00Z
Germany,71808,2020-03-31T00:00:00Z
Germany,77872,2020-04-01T00:00:00Z
Germany,84794,2020-04-02T00:00:00Z
Germany,91159,2020-04-03T00:00:00Z
Germany,96092,2020-04-04T00:00:00Z
Germany,100123,2020-04-05T00:00:00Z
Germany,103374,2020-04-06T00:00:00Z
Germany,107663,2020-04-07T00:00:00Z
Germany,113296,2020-04-08T00:00:00Z
Germany,118181,2020-04-09T00:00:00Z
Germany,122171,2020-04-10T00:00:00Z
Germany,124908,2020-04-11T00:00:00Z
Germany,127854,2020-04-12T00:00:00Z
Germany,130072,2020-04-13T00:00:00Z
Germany,131359,2020-04-14T00:00:00Z
Germany,134753,2020-04-15T00:00:00Z
Germany,137698,2020-04-16T00:00:00Z
Germany,141397,2020-04-17T00:00:00Z
Germany,143342,2020-04-18T00:00:00Z
Germany,145184,2020-04-19T00:00:00Z
Germany,147065,2020-04-20T00:00:00Z
Germany,148291,2020-04-21T00:00:00Z
Germany,150648,2020-04-22T00:00:00Z
Germany,153129,2020-04-23T00:00:00Z
Germany,154999,2020-04-24T00:00:00Z
Germany,156513,2020-04-25T00:00:00Z
Germany,157770,2020-04-26T00:00:00Z
Germany,158758,2020-04-27T00:00:00Z
Germany,159912,2020-04-28T00:00:00Z
Germany,161539,2020-04-29T00:00:00Z
Germany,163009,2020-04-30T00:00:00Z
Germany,164077,2020-05-01T00:00:00Z
Germany,164967,2020-05-02T00:00:00Z
Germany,165664,2020-05-03T00:00:00Z
Germany,166152,2020-05-04T00:00:00Z
Germany,167007,2020-05-05T00:00:00Z
Germany,168162,2020-05-06T00:00:00Z
Germany,169430,2020-05-07T00:00:00Z
Germany,170588,2020-05-08T00:00:00Z
Germany,171324,2020-05-09T00:00:00Z
Germany,171879,2020-05-10T00:00:00Z
Germany,172576,2020-05-11T00:00:00Z
Germany,173171,2020-05-12T00:00:00Z
Germany,174098,2020-05-13T00:00:00Z
Germany,174478,2020-05-14T00:00:00Z
Germany,175233,2020-05-15T00:00:00Z
Germany,175752,2020-05-16T00:00:00Z
