Country,Cases,Date
Ghana,3,2020-03-14T00:00:00Z
Ghana,6,2020-03-15T00:00:00Z
Ghana,6,2020-03-16T00:00:00Z
Ghana,7,2020-03-17T00:00:00Z
Ghana,7,2020-03-18T00:00:00Z
Ghana,11,2020-03-19T00:00:00Z
Ghana,16,2020-03-20T00:00:00Z
Ghana,19,2020-03-21T00:00:00Z
Ghana,23,2020-03-22T00:00:00Z
Ghana,27,2020-03-23T00:00:00Z
Ghana,53,2020-03-24T00:00:00Z
Ghana,93,2020-03-25T00:00:00Z
Ghana,132,2020-03-26T00:00:00Z
Ghana,137,2020-03-27T00:00:00Z
Ghana,141,2020-03-28T00:00:00Z
Ghana,152,2020-03-29T00:00:00Z
Ghana,152,2020-03-30T00:00:00Z
Ghana,161,2020-03-31T00:00:00Z
Ghana,195,2020-04-01T00:00:00Z
Ghana,204,2020-04-02T00:00:00Z
Ghana,205,2020-04-03T00:00:00Z
Ghana,205,2020-04-04T00:00:00Z
Ghana,214,2020-04-05T00:00:00Z
Ghana,214,2020-04-06T00:00:00Z
Ghana,287,2020-04-07T00:00:00Z
Ghana,313,2020-04-08T00:00:00Z
Ghana,378,2020-04-09T00:00:00Z
Ghana,378,2020-04-10T00:00:00Z
Ghana,408,2020-04-11T00:00:00Z
Ghana,566,2020-04-12T00:00:00Z
Ghana,566,2020-04-13T00:00:00Z
Ghana,636,2020-04-14T00:00:00Z
Ghana,636,2020-04-15T00:00:00Z
Ghana,641,2020-04-16T00:00:00Z
Ghana,641,2020-04-17T00:00:00Z
Ghana,834,2020-04-18T00:00:00Z
Ghana,1042,2020-04-19T00:00:00Z
Ghana,1042,2020-04-20T00:00:00Z
Ghana,1042,2020-04-21T00:00:00Z
Ghana,1154,2020-04-22T00:00:00Z
Ghana,1154,2020-04-23T00:00:00Z
Ghana,1279,2020-04-24T00:00:00Z
Ghana,1279,2020-04-25T00:00:00Z
Ghana,1550,2020-04-26T00:00:00Z
Ghana,1550,2020-04-27T00:00:00Z
Ghana,1671,2020-04-28T00:00:00Z
Ghana,1671,2020-04-29T00:00:00Z
Ghana,2074,2020-04-30T00:00:00Z
Ghana,2074,2020-05-01T00:00:00Z
Ghana,2169,2020-05-02T00:00:00Z
Ghana,2169,2020-05-03T00:00:00Z
Ghana,2719,2020-05-04T00:00:00Z
Ghana,2719,2020-05-05T00:00:00Z
Ghana,3091,2020-05-06T00:00:00Z
Ghana,3091,2020-05-07T00:00:00Z
Ghana,4012,2020-05-08T00:00:00Z
Ghana,4263,2020-05-09T00:00:00Z
Ghana,4263,2020-05-10T00:00:00Z
Ghana,4700,2020-05-11T00:00:00Z
Ghana,5127,2020-05-12T00:00:00Z
Ghana,5408,2020-05-13T00:00:00Z
Ghana,5530,2020-05-14T00:00:00Z
Ghana,5638,2020-05-15T00:00:00Z
Ghana,5735,2020-05-16T00:00:00Z
