Country,Cases,Date
Greece,1,2020-02-26T00:00:00Z
Greece,3,2020-02-27T00:00:00Z
Greece,4,2020-02-28T00:00:00Z
Greece,4,2020-02-29T00:00:00Z
Greece,7,2020-03-01T00:00:00Z
Greece,7,2020-03-02T00:00:00Z
Greece,7,2020-03-03T00:00:00Z
Greece,9,2020-03-04T00:00:00Z
Greece,31,2020-03-05T00:00:00Z
Greece,45,2020-03-06T00:00:00Z
Greece,46,2020-03-07T00:00:00Z
Greece,73,2020-03-08T00:00:00Z
Greece,73,2020-03-09T00:00:00Z
Greece,89,2020-03-10T00:00:00Z
Greece,99,2020-03-11T00:00:00Z
Greece,99,2020-03-12T00:00:00Z
Greece,190,2020-03-13T00:00:00Z
Greece,228,2020-03-14T00:00:00Z
Greece,331,2020-03-15T00:00:00Z
Greece,331,2020-03-16T00:00:00Z
Greece,387,2020-03-17T00:00:00Z
Greece,418,2020-03-18T00:00:00Z
Greece,418,2020-03-19T00:00:00Z
Greece,495,2020-03-20T00:00:00Z
Greece,530,2020-03-21T00:00:00Z
Greece,624,2020-03-22T00:00:00Z
Greece,695,2020-03-23T00:00:00Z
Greece,743,2020-03-24T00:00:00Z
Greece,821,2020-03-25T00:00:00Z
Greece,892,2020-03-26T00:00:00Z
Greece,966,2020-03-27T00:00:00Z
Greece,1061,2020-03-28T00:00:00Z
Greece,1156,2020-03-29T00:00:00Z
Greece,1212,2020-03-30T00:00:00Z
Greece,1314,2020-03-31T00:00:00Z
Greece,1415,2020-04-01T00:00:00Z
Greece,1544,2020-04-02T00:00:00Z
Greece,1613,2020-04-03T00:00:00Z
Greece,1673,2020-04-04T00:00:00Z
Greece,1735,2020-04-05T00:00:00Z
Greece,1755,2020-04-06T00:00:00Z
Greece,1832,2020-04-07T00:00:00Z
Greece,1884,2020-04-08T00:00:00Z
Greece,1955,2020-04-09T00:00:00Z
Greece,2011,2020-04-10T00:00:00Z
Greece,2081,2020-04-11T00:00:00Z
Greece,2114,2020-04-12T00:00:00Z
Greece,2145,2020-04-13T00:00:00Z
Greece,2170,2020-04-14T00:00:00Z
Greece,2192,2020-04-15T00:00:00Z
Greece,2207,2020-04-16T00:00:00Z
Greece,2224,2020-04-17T00:00:00Z
Greece,2235,2020-04-18T00:00:00Z
Greece,2235,2020-04-19T00:00:00Z
Greece,2245,2020-04-20T00:00:00Z
Greece,2401,2020-04-21T00:00:00Z
Greece,2408,2020-04-22T00:00:00Z
Greece,2463,2020-04-23T00:00:00Z
Greece,2490,2020-04-24T00:00:00Z
Greece,2506,2020-04-25T00:00:00Z
Greece,2517,2020-04-26T00:00:00Z
Greece,2534,2020-04-27T00:00:00Z
Greece,2566,2020-04-28T00:00:00Z
Greece,2576,2020-04-29T00:00:00Z
Greece,2591,2020-04-30T00:00:00Z
Greece,2612,2020-05-01T00:00:00Z
Greece,2620,2020-05-02T00:00:00Z
Greece,2626,2020-05-03T00:00:00Z
Greece,2632,2020-05-04T00:00:00Z
Greece,2642,2020-05-05T00:00:00Z
Greece,2663,2020-05-06T00:00:00Z
Greece,2678,2020-05-07T00:00:00Z
Greece,2691,2020-05-08T00:00:00Z
Greece,2710,2020-05-09T00:00:00Z
Greece,2716,2020-05-10T00:00:00Z
Greece,2726,2020-05-11T00:00:00Z
Greece,2744,2020-05-12T00:00:00Z
Greece,2760,2020-05-13T00:00:00Z
Greece,2770,2020-05-14T00:00:00Z
Greece,2810,2020-05-15T00:00:00Z
Greece,2819,2020-05-16T00:00:00Z
