Country,Cases,Date
Guatemala,1,2020-03-14T00:00:00Z
Guatemala,1,2020-03-15T00:00:00Z
Guatemala,2,2020-03-16T00:00:00Z
Guatemala,6,2020-03-17T00:00:00Z
Guatemala,6,2020-03-18T00:00:00Z
Guatemala,9,2020-03-19T00:00:00Z
Guatemala,12,2020-03-20T00:00:00Z
Guatemala,17,2020-03-21T00:00:00Z
Guatemala,19,2020-03-22T00:00:00Z
Guatemala,20,2020-03-23T00:00:00Z
Guatemala,21,2020-03-24T00:00:00Z
Guatemala,24,2020-03-25T00:00:00Z
Guatemala,25,2020-03-26T00:00:00Z
Guatemala,28,2020-03-27T00:00:00Z
Guatemala,34,2020-03-28T00:00:00Z
Guatemala,34,2020-03-29T00:00:00Z
Guatemala,36,2020-03-30T00:00:00Z
Guatemala,38,2020-03-31T00:00:00Z
Guatemala,39,2020-04-01T00:00:00Z
Guatemala,47,2020-04-02T00:00:00Z
Guatemala,50,2020-04-03T00:00:00Z
Guatemala,61,2020-04-04T00:00:00Z
Guatemala,61,2020-04-05T00:00:00Z
Guatemala,70,2020-04-06T00:00:00Z
Guatemala,77,2020-04-07T00:00:00Z
Guatemala,87,2020-04-08T00:00:00Z
Guatemala,95,2020-04-09T00:00:00Z
Guatemala,126,2020-04-10T00:00:00Z
Guatemala,137,2020-04-11T00:00:00Z
Guatemala,155,2020-04-12T00:00:00Z
Guatemala,156,2020-04-13T00:00:00Z
Guatemala,167,2020-04-14T00:00:00Z
Guatemala,180,2020-04-15T00:00:00Z
Guatemala,196,2020-04-16T00:00:00Z
Guatemala,214,2020-04-17T00:00:00Z
Guatemala,235,2020-04-18T00:00:00Z
Guatemala,257,2020-04-19T00:00:00Z
Guatemala,289,2020-04-20T00:00:00Z
Guatemala,294,2020-04-21T00:00:00Z
Guatemala,316,2020-04-22T00:00:00Z
Guatemala,384,2020-04-23T00:00:00Z
Guatemala,430,2020-04-24T00:00:00Z
Guatemala,473,2020-04-25T00:00:00Z
Guatemala,500,2020-04-26T00:00:00Z
Guatemala,530,2020-04-27T00:00:00Z
Guatemala,530,2020-04-28T00:00:00Z
Guatemala,557,2020-04-29T00:00:00Z
Guatemala,599,2020-04-30T00:00:00Z
Guatemala,644,2020-05-01T00:00:00Z
Guatemala,688,2020-05-02T00:00:00Z
Guatemala,703,2020-05-03T00:00:00Z
Guatemala,730,2020-05-04T00:00:00Z
Guatemala,763,2020-05-05T00:00:00Z
Guatemala,798,2020-05-06T00:00:00Z
Guatemala,832,2020-05-07T00:00:00Z
Guatemala,900,2020-05-08T00:00:00Z
Guatemala,967,2020-05-09T00:00:00Z
Guatemala,1052,2020-05-10T00:00:00Z
Guatemala,1114,2020-05-11T00:00:00Z
Guatemala,1199,2020-05-12T00:00:00Z
Guatemala,1342,2020-05-13T00:00:00Z
Guatemala,1518,2020-05-14T00:00:00Z
Guatemala,1643,2020-05-15T00:00:00Z
Guatemala,1763,2020-05-16T00:00:00Z
