Country,Cases,Date
Guinea,1,2020-03-13T00:00:00Z
Guinea,1,2020-03-14T00:00:00Z
Guinea,1,2020-03-15T00:00:00Z
Guinea,1,2020-03-16T00:00:00Z
Guinea,1,2020-03-17T00:00:00Z
Guinea,1,2020-03-18T00:00:00Z
Guinea,1,2020-03-19T00:00:00Z
Guinea,1,2020-03-20T00:00:00Z
Guinea,2,2020-03-21T00:00:00Z
Guinea,2,2020-03-22T00:00:00Z
Guinea,4,2020-03-23T00:00:00Z
Guinea,4,2020-03-24T00:00:00Z
Guinea,4,2020-03-25T00:00:00Z
Guinea,4,2020-03-26T00:00:00Z
Guinea,8,2020-03-27T00:00:00Z
Guinea,8,2020-03-28T00:00:00Z
Guinea,16,2020-03-29T00:00:00Z
Guinea,22,2020-03-30T00:00:00Z
Guinea,22,2020-03-31T00:00:00Z
Guinea,30,2020-04-01T00:00:00Z
Guinea,52,2020-04-02T00:00:00Z
Guinea,73,2020-04-03T00:00:00Z
Guinea,111,2020-04-04T00:00:00Z
Guinea,121,2020-04-05T00:00:00Z
Guinea,128,2020-04-06T00:00:00Z
Guinea,144,2020-04-07T00:00:00Z
Guinea,164,2020-04-08T00:00:00Z
Guinea,194,2020-04-09T00:00:00Z
Guinea,212,2020-04-10T00:00:00Z
Guinea,250,2020-04-11T00:00:00Z
Guinea,250,2020-04-12T00:00:00Z
Guinea,319,2020-04-13T00:00:00Z
Guinea,363,2020-04-14T00:00:00Z
Guinea,404,2020-04-15T00:00:00Z
Guinea,438,2020-04-16T00:00:00Z
Guinea,477,2020-04-17T00:00:00Z
Guinea,518,2020-04-18T00:00:00Z
Guinea,579,2020-04-19T00:00:00Z
Guinea,622,2020-04-20T00:00:00Z
Guinea,688,2020-04-21T00:00:00Z
Guinea,761,2020-04-22T00:00:00Z
Guinea,862,2020-04-23T00:00:00Z
Guinea,954,2020-04-24T00:00:00Z
Guinea,996,2020-04-25T00:00:00Z
Guinea,996,2020-04-26T00:00:00Z
Guinea,1163,2020-04-27T00:00:00Z
Guinea,1240,2020-04-28T00:00:00Z
Guinea,1351,2020-04-29T00:00:00Z
Guinea,1495,2020-04-30T00:00:00Z
Guinea,1537,2020-05-01T00:00:00Z
Guinea,1586,2020-05-02T00:00:00Z
Guinea,1586,2020-05-03T00:00:00Z
Guinea,1710,2020-05-04T00:00:00Z
Guinea,1811,2020-05-05T00:00:00Z
Guinea,1856,2020-05-06T00:00:00Z
Guinea,1927,2020-05-07T00:00:00Z
Guinea,2009,2020-05-08T00:00:00Z
Guinea,2042,2020-05-09T00:00:00Z
Guinea,2146,2020-05-10T00:00:00Z
Guinea,2146,2020-05-11T00:00:00Z
Guinea,2298,2020-05-12T00:00:00Z
Guinea,2374,2020-05-13T00:00:00Z
Guinea,2473,2020-05-14T00:00:00Z
Guinea,2473,2020-05-15T00:00:00Z
Guinea,2658,2020-05-16T00:00:00Z
