Country,Cases,Date
Haiti,2,2020-03-20T00:00:00Z
Haiti,2,2020-03-21T00:00:00Z
Haiti,2,2020-03-22T00:00:00Z
Haiti,6,2020-03-23T00:00:00Z
Haiti,7,2020-03-24T00:00:00Z
Haiti,8,2020-03-25T00:00:00Z
Haiti,8,2020-03-26T00:00:00Z
Haiti,8,2020-03-27T00:00:00Z
Haiti,8,2020-03-28T00:00:00Z
Haiti,15,2020-03-29T00:00:00Z
Haiti,15,2020-03-30T00:00:00Z
Haiti,15,2020-03-31T00:00:00Z
Haiti,16,2020-04-01T00:00:00Z
Haiti,16,2020-04-02T00:00:00Z
Haiti,18,2020-04-03T00:00:00Z
Haiti,20,2020-04-04T00:00:00Z
Haiti,21,2020-04-05T00:00:00Z
Haiti,24,2020-04-06T00:00:00Z
Haiti,25,2020-04-07T00:00:00Z
Haiti,27,2020-04-08T00:00:00Z
Haiti,30,2020-04-09T00:00:00Z
Haiti,31,2020-04-10T00:00:00Z
Haiti,33,2020-04-11T00:00:00Z
Haiti,33,2020-04-12T00:00:00Z
Haiti,40,2020-04-13T00:00:00Z
Haiti,40,2020-04-14T00:00:00Z
Haiti,41,2020-04-15T00:00:00Z
Haiti,41,2020-04-16T00:00:00Z
Haiti,43,2020-04-17T00:00:00Z
Haiti,44,2020-04-18T00:00:00Z
Haiti,47,2020-04-19T00:00:00Z
Haiti,57,2020-04-20T00:00:00Z
Haiti,57,2020-04-21T00:00:00Z
Haiti,62,2020-04-22T00:00:00Z
Haiti,72,2020-04-23T00:00:00Z
Haiti,72,2020-04-24T00:00:00Z
Haiti,72,2020-04-25T00:00:00Z
Haiti,74,2020-04-26T00:00:00Z
Haiti,76,2020-04-27T00:00:00Z
Haiti,76,2020-04-28T00:00:00Z
Haiti,76,2020-04-29T00:00:00Z
Haiti,81,2020-04-30T00:00:00Z
Haiti,85,2020-05-01T00:00:00Z
Haiti,85,2020-05-02T00:00:00Z
Haiti,88,2020-05-03T00:00:00Z
Haiti,100,2020-05-04T00:00:00Z
Haiti,101,2020-05-05T00:00:00Z
Haiti,101,2020-05-06T00:00:00Z
Haiti,129,2020-05-07T00:00:00Z
Haiti,146,2020-05-08T00:00:00Z
Haiti,151,2020-05-09T00:00:00Z
Haiti,182,2020-05-10T00:00:00Z
Haiti,209,2020-05-11T00:00:00Z
Haiti,209,2020-05-12T00:00:00Z
Haiti,234,2020-05-13T00:00:00Z
Haiti,273,2020-05-14T00:00:00Z
Haiti,310,2020-05-15T00:00:00Z
Haiti,358,2020-05-16T00:00:00Z
