Country,Cases,Date
Honduras,2,2020-03-11T00:00:00Z
Honduras,2,2020-03-12T00:00:00Z
Honduras,2,2020-03-13T00:00:00Z
Honduras,2,2020-03-14T00:00:00Z
Honduras,3,2020-03-15T00:00:00Z
Honduras,6,2020-03-16T00:00:00Z
Honduras,8,2020-03-17T00:00:00Z
Honduras,9,2020-03-18T00:00:00Z
Honduras,12,2020-03-19T00:00:00Z
Honduras,24,2020-03-20T00:00:00Z
Honduras,24,2020-03-21T00:00:00Z
Honduras,26,2020-03-22T00:00:00Z
Honduras,30,2020-03-23T00:00:00Z
Honduras,30,2020-03-24T00:00:00Z
Honduras,36,2020-03-25T00:00:00Z
Honduras,52,2020-03-26T00:00:00Z
Honduras,68,2020-03-27T00:00:00Z
Honduras,95,2020-03-28T00:00:00Z
Honduras,110,2020-03-29T00:00:00Z
Honduras,139,2020-03-30T00:00:00Z
Honduras,141,2020-03-31T00:00:00Z
Honduras,172,2020-04-01T00:00:00Z
Honduras,219,2020-04-02T00:00:00Z
Honduras,222,2020-04-03T00:00:00Z
Honduras,264,2020-04-04T00:00:00Z
Honduras,268,2020-04-05T00:00:00Z
Honduras,298,2020-04-06T00:00:00Z
Honduras,305,2020-04-07T00:00:00Z
Honduras,312,2020-04-08T00:00:00Z
Honduras,343,2020-04-09T00:00:00Z
Honduras,382,2020-04-10T00:00:00Z
Honduras,392,2020-04-11T00:00:00Z
Honduras,393,2020-04-12T00:00:00Z
Honduras,397,2020-04-13T00:00:00Z
Honduras,407,2020-04-14T00:00:00Z
Honduras,419,2020-04-15T00:00:00Z
Honduras,426,2020-04-16T00:00:00Z
Honduras,442,2020-04-17T00:00:00Z
Honduras,457,2020-04-18T00:00:00Z
Honduras,472,2020-04-19T00:00:00Z
Honduras,477,2020-04-20T00:00:00Z
Honduras,494,2020-04-21T00:00:00Z
Honduras,510,2020-04-22T00:00:00Z
Honduras,519,2020-04-23T00:00:00Z
Honduras,591,2020-04-24T00:00:00Z
Honduras,627,2020-04-25T00:00:00Z
Honduras,627,2020-04-26T00:00:00Z
Honduras,661,2020-04-27T00:00:00Z
Honduras,702,2020-04-28T00:00:00Z
Honduras,738,2020-04-29T00:00:00Z
Honduras,771,2020-04-30T00:00:00Z
Honduras,804,2020-05-01T00:00:00Z
Honduras,1010,2020-05-02T00:00:00Z
Honduras,1055,2020-05-03T00:00:00Z
Honduras,1178,2020-05-04T00:00:00Z
Honduras,1270,2020-05-05T00:00:00Z
Honduras,1461,2020-05-06T00:00:00Z
Honduras,1685,2020-05-07T00:00:00Z
Honduras,1771,2020-05-08T00:00:00Z
Honduras,1830,2020-05-09T00:00:00Z
Honduras,1972,2020-05-10T00:00:00Z
Honduras,2100,2020-05-11T00:00:00Z
Honduras,2080,2020-05-12T00:00:00Z
Honduras,2255,2020-05-13T00:00:00Z
Honduras,2318,2020-05-14T00:00:00Z
Honduras,2460,2020-05-15T00:00:00Z
Honduras,2565,2020-05-16T00:00:00Z
