Country,Cases,Date
Hungary,2,2020-03-04T00:00:00Z
Hungary,2,2020-03-05T00:00:00Z
Hungary,2,2020-03-06T00:00:00Z
Hungary,4,2020-03-07T00:00:00Z
Hungary,7,2020-03-08T00:00:00Z
Hungary,9,2020-03-09T00:00:00Z
Hungary,9,2020-03-10T00:00:00Z
Hungary,13,2020-03-11T00:00:00Z
Hungary,13,2020-03-12T00:00:00Z
Hungary,19,2020-03-13T00:00:00Z
Hungary,30,2020-03-14T00:00:00Z
Hungary,32,2020-03-15T00:00:00Z
Hungary,39,2020-03-16T00:00:00Z
Hungary,50,2020-03-17T00:00:00Z
Hungary,58,2020-03-18T00:00:00Z
Hungary,73,2020-03-19T00:00:00Z
Hungary,85,2020-03-20T00:00:00Z
Hungary,103,2020-03-21T00:00:00Z
Hungary,131,2020-03-22T00:00:00Z
Hungary,167,2020-03-23T00:00:00Z
Hungary,187,2020-03-24T00:00:00Z
Hungary,226,2020-03-25T00:00:00Z
Hungary,261,2020-03-26T00:00:00Z
Hungary,300,2020-03-27T00:00:00Z
Hungary,343,2020-03-28T00:00:00Z
Hungary,408,2020-03-29T00:00:00Z
Hungary,447,2020-03-30T00:00:00Z
Hungary,492,2020-03-31T00:00:00Z
Hungary,525,2020-04-01T00:00:00Z
Hungary,585,2020-04-02T00:00:00Z
Hungary,623,2020-04-03T00:00:00Z
Hungary,678,2020-04-04T00:00:00Z
Hungary,733,2020-04-05T00:00:00Z
Hungary,744,2020-04-06T00:00:00Z
Hungary,817,2020-04-07T00:00:00Z
Hungary,895,2020-04-08T00:00:00Z
Hungary,980,2020-04-09T00:00:00Z
Hungary,1190,2020-04-10T00:00:00Z
Hungary,1310,2020-04-11T00:00:00Z
Hungary,1410,2020-04-12T00:00:00Z
Hungary,1458,2020-04-13T00:00:00Z
Hungary,1512,2020-04-14T00:00:00Z
Hungary,1579,2020-04-15T00:00:00Z
Hungary,1652,2020-04-16T00:00:00Z
Hungary,1763,2020-04-17T00:00:00Z
Hungary,1834,2020-04-18T00:00:00Z
Hungary,1916,2020-04-19T00:00:00Z
Hungary,1984,2020-04-20T00:00:00Z
Hungary,2098,2020-04-21T00:00:00Z
Hungary,2168,2020-04-22T00:00:00Z
Hungary,2284,2020-04-23T00:00:00Z
Hungary,2443,2020-04-24T00:00:00Z
Hungary,2443,2020-04-25T00:00:00Z
Hungary,2500,2020-04-26T00:00:00Z
Hungary,2583,2020-04-27T00:00:00Z
Hungary,2649,2020-04-28T00:00:00Z
Hungary,2727,2020-04-29T00:00:00Z
Hungary,2775,2020-04-30T00:00:00Z
Hungary,2863,2020-05-01T00:00:00Z
Hungary,2942,2020-05-02T00:00:00Z
Hungary,2998,2020-05-03T00:00:00Z
Hungary,3035,2020-05-04T00:00:00Z
Hungary,3065,2020-05-05T00:00:00Z
Hungary,3111,2020-05-06T00:00:00Z
Hungary,3150,2020-05-07T00:00:00Z
Hungary,3178,2020-05-08T00:00:00Z
Hungary,3213,2020-05-09T00:00:00Z
Hungary,3263,2020-05-10T00:00:00Z
Hungary,3284,2020-05-11T00:00:00Z
Hungary,3313,2020-05-12T00:00:00Z
Hungary,3341,2020-05-13T00:00:00Z
Hungary,3380,2020-05-14T00:00:00Z
Hungary,3417,2020-05-15T00:00:00Z
Hungary,3473,2020-05-16T00:00:00Z
