Country,Cases,Date
Iceland,1,2020-02-28T00:00:00Z
Iceland,1,2020-02-29T00:00:00Z
Iceland,3,2020-03-01T00:00:00Z
Iceland,6,2020-03-02T00:00:00Z
Iceland,11,2020-03-03T00:00:00Z
Iceland,26,2020-03-04T00:00:00Z
Iceland,34,2020-03-05T00:00:00Z
Iceland,43,2020-03-06T00:00:00Z
Iceland,50,2020-03-07T00:00:00Z
Iceland,50,2020-03-08T00:00:00Z
Iceland,58,2020-03-09T00:00:00Z
Iceland,69,2020-03-10T00:00:00Z
Iceland,85,2020-03-11T00:00:00Z
Iceland,103,2020-03-12T00:00:00Z
Iceland,134,2020-03-13T00:00:00Z
Iceland,156,2020-03-14T00:00:00Z
Iceland,171,2020-03-15T00:00:00Z
Iceland,180,2020-03-16T00:00:00Z
Iceland,220,2020-03-17T00:00:00Z
Iceland,250,2020-03-18T00:00:00Z
Iceland,330,2020-03-19T00:00:00Z
Iceland,409,2020-03-20T00:00:00Z
Iceland,473,2020-03-21T00:00:00Z
Iceland,568,2020-03-22T00:00:00Z
Iceland,588,2020-03-23T00:00:00Z
Iceland,648,2020-03-24T00:00:00Z
Iceland,737,2020-03-25T00:00:00Z
Iceland,802,2020-03-26T00:00:00Z
Iceland,890,2020-03-27T00:00:00Z
Iceland,963,2020-03-28T00:00:00Z
Iceland,1020,2020-03-29T00:00:00Z
Iceland,1086,2020-03-30T00:00:00Z
Iceland,1135,2020-03-31T00:00:00Z
Iceland,1220,2020-04-01T00:00:00Z
Iceland,1319,2020-04-02T00:00:00Z
Iceland,1364,2020-04-03T00:00:00Z
Iceland,1417,2020-04-04T00:00:00Z
Iceland,1486,2020-04-05T00:00:00Z
Iceland,1562,2020-04-06T00:00:00Z
Iceland,1586,2020-04-07T00:00:00Z
Iceland,1616,2020-04-08T00:00:00Z
Iceland,1648,2020-04-09T00:00:00Z
Iceland,1675,2020-04-10T00:00:00Z
Iceland,1689,2020-04-11T00:00:00Z
Iceland,1701,2020-04-12T00:00:00Z
Iceland,1711,2020-04-13T00:00:00Z
Iceland,1720,2020-04-14T00:00:00Z
Iceland,1727,2020-04-15T00:00:00Z
Iceland,1739,2020-04-16T00:00:00Z
Iceland,1754,2020-04-17T00:00:00Z
Iceland,1760,2020-04-18T00:00:00Z
Iceland,1771,2020-04-19T00:00:00Z
Iceland,1773,2020-04-20T00:00:00Z
Iceland,1778,2020-04-21T00:00:00Z
Iceland,1785,2020-04-22T00:00:00Z
Iceland,1789,2020-04-23T00:00:00Z
Iceland,1789,2020-04-24T00:00:00Z
Iceland,1790,2020-04-25T00:00:00Z
Iceland,1792,2020-04-26T00:00:00Z
Iceland,1792,2020-04-27T00:00:00Z
Iceland,1795,2020-04-28T00:00:00Z
Iceland,1797,2020-04-29T00:00:00Z
Iceland,1797,2020-04-30T00:00:00Z
Iceland,1798,2020-05-01T00:00:00Z
Iceland,1798,2020-05-02T00:00:00Z
Iceland,1799,2020-05-03T00:00:00Z
Iceland,1799,2020-05-04T00:00:00Z
Iceland,1799,2020-05-05T00:00:00Z
Iceland,1799,2020-05-06T00:00:00Z
Iceland,1801,2020-05-07T00:00:00Z
Iceland,1801,2020-05-08T00:00:00Z
Iceland,1801,2020-05-09T00:00:00Z
Iceland,1801,2020-05-10T00:00:00Z
Iceland,1801,2020-05-11T00:00:00Z
Iceland,1801,2020-05-12T00:00:00Z
Iceland,1802,2020-05-13T00:00:00Z
Iceland,1802,2020-05-14T00:00:00Z
Iceland,1802,2020-05-15T00:00:00Z
Iceland,1802,2020-05-16T00:00:00Z
