Country,Cases,Date
Indonesia,2,2020-03-02T00:00:00Z
Indonesia,2,2020-03-03T00:00:00Z
Indonesia,2,2020-03-04T00:00:00Z
Indonesia,2,2020-03-05T00:00:00Z
Indonesia,4,2020-03-06T00:00:00Z
Indonesia,4,2020-03-07T00:00:00Z
Indonesia,6,2020-03-08T00:00:00Z
Indonesia,19,2020-03-09T00:00:00Z
Indonesia,27,2020-03-10T00:00:00Z
Indonesia,34,2020-03-11T00:00:00Z
Indonesia,34,2020-03-12T00:00:00Z
Indonesia,69,2020-03-13T00:00:00Z
Indonesia,96,2020-03-14T00:00:00Z
Indonesia,117,2020-03-15T00:00:00Z
Indonesia,134,2020-03-16T00:00:00Z
Indonesia,172,2020-03-17T00:00:00Z
Indonesia,227,2020-03-18T00:00:00Z
Indonesia,311,2020-03-19T00:00:00Z
Indonesia,369,2020-03-20T00:00:00Z
Indonesia,450,2020-03-21T00:00:00Z
Indonesia,514,2020-03-22T00:00:00Z
Indonesia,579,2020-03-23T00:00:00Z
Indonesia,686,2020-03-24T00:00:00Z
Indonesia,790,2020-03-25T00:00:00Z
Indonesia,893,2020-03-26T00:00:00Z
Indonesia,1046,2020-03-27T00:00:00Z
Indonesia,1155,2020-03-28T00:00:00Z
Indonesia,1285,2020-03-29T00:00:00Z
Indonesia,1414,2020-03-30T00:00:00Z
Indonesia,1528,2020-03-31T00:00:00Z
Indonesia,1677,2020-04-01T00:00:00Z
Indonesia,1790,2020-04-02T00:00:00Z
Indonesia,1986,2020-04-03T00:00:00Z
Indonesia,2092,2020-04-04T00:00:00Z
Indonesia,2273,2020-04-05T00:00:00Z
Indonesia,2491,2020-04-06T00:00:00Z
Indonesia,2738,2020-04-07T00:00:00Z
Indonesia,2956,2020-04-08T00:00:00Z
Indonesia,3293,2020-04-09T00:00:00Z
Indonesia,3512,2020-04-10T00:00:00Z
Indonesia,3842,2020-04-11T00:00:00Z
Indonesia,4241,2020-04-12T00:00:00Z
Indonesia,4557,2020-04-13T00:00:00Z
Indonesia,4839,2020-04-14T00:00:00Z
Indonesia,5136,2020-04-15T00:00:00Z
Indonesia,5516,2020-04-16T00:00:00Z
Indonesia,5923,2020-04-17T00:00:00Z
Indonesia,6248,2020-04-18T00:00:00Z
Indonesia,6575,2020-04-19T00:00:00Z
Indonesia,6760,2020-04-20T00:00:00Z
Indonesia,7135,2020-04-21T00:00:00Z
Indonesia,7418,2020-04-22T00:00:00Z
Indonesia,7775,2020-04-23T00:00:00Z
Indonesia,8211,2020-04-24T00:00:00Z
Indonesia,8607,2020-04-25T00:00:00Z
Indonesia,8882,2020-04-26T00:00:00Z
Indonesia,9096,2020-04-27T00:00:00Z
Indonesia,9511,2020-04-28T00:00:00Z
Indonesia,9771,2020-04-29T00:00:00Z
Indonesia,10118,2020-04-30T00:00:00Z
Indonesia,10551,2020-05-01T00:00:00Z
Indonesia,10843,2020-05-02T00:00:00Z
Indonesia,11192,2020-05-03T00:00:00Z
Indonesia,11587,2020-05-04T00:00:00Z
Indonesia,12071,2020-05-05T00:00:00Z
Indonesia,12438,2020-05-06T00:00:00Z
Indonesia,12776,2020-05-07T00:00:00Z
Indonesia,13112,2020-05-08T00:00:00Z
Indonesia,13645,2020-05-09T00:00:00Z
Indonesia,14032,2020-05-10T00:00:00Z
Indonesia,14265,2020-05-11T00:00:00Z
Indonesia,14749,2020-05-12T00:00:00Z
Indonesia,15438,2020-05-13T00:00:00Z
Indonesia,16006,2020-05-14T00:00:00Z
Indonesia,16496,2020-05-15T00:00:00Z
Indonesia,17025,2020-05-16T00:00:00Z
