Country,Cases,Date
Iraq,1,2020-02-24T00:00:00Z
Iraq,1,2020-02-25T00:00:00Z
Iraq,5,2020-02-26T00:00:00Z
Iraq,7,2020-02-27T00:00:00Z
Iraq,7,2020-02-28T00:00:00Z
Iraq,13,2020-02-29T00:00:00Z
Iraq,19,2020-03-01T00:00:00Z
Iraq,26,2020-03-02T00:00:00Z
Iraq,32,2020-03-03T00:00:00Z
Iraq,35,2020-03-04T00:00:00Z
Iraq,35,2020-03-05T00:00:00Z
Iraq,40,2020-03-06T00:00:00Z
Iraq,54,2020-03-07T00:00:00Z
Iraq,60,2020-03-08T00:00:00Z
Iraq,60,2020-03-09T00:00:00Z
Iraq,71,2020-03-10T00:00:00Z
Iraq,71,2020-03-11T00:00:00Z
Iraq,71,2020-03-12T00:00:00Z
Iraq,101,2020-03-13T00:00:00Z
Iraq,110,2020-03-14T00:00:00Z
Iraq,116,2020-03-15T00:00:00Z
Iraq,124,2020-03-16T00:00:00Z
Iraq,154,2020-03-17T00:00:00Z
Iraq,164,2020-03-18T00:00:00Z
Iraq,192,2020-03-19T00:00:00Z
Iraq,208,2020-03-20T00:00:00Z
Iraq,214,2020-03-21T00:00:00Z
Iraq,233,2020-03-22T00:00:00Z
Iraq,266,2020-03-23T00:00:00Z
Iraq,316,2020-03-24T00:00:00Z
Iraq,346,2020-03-25T00:00:00Z
Iraq,382,2020-03-26T00:00:00Z
Iraq,458,2020-03-27T00:00:00Z
Iraq,506,2020-03-28T00:00:00Z
Iraq,547,2020-03-29T00:00:00Z
Iraq,630,2020-03-30T00:00:00Z
Iraq,694,2020-03-31T00:00:00Z
Iraq,728,2020-04-01T00:00:00Z
Iraq,772,2020-04-02T00:00:00Z
Iraq,820,2020-04-03T00:00:00Z
Iraq,878,2020-04-04T00:00:00Z
Iraq,961,2020-04-05T00:00:00Z
Iraq,1031,2020-04-06T00:00:00Z
Iraq,1122,2020-04-07T00:00:00Z
Iraq,1202,2020-04-08T00:00:00Z
Iraq,1232,2020-04-09T00:00:00Z
Iraq,1279,2020-04-10T00:00:00Z
Iraq,1318,2020-04-11T00:00:00Z
Iraq,1352,2020-04-12T00:00:00Z
Iraq,1378,2020-04-13T00:00:00Z
Iraq,1400,2020-04-14T00:00:00Z
Iraq,1415,2020-04-15T00:00:00Z
Iraq,1434,2020-04-16T00:00:00Z
Iraq,1482,2020-04-17T00:00:00Z
Iraq,1513,2020-04-18T00:00:00Z
Iraq,1539,2020-04-19T00:00:00Z
Iraq,1574,2020-04-20T00:00:00Z
Iraq,1602,2020-04-21T00:00:00Z
Iraq,1631,2020-04-22T00:00:00Z
Iraq,1677,2020-04-23T00:00:00Z
Iraq,1708,2020-04-24T00:00:00Z
Iraq,1763,2020-04-25T00:00:00Z
Iraq,1820,2020-04-26T00:00:00Z
Iraq,1847,2020-04-27T00:00:00Z
Iraq,1928,2020-04-28T00:00:00Z
Iraq,2003,2020-04-29T00:00:00Z
Iraq,2085,2020-04-30T00:00:00Z
Iraq,2153,2020-05-01T00:00:00Z
Iraq,2219,2020-05-02T00:00:00Z
Iraq,2296,2020-05-03T00:00:00Z
Iraq,2346,2020-05-04T00:00:00Z
Iraq,2431,2020-05-05T00:00:00Z
Iraq,2480,2020-05-06T00:00:00Z
Iraq,2543,2020-05-07T00:00:00Z
Iraq,2603,2020-05-08T00:00:00Z
Iraq,2679,2020-05-09T00:00:00Z
Iraq,2767,2020-05-10T00:00:00Z
Iraq,2818,2020-05-11T00:00:00Z
Iraq,2913,2020-05-12T00:00:00Z
Iraq,3032,2020-05-13T00:00:00Z
Iraq,3143,2020-05-14T00:00:00Z
Iraq,3193,2020-05-15T00:00:00Z
Iraq,3260,2020-05-16T00:00:00Z
