Country,Cases,Date
Ireland,1,2020-02-29T00:00:00Z
Ireland,1,2020-03-01T00:00:00Z
Ireland,1,2020-03-02T00:00:00Z
Ireland,2,2020-03-03T00:00:00Z
Ireland,6,2020-03-04T00:00:00Z
Ireland,6,2020-03-05T00:00:00Z
Ireland,18,2020-03-06T00:00:00Z
Ireland,18,2020-03-07T00:00:00Z
Ireland,19,2020-03-08T00:00:00Z
Ireland,21,2020-03-09T00:00:00Z
Ireland,34,2020-03-10T00:00:00Z
Ireland,43,2020-03-11T00:00:00Z
Ireland,43,2020-03-12T00:00:00Z
Ireland,90,2020-03-13T00:00:00Z
Ireland,129,2020-03-14T00:00:00Z
Ireland,129,2020-03-15T00:00:00Z
Ireland,169,2020-03-16T00:00:00Z
Ireland,223,2020-03-17T00:00:00Z
Ireland,292,2020-03-18T00:00:00Z
Ireland,557,2020-03-19T00:00:00Z
Ireland,683,2020-03-20T00:00:00Z
Ireland,785,2020-03-21T00:00:00Z
Ireland,906,2020-03-22T00:00:00Z
Ireland,1125,2020-03-23T00:00:00Z
Ireland,1329,2020-03-24T00:00:00Z
Ireland,1564,2020-03-25T00:00:00Z
Ireland,1819,2020-03-26T00:00:00Z
Ireland,2121,2020-03-27T00:00:00Z
Ireland,2415,2020-03-28T00:00:00Z
Ireland,2615,2020-03-29T00:00:00Z
Ireland,2910,2020-03-30T00:00:00Z
Ireland,3235,2020-03-31T00:00:00Z
Ireland,3447,2020-04-01T00:00:00Z
Ireland,3849,2020-04-02T00:00:00Z
Ireland,4273,2020-04-03T00:00:00Z
Ireland,4604,2020-04-04T00:00:00Z
Ireland,4994,2020-04-05T00:00:00Z
Ireland,5364,2020-04-06T00:00:00Z
Ireland,5709,2020-04-07T00:00:00Z
Ireland,6074,2020-04-08T00:00:00Z
Ireland,6574,2020-04-09T00:00:00Z
Ireland,8089,2020-04-10T00:00:00Z
Ireland,8928,2020-04-11T00:00:00Z
Ireland,9655,2020-04-12T00:00:00Z
Ireland,10647,2020-04-13T00:00:00Z
Ireland,11479,2020-04-14T00:00:00Z
Ireland,12547,2020-04-15T00:00:00Z
Ireland,13271,2020-04-16T00:00:00Z
Ireland,13980,2020-04-17T00:00:00Z
Ireland,14758,2020-04-18T00:00:00Z
Ireland,15251,2020-04-19T00:00:00Z
Ireland,15652,2020-04-20T00:00:00Z
Ireland,16040,2020-04-21T00:00:00Z
Ireland,16671,2020-04-22T00:00:00Z
Ireland,17607,2020-04-23T00:00:00Z
Ireland,18184,2020-04-24T00:00:00Z
Ireland,18561,2020-04-25T00:00:00Z
Ireland,19262,2020-04-26T00:00:00Z
Ireland,19648,2020-04-27T00:00:00Z
Ireland,19877,2020-04-28T00:00:00Z
Ireland,20253,2020-04-29T00:00:00Z
Ireland,20612,2020-04-30T00:00:00Z
Ireland,20833,2020-05-01T00:00:00Z
Ireland,21176,2020-05-02T00:00:00Z
Ireland,21506,2020-05-03T00:00:00Z
Ireland,21772,2020-05-04T00:00:00Z
Ireland,21983,2020-05-05T00:00:00Z
Ireland,22248,2020-05-06T00:00:00Z
Ireland,22385,2020-05-07T00:00:00Z
Ireland,22541,2020-05-08T00:00:00Z
Ireland,22760,2020-05-09T00:00:00Z
Ireland,22996,2020-05-10T00:00:00Z
Ireland,23135,2020-05-11T00:00:00Z
Ireland,23242,2020-05-12T00:00:00Z
Ireland,23401,2020-05-13T00:00:00Z
Ireland,23827,2020-05-14T00:00:00Z
Ireland,23956,2020-05-15T00:00:00Z
Ireland,24048,2020-05-16T00:00:00Z
