Country,Cases,Date
Israel,1,2020-02-21T00:00:00Z
Israel,1,2020-02-22T00:00:00Z
Israel,1,2020-02-23T00:00:00Z
Israel,1,2020-02-24T00:00:00Z
Israel,1,2020-02-25T00:00:00Z
Israel,2,2020-02-26T00:00:00Z
Israel,3,2020-02-27T00:00:00Z
Israel,4,2020-02-28T00:00:00Z
Israel,7,2020-02-29T00:00:00Z
Israel,10,2020-03-01T00:00:00Z
Israel,10,2020-03-02T00:00:00Z
Israel,12,2020-03-03T00:00:00Z
Israel,15,2020-03-04T00:00:00Z
Israel,20,2020-03-05T00:00:00Z
Israel,37,2020-03-06T00:00:00Z
Israel,43,2020-03-07T00:00:00Z
Israel,61,2020-03-08T00:00:00Z
Israel,61,2020-03-09T00:00:00Z
Israel,75,2020-03-10T00:00:00Z
Israel,79,2020-03-11T00:00:00Z
Israel,100,2020-03-12T00:00:00Z
Israel,126,2020-03-13T00:00:00Z
Israel,155,2020-03-14T00:00:00Z
Israel,213,2020-03-15T00:00:00Z
Israel,218,2020-03-16T00:00:00Z
Israel,250,2020-03-17T00:00:00Z
Israel,304,2020-03-18T00:00:00Z
Israel,427,2020-03-19T00:00:00Z
Israel,529,2020-03-20T00:00:00Z
Israel,712,2020-03-21T00:00:00Z
Israel,883,2020-03-22T00:00:00Z
Israel,1071,2020-03-23T00:00:00Z
Israel,1238,2020-03-24T00:00:00Z
Israel,2369,2020-03-25T00:00:00Z
Israel,2693,2020-03-26T00:00:00Z
Israel,3035,2020-03-27T00:00:00Z
Israel,3619,2020-03-28T00:00:00Z
Israel,4247,2020-03-29T00:00:00Z
Israel,4695,2020-03-30T00:00:00Z
Israel,5358,2020-03-31T00:00:00Z
Israel,6092,2020-04-01T00:00:00Z
Israel,6857,2020-04-02T00:00:00Z
Israel,7428,2020-04-03T00:00:00Z
Israel,7851,2020-04-04T00:00:00Z
Israel,8430,2020-04-05T00:00:00Z
Israel,8904,2020-04-06T00:00:00Z
Israel,9248,2020-04-07T00:00:00Z
Israel,9404,2020-04-08T00:00:00Z
Israel,9968,2020-04-09T00:00:00Z
Israel,10408,2020-04-10T00:00:00Z
Israel,10743,2020-04-11T00:00:00Z
Israel,11145,2020-04-12T00:00:00Z
Israel,11586,2020-04-13T00:00:00Z
Israel,12046,2020-04-14T00:00:00Z
Israel,12501,2020-04-15T00:00:00Z
Israel,12758,2020-04-16T00:00:00Z
Israel,12982,2020-04-17T00:00:00Z
Israel,13265,2020-04-18T00:00:00Z
Israel,13491,2020-04-19T00:00:00Z
Israel,13713,2020-04-20T00:00:00Z
Israel,13942,2020-04-21T00:00:00Z
Israel,14498,2020-04-22T00:00:00Z
Israel,14803,2020-04-23T00:00:00Z
Israel,15058,2020-04-24T00:00:00Z
Israel,15298,2020-04-25T00:00:00Z
Israel,15443,2020-04-26T00:00:00Z
Israel,15555,2020-04-27T00:00:00Z
Israel,15728,2020-04-28T00:00:00Z
Israel,15834,2020-04-29T00:00:00Z
Israel,15946,2020-04-30T00:00:00Z
Israel,16101,2020-05-01T00:00:00Z
Israel,16185,2020-05-02T00:00:00Z
Israel,16208,2020-05-03T00:00:00Z
Israel,16246,2020-05-04T00:00:00Z
Israel,16289,2020-05-05T00:00:00Z
Israel,16310,2020-05-06T00:00:00Z
Israel,16381,2020-05-07T00:00:00Z
Israel,16436,2020-05-08T00:00:00Z
Israel,16454,2020-05-09T00:00:00Z
Israel,16477,2020-05-10T00:00:00Z
Israel,16506,2020-05-11T00:00:00Z
Israel,16529,2020-05-12T00:00:00Z
Israel,16548,2020-05-13T00:00:00Z
Israel,16579,2020-05-14T00:00:00Z
Israel,16589,2020-05-15T00:00:00Z
Israel,16608,2020-05-16T00:00:00Z
