Country,Cases,Date
Italy,2,2020-01-31T00:00:00Z
Italy,2,2020-02-01T00:00:00Z
Italy,2,2020-02-02T00:00:00Z
Italy,2,2020-02-03T00:00:00Z
Italy,2,2020-02-04T00:00:00Z
Italy,2,2020-02-05T00:00:00Z
Italy,2,2020-02-06T00:00:00Z
Italy,3,2020-02-07T00:00:00Z
Italy,3,2020-02-08T00:00:00Z
Italy,3,2020-02-09T00:00:00Z
Italy,3,2020-02-10T00:00:00Z
Italy,3,2020-02-11T00:00:00Z
Italy,3,2020-02-12T00:00:00Z
Italy,3,2020-02-13T00:00:00Z
Italy,3,2020-02-14T00:00:00Z
Italy,3,2020-02-15T00:00:00Z
Italy,3,2020-02-16T00:00:00Z
Italy,3,2020-02-17T00:00:00Z
Italy,3,2020-02-18T00:00:00Z
Italy,3,2020-02-19T00:00:00Z
Italy,3,2020-02-20T00:00:00Z
Italy,20,2020-02-21T00:00:00Z
Italy,62,2020-02-22T00:00:00Z
Italy,155,2020-02-23T00:00:00Z
Italy,229,2020-02-24T00:00:00Z
Italy,322,2020-02-25T00:00:00Z
Italy,453,2020-02-26T00:00:00Z
Italy,655,2020-02-27T00:00:00Z
Italy,888,2020-02-28T00:00:00Z
Italy,1128,2020-02-29T00:00:00Z
Italy,1694,2020-03-01T00:00:00Z
Italy,2036,2020-03-02T00:00:00Z
Italy,2502,2020-03-03T00:00:00Z
Italy,3089,2020-03-04T00:00:00Z
Italy,3858,2020-03-05T00:00:00Z
Italy,4636,2020-03-06T00:00:00Z
Italy,5883,2020-03-07T00:00:00Z
Italy,7375,2020-03-08T00:00:00Z
Italy,9172,2020-03-09T00:00:00Z
Italy,10149,2020-03-10T00:00:00Z
Italy,12462,2020-03-11T00:00:00Z
Italy,12462,2020-03-12T00:00:00Z
Italy,17660,2020-03-13T00:00:00Z
Italy,21157,2020-03-14T00:00:00Z
Italy,24747,2020-03-15T00:00:00Z
Italy,27980,2020-03-16T00:00:00Z
Italy,31506,2020-03-17T00:00:00Z
Italy,35713,2020-03-18T00:00:00Z
Italy,41035,2020-03-19T00:00:00Z
Italy,47021,2020-03-20T00:00:00Z
Italy,53578,2020-03-21T00:00:00Z
Italy,59138,2020-03-22T00:00:00Z
Italy,63927,2020-03-23T00:00:00Z
Italy,69176,2020-03-24T00:00:00Z
Italy,74386,2020-03-25T00:00:00Z
Italy,80589,2020-03-26T00:00:00Z
Italy,86498,2020-03-27T00:00:00Z
Italy,92472,2020-03-28T00:00:00Z
Italy,97689,2020-03-29T00:00:00Z
Italy,101739,2020-03-30T00:00:00Z
Italy,105792,2020-03-31T00:00:00Z
Italy,110574,2020-04-01T00:00:00Z
Italy,115242,2020-04-02T00:00:00Z
Italy,119827,2020-04-03T00:00:00Z
Italy,124632,2020-04-04T00:00:00Z
Italy,128948,2020-04-05T00:00:00Z
Italy,132547,2020-04-06T00:00:00Z
Italy,135586,2020-04-07T00:00:00Z
Italy,139422,2020-04-08T00:00:00Z
Italy,143626,2020-04-09T00:00:00Z
Italy,147577,2020-04-10T00:00:00Z
Italy,152271,2020-04-11T00:00:00Z
Italy,156363,2020-04-12T00:00:00Z
Italy,159516,2020-04-13T00:00:00Z
Italy,162488,2020-04-14T00:00:00Z
Italy,165155,2020-04-15T00:00:00Z
Italy,168941,2020-04-16T00:00:00Z
Italy,172434,2020-04-17T00:00:00Z
Italy,175925,2020-04-18T00:00:00Z
Italy,178972,2020-04-19T00:00:00Z
Italy,181228,2020-04-20T00:00:00Z
Italy,183957,2020-04-21T00:00:00Z
Italy,187327,2020-04-22T00:00:00Z
Italy,189973,2020-04-23T00:00:00Z
Italy,192994,2020-04-24T00:00:00Z
Italy,195351,2020-04-25T00:00:00Z
Italy,197675,2020-04-26T00:00:00Z
Italy,199414,2020-04-27T00:00:00Z
Italy,201505,2020-04-28T00:00:00Z
Italy,203591,2020-04-29T00:00:00Z
Italy,205463,2020-04-30T00:00:00Z
Italy,207428,2020-05-01T00:00:00Z
Italy,209328,2020-05-02T00:00:00Z
Italy,210717,2020-05-03T00:00:00Z
Italy,211938,2020-05-04T00:00:00Z
Italy,213013,2020-05-05T00:00:00Z
Italy,214457,2020-05-06T00:00:00Z
Italy,215858,2020-05-07T00:00:00Z
Italy,217185,2020-05-08T00:00:00Z
Italy,218268,2020-05-09T00:00:00Z
Italy,219070,2020-05-10T00:00:00Z
Italy,219814,2020-05-11T00:00:00Z
Italy,221216,2020-05-12T00:00:00Z
Italy,222104,2020-05-13T00:00:00Z
Italy,223096,2020-05-14T00:00:00Z
Italy,223885,2020-05-15T00:00:00Z
Italy,224760,2020-05-16T00:00:00Z
