Country,Cases,Date
Jamaica,1,2020-03-11T00:00:00Z
Jamaica,2,2020-03-12T00:00:00Z
Jamaica,8,2020-03-13T00:00:00Z
Jamaica,8,2020-03-14T00:00:00Z
Jamaica,10,2020-03-15T00:00:00Z
Jamaica,10,2020-03-16T00:00:00Z
Jamaica,12,2020-03-17T00:00:00Z
Jamaica,13,2020-03-18T00:00:00Z
Jamaica,15,2020-03-19T00:00:00Z
Jamaica,16,2020-03-20T00:00:00Z
Jamaica,16,2020-03-21T00:00:00Z
Jamaica,19,2020-03-22T00:00:00Z
Jamaica,19,2020-03-23T00:00:00Z
Jamaica,21,2020-03-24T00:00:00Z
Jamaica,26,2020-03-25T00:00:00Z
Jamaica,26,2020-03-26T00:00:00Z
Jamaica,26,2020-03-27T00:00:00Z
Jamaica,30,2020-03-28T00:00:00Z
Jamaica,32,2020-03-29T00:00:00Z
Jamaica,36,2020-03-30T00:00:00Z
Jamaica,36,2020-03-31T00:00:00Z
Jamaica,44,2020-04-01T00:00:00Z
Jamaica,47,2020-04-02T00:00:00Z
Jamaica,47,2020-04-03T00:00:00Z
Jamaica,53,2020-04-04T00:00:00Z
Jamaica,58,2020-04-05T00:00:00Z
Jamaica,58,2020-04-06T00:00:00Z
Jamaica,63,2020-04-07T00:00:00Z
Jamaica,63,2020-04-08T00:00:00Z
Jamaica,63,2020-04-09T00:00:00Z
Jamaica,63,2020-04-10T00:00:00Z
Jamaica,65,2020-04-11T00:00:00Z
Jamaica,69,2020-04-12T00:00:00Z
Jamaica,73,2020-04-13T00:00:00Z
Jamaica,73,2020-04-14T00:00:00Z
Jamaica,125,2020-04-15T00:00:00Z
Jamaica,143,2020-04-16T00:00:00Z
Jamaica,143,2020-04-17T00:00:00Z
Jamaica,163,2020-04-18T00:00:00Z
Jamaica,173,2020-04-19T00:00:00Z
Jamaica,223,2020-04-20T00:00:00Z
Jamaica,223,2020-04-21T00:00:00Z
Jamaica,233,2020-04-22T00:00:00Z
Jamaica,257,2020-04-23T00:00:00Z
Jamaica,288,2020-04-24T00:00:00Z
Jamaica,305,2020-04-25T00:00:00Z
Jamaica,350,2020-04-26T00:00:00Z
Jamaica,364,2020-04-27T00:00:00Z
Jamaica,364,2020-04-28T00:00:00Z
Jamaica,396,2020-04-29T00:00:00Z
Jamaica,422,2020-04-30T00:00:00Z
Jamaica,432,2020-05-01T00:00:00Z
Jamaica,463,2020-05-02T00:00:00Z
Jamaica,469,2020-05-03T00:00:00Z
Jamaica,471,2020-05-04T00:00:00Z
Jamaica,473,2020-05-05T00:00:00Z
Jamaica,478,2020-05-06T00:00:00Z
Jamaica,488,2020-05-07T00:00:00Z
Jamaica,490,2020-05-08T00:00:00Z
Jamaica,490,2020-05-09T00:00:00Z
Jamaica,502,2020-05-10T00:00:00Z
Jamaica,505,2020-05-11T00:00:00Z
Jamaica,507,2020-05-12T00:00:00Z
Jamaica,509,2020-05-13T00:00:00Z
Jamaica,509,2020-05-14T00:00:00Z
Jamaica,511,2020-05-15T00:00:00Z
Jamaica,517,2020-05-16T00:00:00Z
