Country,Cases,Date
Japan,2,2020-01-22T00:00:00Z
Japan,2,2020-01-23T00:00:00Z
Japan,2,2020-01-24T00:00:00Z
Japan,2,2020-01-25T00:00:00Z
Japan,4,2020-01-26T00:00:00Z
Japan,4,2020-01-27T00:00:00Z
Japan,7,2020-01-28T00:00:00Z
Japan,7,2020-01-29T00:00:00Z
Japan,11,2020-01-30T00:00:00Z
Japan,15,2020-01-31T00:00:00Z
Japan,20,2020-02-01T00:00:00Z
Japan,20,2020-02-02T00:00:00Z
Japan,20,2020-02-03T00:00:00Z
Japan,22,2020-02-04T00:00:00Z
Japan,22,2020-02-05T00:00:00Z
Japan,22,2020-02-06T00:00:00Z
Japan,25,2020-02-07T00:00:00Z
Japan,25,2020-02-08T00:00:00Z
Japan,26,2020-02-09T00:00:00Z
Japan,26,2020-02-10T00:00:00Z
Japan,26,2020-02-11T00:00:00Z
Japan,28,2020-02-12T00:00:00Z
Japan,28,2020-02-13T00:00:00Z
Japan,29,2020-02-14T00:00:00Z
Japan,43,2020-02-15T00:00:00Z
Japan,59,2020-02-16T00:00:00Z
Japan,66,2020-02-17T00:00:00Z
Japan,74,2020-02-18T00:00:00Z
Japan,84,2020-02-19T00:00:00Z
Japan,94,2020-02-20T00:00:00Z
Japan,105,2020-02-21T00:00:00Z
Japan,122,2020-02-22T00:00:00Z
Japan,147,2020-02-23T00:00:00Z
Japan,159,2020-02-24T00:00:00Z
Japan,170,2020-02-25T00:00:00Z
Japan,189,2020-02-26T00:00:00Z
Japan,214,2020-02-27T00:00:00Z
Japan,228,2020-02-28T00:00:00Z
Japan,241,2020-02-29T00:00:00Z
Japan,256,2020-03-01T00:00:00Z
Japan,274,2020-03-02T00:00:00Z
Japan,293,2020-03-03T00:00:00Z
Japan,331,2020-03-04T00:00:00Z
Japan,360,2020-03-05T00:00:00Z
Japan,420,2020-03-06T00:00:00Z
Japan,461,2020-03-07T00:00:00Z
Japan,502,2020-03-08T00:00:00Z
Japan,511,2020-03-09T00:00:00Z
Japan,581,2020-03-10T00:00:00Z
Japan,639,2020-03-11T00:00:00Z
Japan,639,2020-03-12T00:00:00Z
Japan,701,2020-03-13T00:00:00Z
Japan,773,2020-03-14T00:00:00Z
Japan,839,2020-03-15T00:00:00Z
Japan,839,2020-03-16T00:00:00Z
Japan,878,2020-03-17T00:00:00Z
Japan,889,2020-03-18T00:00:00Z
Japan,924,2020-03-19T00:00:00Z
Japan,963,2020-03-20T00:00:00Z
Japan,1007,2020-03-21T00:00:00Z
Japan,1101,2020-03-22T00:00:00Z
Japan,1128,2020-03-23T00:00:00Z
Japan,1193,2020-03-24T00:00:00Z
Japan,1307,2020-03-25T00:00:00Z
Japan,1387,2020-03-26T00:00:00Z
Japan,1468,2020-03-27T00:00:00Z
Japan,1693,2020-03-28T00:00:00Z
Japan,1866,2020-03-29T00:00:00Z
Japan,1866,2020-03-30T00:00:00Z
Japan,1953,2020-03-31T00:00:00Z
Japan,2178,2020-04-01T00:00:00Z
Japan,2495,2020-04-02T00:00:00Z
Japan,2617,2020-04-03T00:00:00Z
Japan,3139,2020-04-04T00:00:00Z
Japan,3139,2020-04-05T00:00:00Z
Japan,3654,2020-04-06T00:00:00Z
Japan,3906,2020-04-07T00:00:00Z
Japan,4257,2020-04-08T00:00:00Z
Japan,4667,2020-04-09T00:00:00Z
Japan,5530,2020-04-10T00:00:00Z
Japan,6005,2020-04-11T00:00:00Z
Japan,6748,2020-04-12T00:00:00Z
Japan,7370,2020-04-13T00:00:00Z
Japan,7645,2020-04-14T00:00:00Z
Japan,8100,2020-04-15T00:00:00Z
Japan,8626,2020-04-16T00:00:00Z
Japan,9787,2020-04-17T00:00:00Z
Japan,10296,2020-04-18T00:00:00Z
Japan,10797,2020-04-19T00:00:00Z
Japan,10797,2020-04-20T00:00:00Z
Japan,11135,2020-04-21T00:00:00Z
Japan,11512,2020-04-22T00:00:00Z
Japan,12368,2020-04-23T00:00:00Z
Japan,12829,2020-04-24T00:00:00Z
Japan,13231,2020-04-25T00:00:00Z
Japan,13441,2020-04-26T00:00:00Z
Japan,14153,2020-04-27T00:00:00Z
Japan,13736,2020-04-28T00:00:00Z
Japan,13895,2020-04-29T00:00:00Z
Japan,14088,2020-04-30T00:00:00Z
Japan,14305,2020-05-01T00:00:00Z
Japan,14571,2020-05-02T00:00:00Z
Japan,14877,2020-05-03T00:00:00Z
Japan,15078,2020-05-04T00:00:00Z
Japan,15253,2020-05-05T00:00:00Z
Japan,15253,2020-05-06T00:00:00Z
Japan,15477,2020-05-07T00:00:00Z
Japan,15575,2020-05-08T00:00:00Z
Japan,15663,2020-05-09T00:00:00Z
Japan,15777,2020-05-10T00:00:00Z
Japan,15847,2020-05-11T00:00:00Z
Japan,15968,2020-05-12T00:00:00Z
Japan,16049,2020-05-13T00:00:00Z
Japan,16120,2020-05-14T00:00:00Z
Japan,16203,2020-05-15T00:00:00Z
Japan,16237,2020-05-16T00:00:00Z
