Country,Cases,Date
Jordan,1,2020-03-03T00:00:00Z
Jordan,1,2020-03-04T00:00:00Z
Jordan,1,2020-03-05T00:00:00Z
Jordan,1,2020-03-06T00:00:00Z
Jordan,1,2020-03-07T00:00:00Z
Jordan,1,2020-03-08T00:00:00Z
Jordan,1,2020-03-09T00:00:00Z
Jordan,1,2020-03-10T00:00:00Z
Jordan,1,2020-03-11T00:00:00Z
Jordan,1,2020-03-12T00:00:00Z
Jordan,1,2020-03-13T00:00:00Z
Jordan,1,2020-03-14T00:00:00Z
Jordan,8,2020-03-15T00:00:00Z
Jordan,17,2020-03-16T00:00:00Z
Jordan,34,2020-03-17T00:00:00Z
Jordan,52,2020-03-18T00:00:00Z
Jordan,69,2020-03-19T00:00:00Z
Jordan,85,2020-03-20T00:00:00Z
Jordan,85,2020-03-21T00:00:00Z
Jordan,112,2020-03-22T00:00:00Z
Jordan,127,2020-03-23T00:00:00Z
Jordan,154,2020-03-24T00:00:00Z
Jordan,172,2020-03-25T00:00:00Z
Jordan,212,2020-03-26T00:00:00Z
Jordan,235,2020-03-27T00:00:00Z
Jordan,246,2020-03-28T00:00:00Z
Jordan,259,2020-03-29T00:00:00Z
Jordan,268,2020-03-30T00:00:00Z
Jordan,274,2020-03-31T00:00:00Z
Jordan,278,2020-04-01T00:00:00Z
Jordan,299,2020-04-02T00:00:00Z
Jordan,310,2020-04-03T00:00:00Z
Jordan,323,2020-04-04T00:00:00Z
Jordan,345,2020-04-05T00:00:00Z
Jordan,349,2020-04-06T00:00:00Z
Jordan,353,2020-04-07T00:00:00Z
Jordan,358,2020-04-08T00:00:00Z
Jordan,372,2020-04-09T00:00:00Z
Jordan,372,2020-04-10T00:00:00Z
Jordan,381,2020-04-11T00:00:00Z
Jordan,389,2020-04-12T00:00:00Z
Jordan,391,2020-04-13T00:00:00Z
Jordan,397,2020-04-14T00:00:00Z
Jordan,401,2020-04-15T00:00:00Z
Jordan,402,2020-04-16T00:00:00Z
Jordan,407,2020-04-17T00:00:00Z
Jordan,413,2020-04-18T00:00:00Z
Jordan,417,2020-04-19T00:00:00Z
Jordan,425,2020-04-20T00:00:00Z
Jordan,428,2020-04-21T00:00:00Z
Jordan,435,2020-04-22T00:00:00Z
Jordan,437,2020-04-23T00:00:00Z
Jordan,441,2020-04-24T00:00:00Z
Jordan,444,2020-04-25T00:00:00Z
Jordan,447,2020-04-26T00:00:00Z
Jordan,449,2020-04-27T00:00:00Z
Jordan,449,2020-04-28T00:00:00Z
Jordan,451,2020-04-29T00:00:00Z
Jordan,453,2020-04-30T00:00:00Z
Jordan,459,2020-05-01T00:00:00Z
Jordan,460,2020-05-02T00:00:00Z
Jordan,461,2020-05-03T00:00:00Z
Jordan,465,2020-05-04T00:00:00Z
Jordan,471,2020-05-05T00:00:00Z
Jordan,473,2020-05-06T00:00:00Z
Jordan,494,2020-05-07T00:00:00Z
Jordan,508,2020-05-08T00:00:00Z
Jordan,522,2020-05-09T00:00:00Z
Jordan,540,2020-05-10T00:00:00Z
Jordan,562,2020-05-11T00:00:00Z
Jordan,576,2020-05-12T00:00:00Z
Jordan,582,2020-05-13T00:00:00Z
Jordan,586,2020-05-14T00:00:00Z
Jordan,596,2020-05-15T00:00:00Z
Jordan,607,2020-05-16T00:00:00Z
