Country,Cases,Date
Kazakhstan,4,2020-03-13T00:00:00Z
Kazakhstan,6,2020-03-14T00:00:00Z
Kazakhstan,9,2020-03-15T00:00:00Z
Kazakhstan,10,2020-03-16T00:00:00Z
Kazakhstan,33,2020-03-17T00:00:00Z
Kazakhstan,35,2020-03-18T00:00:00Z
Kazakhstan,44,2020-03-19T00:00:00Z
Kazakhstan,49,2020-03-20T00:00:00Z
Kazakhstan,53,2020-03-21T00:00:00Z
Kazakhstan,60,2020-03-22T00:00:00Z
Kazakhstan,62,2020-03-23T00:00:00Z
Kazakhstan,72,2020-03-24T00:00:00Z
Kazakhstan,81,2020-03-25T00:00:00Z
Kazakhstan,111,2020-03-26T00:00:00Z
Kazakhstan,150,2020-03-27T00:00:00Z
Kazakhstan,228,2020-03-28T00:00:00Z
Kazakhstan,284,2020-03-29T00:00:00Z
Kazakhstan,302,2020-03-30T00:00:00Z
Kazakhstan,343,2020-03-31T00:00:00Z
Kazakhstan,380,2020-04-01T00:00:00Z
Kazakhstan,435,2020-04-02T00:00:00Z
Kazakhstan,464,2020-04-03T00:00:00Z
Kazakhstan,531,2020-04-04T00:00:00Z
Kazakhstan,584,2020-04-05T00:00:00Z
Kazakhstan,662,2020-04-06T00:00:00Z
Kazakhstan,697,2020-04-07T00:00:00Z
Kazakhstan,727,2020-04-08T00:00:00Z
Kazakhstan,781,2020-04-09T00:00:00Z
Kazakhstan,812,2020-04-10T00:00:00Z
Kazakhstan,865,2020-04-11T00:00:00Z
Kazakhstan,951,2020-04-12T00:00:00Z
Kazakhstan,1091,2020-04-13T00:00:00Z
Kazakhstan,1232,2020-04-14T00:00:00Z
Kazakhstan,1295,2020-04-15T00:00:00Z
Kazakhstan,1402,2020-04-16T00:00:00Z
Kazakhstan,1546,2020-04-17T00:00:00Z
Kazakhstan,1615,2020-04-18T00:00:00Z
Kazakhstan,1676,2020-04-19T00:00:00Z
Kazakhstan,1852,2020-04-20T00:00:00Z
Kazakhstan,1995,2020-04-21T00:00:00Z
Kazakhstan,2135,2020-04-22T00:00:00Z
Kazakhstan,2289,2020-04-23T00:00:00Z
Kazakhstan,2482,2020-04-24T00:00:00Z
Kazakhstan,2601,2020-04-25T00:00:00Z
Kazakhstan,2717,2020-04-26T00:00:00Z
Kazakhstan,2835,2020-04-27T00:00:00Z
Kazakhstan,3027,2020-04-28T00:00:00Z
Kazakhstan,3138,2020-04-29T00:00:00Z
Kazakhstan,3402,2020-04-30T00:00:00Z
Kazakhstan,3597,2020-05-01T00:00:00Z
Kazakhstan,3857,2020-05-02T00:00:00Z
Kazakhstan,3920,2020-05-03T00:00:00Z
Kazakhstan,4049,2020-05-04T00:00:00Z
Kazakhstan,4205,2020-05-05T00:00:00Z
Kazakhstan,4422,2020-05-06T00:00:00Z
Kazakhstan,4578,2020-05-07T00:00:00Z
Kazakhstan,4834,2020-05-08T00:00:00Z
Kazakhstan,4975,2020-05-09T00:00:00Z
Kazakhstan,5090,2020-05-10T00:00:00Z
Kazakhstan,5207,2020-05-11T00:00:00Z
Kazakhstan,5279,2020-05-12T00:00:00Z
Kazakhstan,5417,2020-05-13T00:00:00Z
Kazakhstan,5571,2020-05-14T00:00:00Z
Kazakhstan,5689,2020-05-15T00:00:00Z
Kazakhstan,5850,2020-05-16T00:00:00Z
