Country,Cases,Date
Kenya,1,2020-03-13T00:00:00Z
Kenya,1,2020-03-14T00:00:00Z
Kenya,3,2020-03-15T00:00:00Z
Kenya,3,2020-03-16T00:00:00Z
Kenya,3,2020-03-17T00:00:00Z
Kenya,3,2020-03-18T00:00:00Z
Kenya,7,2020-03-19T00:00:00Z
Kenya,7,2020-03-20T00:00:00Z
Kenya,7,2020-03-21T00:00:00Z
Kenya,15,2020-03-22T00:00:00Z
Kenya,16,2020-03-23T00:00:00Z
Kenya,25,2020-03-24T00:00:00Z
Kenya,28,2020-03-25T00:00:00Z
Kenya,31,2020-03-26T00:00:00Z
Kenya,31,2020-03-27T00:00:00Z
Kenya,38,2020-03-28T00:00:00Z
Kenya,42,2020-03-29T00:00:00Z
Kenya,50,2020-03-30T00:00:00Z
Kenya,59,2020-03-31T00:00:00Z
Kenya,81,2020-04-01T00:00:00Z
Kenya,110,2020-04-02T00:00:00Z
Kenya,122,2020-04-03T00:00:00Z
Kenya,126,2020-04-04T00:00:00Z
Kenya,142,2020-04-05T00:00:00Z
Kenya,158,2020-04-06T00:00:00Z
Kenya,172,2020-04-07T00:00:00Z
Kenya,179,2020-04-08T00:00:00Z
Kenya,184,2020-04-09T00:00:00Z
Kenya,189,2020-04-10T00:00:00Z
Kenya,191,2020-04-11T00:00:00Z
Kenya,197,2020-04-12T00:00:00Z
Kenya,208,2020-04-13T00:00:00Z
Kenya,216,2020-04-14T00:00:00Z
Kenya,225,2020-04-15T00:00:00Z
Kenya,234,2020-04-16T00:00:00Z
Kenya,246,2020-04-17T00:00:00Z
Kenya,262,2020-04-18T00:00:00Z
Kenya,270,2020-04-19T00:00:00Z
Kenya,281,2020-04-20T00:00:00Z
Kenya,296,2020-04-21T00:00:00Z
Kenya,303,2020-04-22T00:00:00Z
Kenya,320,2020-04-23T00:00:00Z
Kenya,336,2020-04-24T00:00:00Z
Kenya,343,2020-04-25T00:00:00Z
Kenya,355,2020-04-26T00:00:00Z
Kenya,363,2020-04-27T00:00:00Z
Kenya,374,2020-04-28T00:00:00Z
Kenya,384,2020-04-29T00:00:00Z
Kenya,396,2020-04-30T00:00:00Z
Kenya,411,2020-05-01T00:00:00Z
Kenya,435,2020-05-02T00:00:00Z
Kenya,465,2020-05-03T00:00:00Z
Kenya,490,2020-05-04T00:00:00Z
Kenya,535,2020-05-05T00:00:00Z
Kenya,582,2020-05-06T00:00:00Z
Kenya,607,2020-05-07T00:00:00Z
Kenya,621,2020-05-08T00:00:00Z
Kenya,649,2020-05-09T00:00:00Z
Kenya,672,2020-05-10T00:00:00Z
Kenya,700,2020-05-11T00:00:00Z
Kenya,715,2020-05-12T00:00:00Z
Kenya,737,2020-05-13T00:00:00Z
Kenya,758,2020-05-14T00:00:00Z
Kenya,781,2020-05-15T00:00:00Z
Kenya,830,2020-05-16T00:00:00Z
