Country,Cases,Date
Korea (South),1,2020-01-22T00:00:00Z
Korea (South),1,2020-01-23T00:00:00Z
Korea (South),2,2020-01-24T00:00:00Z
Korea (South),2,2020-01-25T00:00:00Z
Korea (South),3,2020-01-26T00:00:00Z
Korea (South),4,2020-01-27T00:00:00Z
Korea (South),4,2020-01-28T00:00:00Z
Korea (South),4,2020-01-29T00:00:00Z
Korea (South),4,2020-01-30T00:00:00Z
Korea (South),11,2020-01-31T00:00:00Z
Korea (South),12,2020-02-01T00:00:00Z
Korea (South),15,2020-02-02T00:00:00Z
Korea (South),15,2020-02-03T00:00:00Z
Korea (South),16,2020-02-04T00:00:00Z
Korea (South),19,2020-02-05T00:00:00Z
Korea (South),23,2020-02-06T00:00:00Z
Korea (South),24,2020-02-07T00:00:00Z
Korea (South),24,2020-02-08T00:00:00Z
Korea (South),25,2020-02-09T00:00:00Z
Korea (South),27,2020-02-10T00:00:00Z
Korea (South),28,2020-02-11T00:00:00Z
Korea (South),28,2020-02-12T00:00:00Z
Korea (South),28,2020-02-13T00:00:00Z
Korea (South),28,2020-02-14T00:00:00Z
Korea (South),28,2020-02-15T00:00:00Z
Korea (South),29,2020-02-16T00:00:00Z
Korea (South),30,2020-02-17T00:00:00Z
Korea (South),31,2020-02-18T00:00:00Z
Korea (South),31,2020-02-19T00:00:00Z
Korea (South),104,2020-02-20T00:00:00Z
Korea (South),204,2020-02-21T00:00:00Z
Korea (South),433,2020-02-22T00:00:00Z
Korea (South),602,2020-02-23T00:00:00Z
Korea (South),833,2020-02-24T00:00:00Z
Korea (South),977,2020-02-25T00:00:00Z
Korea (South),1261,2020-02-26T00:00:00Z
Korea (South),1766,2020-02-27T00:00:00Z
Korea (South),2337,2020-02-28T00:00:00Z
Korea (South),3150,2020-02-29T00:00:00Z
Korea (South),3736,2020-03-01T00:00:00Z
Korea (South),4335,2020-03-02T00:00:00Z
Korea (South),5186,2020-03-03T00:00:00Z
Korea (South),5621,2020-03-04T00:00:00Z
Korea (South),6088,2020-03-05T00:00:00Z
Korea (South),6593,2020-03-06T00:00:00Z
Korea (South),7041,2020-03-07T00:00:00Z
Korea (South),7314,2020-03-08T00:00:00Z
Korea (South),7478,2020-03-09T00:00:00Z
Korea (South),7513,2020-03-10T00:00:00Z
Korea (South),7755,2020-03-11T00:00:00Z
Korea (South),7869,2020-03-12T00:00:00Z
Korea (South),7979,2020-03-13T00:00:00Z
Korea (South),8086,2020-03-14T00:00:00Z
Korea (South),8162,2020-03-15T00:00:00Z
Korea (South),8236,2020-03-16T00:00:00Z
Korea (South),8320,2020-03-17T00:00:00Z
Korea (South),8413,2020-03-18T00:00:00Z
Korea (South),8565,2020-03-19T00:00:00Z
Korea (South),8652,2020-03-20T00:00:00Z
Korea (South),8799,2020-03-21T00:00:00Z
Korea (South),8961,2020-03-22T00:00:00Z
Korea (South),8961,2020-03-23T00:00:00Z
Korea (South),9037,2020-03-24T00:00:00Z
Korea (South),9137,2020-03-25T00:00:00Z
Korea (South),9241,2020-03-26T00:00:00Z
Korea (South),9332,2020-03-27T00:00:00Z
Korea (South),9478,2020-03-28T00:00:00Z
Korea (South),9583,2020-03-29T00:00:00Z
Korea (South),9661,2020-03-30T00:00:00Z
Korea (South),9786,2020-03-31T00:00:00Z
Korea (South),9887,2020-04-01T00:00:00Z
Korea (South),9976,2020-04-02T00:00:00Z
Korea (South),10062,2020-04-03T00:00:00Z
Korea (South),10156,2020-04-04T00:00:00Z
Korea (South),10237,2020-04-05T00:00:00Z
Korea (South),10284,2020-04-06T00:00:00Z
Korea (South),10331,2020-04-07T00:00:00Z
Korea (South),10384,2020-04-08T00:00:00Z
Korea (South),10423,2020-04-09T00:00:00Z
Korea (South),10450,2020-04-10T00:00:00Z
Korea (South),10480,2020-04-11T00:00:00Z
Korea (South),10512,2020-04-12T00:00:00Z
Korea (South),10537,2020-04-13T00:00:00Z
Korea (South),10564,2020-04-14T00:00:00Z
Korea (South),10591,2020-04-15T00:00:00Z
Korea (South),10613,2020-04-16T00:00:00Z
Korea (South),10635,2020-04-17T00:00:00Z
Korea (South),10653,2020-04-18T00:00:00Z
Korea (South),10661,2020-04-19T00:00:00Z
Korea (South),10674,2020-04-20T00:00:00Z
Korea (South),10683,2020-04-21T00:00:00Z
Korea (South),10694,2020-04-22T00:00:00Z
Korea (South),10708,2020-04-23T00:00:00Z
Korea (South),10718,2020-04-24T00:00:00Z
Korea (South),10728,2020-04-25T00:00:00Z
Korea (South),10738,2020-04-26T00:00:00Z
Korea (South),10752,2020-04-27T00:00:00Z
Korea (South),10761,2020-04-28T00:00:00Z
Korea (South),10765,2020-04-29T00:00:00Z
Korea (South),10774,2020-04-30T00:00:00Z
Korea (South),10780,2020-05-01T00:00:00Z
Korea (South),10793,2020-05-02T00:00:00Z
Korea (South),10801,2020-05-03T00:00:00Z
Korea (South),10804,2020-05-04T00:00:00Z
Korea (South),10806,2020-05-05T00:00:00Z
Korea (South),10810,2020-05-06T00:00:00Z
Korea (South),10822,2020-05-07T00:00:00Z
Korea (South),10840,2020-05-08T00:00:00Z
Korea (South),10874,2020-05-09T00:00:00Z
Korea (South),10909,2020-05-10T00:00:00Z
Korea (South),10936,2020-05-11T00:00:00Z
Korea (South),10962,2020-05-12T00:00:00Z
Korea (South),10991,2020-05-13T00:00:00Z
Korea (South),11018,2020-05-14T00:00:00Z
Korea (South),11037,2020-05-15T00:00:00Z
Korea (South),11050,2020-05-16T00:00:00Z
