Country,Cases,Date
Republic of Kosovo,71,2020-03-26T00:00:00Z
Republic of Kosovo,86,2020-03-27T00:00:00Z
Republic of Kosovo,91,2020-03-28T00:00:00Z
Republic of Kosovo,94,2020-03-29T00:00:00Z
Republic of Kosovo,94,2020-03-30T00:00:00Z
Republic of Kosovo,112,2020-03-31T00:00:00Z
Republic of Kosovo,125,2020-04-01T00:00:00Z
Republic of Kosovo,125,2020-04-02T00:00:00Z
Republic of Kosovo,126,2020-04-03T00:00:00Z
Republic of Kosovo,135,2020-04-04T00:00:00Z
Republic of Kosovo,145,2020-04-05T00:00:00Z
Republic of Kosovo,145,2020-04-06T00:00:00Z
Republic of Kosovo,170,2020-04-07T00:00:00Z
Republic of Kosovo,184,2020-04-08T00:00:00Z
Republic of Kosovo,184,2020-04-09T00:00:00Z
Republic of Kosovo,250,2020-04-10T00:00:00Z
Republic of Kosovo,283,2020-04-11T00:00:00Z
Republic of Kosovo,283,2020-04-12T00:00:00Z
Republic of Kosovo,283,2020-04-13T00:00:00Z
Republic of Kosovo,387,2020-04-14T00:00:00Z
Republic of Kosovo,387,2020-04-15T00:00:00Z
Republic of Kosovo,449,2020-04-16T00:00:00Z
Republic of Kosovo,480,2020-04-17T00:00:00Z
Republic of Kosovo,510,2020-04-18T00:00:00Z
Republic of Kosovo,561,2020-04-19T00:00:00Z
Republic of Kosovo,598,2020-04-20T00:00:00Z
Republic of Kosovo,604,2020-04-21T00:00:00Z
Republic of Kosovo,630,2020-04-22T00:00:00Z
Republic of Kosovo,669,2020-04-23T00:00:00Z
Republic of Kosovo,703,2020-04-24T00:00:00Z
Republic of Kosovo,731,2020-04-25T00:00:00Z
Republic of Kosovo,763,2020-04-26T00:00:00Z
Republic of Kosovo,780,2020-04-27T00:00:00Z
Republic of Kosovo,790,2020-04-28T00:00:00Z
Republic of Kosovo,799,2020-04-29T00:00:00Z
Republic of Kosovo,806,2020-04-30T00:00:00Z
Republic of Kosovo,806,2020-05-01T00:00:00Z
Republic of Kosovo,823,2020-05-02T00:00:00Z
Republic of Kosovo,851,2020-05-03T00:00:00Z
Republic of Kosovo,855,2020-05-04T00:00:00Z
Republic of Kosovo,856,2020-05-05T00:00:00Z
Republic of Kosovo,856,2020-05-06T00:00:00Z
Republic of Kosovo,861,2020-05-07T00:00:00Z
Republic of Kosovo,861,2020-05-08T00:00:00Z
Republic of Kosovo,862,2020-05-09T00:00:00Z
Republic of Kosovo,870,2020-05-10T00:00:00Z
Republic of Kosovo,884,2020-05-11T00:00:00Z
Republic of Kosovo,919,2020-05-12T00:00:00Z
Republic of Kosovo,919,2020-05-13T00:00:00Z
Republic of Kosovo,944,2020-05-14T00:00:00Z
Republic of Kosovo,944,2020-05-15T00:00:00Z
Republic of Kosovo,944,2020-05-16T00:00:00Z
