Country,Cases,Date
Kuwait,1,2020-02-24T00:00:00Z
Kuwait,11,2020-02-25T00:00:00Z
Kuwait,26,2020-02-26T00:00:00Z
Kuwait,43,2020-02-27T00:00:00Z
Kuwait,45,2020-02-28T00:00:00Z
Kuwait,45,2020-02-29T00:00:00Z
Kuwait,45,2020-03-01T00:00:00Z
Kuwait,56,2020-03-02T00:00:00Z
Kuwait,56,2020-03-03T00:00:00Z
Kuwait,56,2020-03-04T00:00:00Z
Kuwait,58,2020-03-05T00:00:00Z
Kuwait,58,2020-03-06T00:00:00Z
Kuwait,61,2020-03-07T00:00:00Z
Kuwait,64,2020-03-08T00:00:00Z
Kuwait,64,2020-03-09T00:00:00Z
Kuwait,69,2020-03-10T00:00:00Z
Kuwait,72,2020-03-11T00:00:00Z
Kuwait,80,2020-03-12T00:00:00Z
Kuwait,80,2020-03-13T00:00:00Z
Kuwait,104,2020-03-14T00:00:00Z
Kuwait,112,2020-03-15T00:00:00Z
Kuwait,123,2020-03-16T00:00:00Z
Kuwait,130,2020-03-17T00:00:00Z
Kuwait,142,2020-03-18T00:00:00Z
Kuwait,148,2020-03-19T00:00:00Z
Kuwait,159,2020-03-20T00:00:00Z
Kuwait,176,2020-03-21T00:00:00Z
Kuwait,188,2020-03-22T00:00:00Z
Kuwait,189,2020-03-23T00:00:00Z
Kuwait,191,2020-03-24T00:00:00Z
Kuwait,195,2020-03-25T00:00:00Z
Kuwait,208,2020-03-26T00:00:00Z
Kuwait,225,2020-03-27T00:00:00Z
Kuwait,235,2020-03-28T00:00:00Z
Kuwait,255,2020-03-29T00:00:00Z
Kuwait,266,2020-03-30T00:00:00Z
Kuwait,289,2020-03-31T00:00:00Z
Kuwait,317,2020-04-01T00:00:00Z
Kuwait,342,2020-04-02T00:00:00Z
Kuwait,417,2020-04-03T00:00:00Z
Kuwait,479,2020-04-04T00:00:00Z
Kuwait,556,2020-04-05T00:00:00Z
Kuwait,665,2020-04-06T00:00:00Z
Kuwait,743,2020-04-07T00:00:00Z
Kuwait,855,2020-04-08T00:00:00Z
Kuwait,910,2020-04-09T00:00:00Z
Kuwait,993,2020-04-10T00:00:00Z
Kuwait,1154,2020-04-11T00:00:00Z
Kuwait,1234,2020-04-12T00:00:00Z
Kuwait,1300,2020-04-13T00:00:00Z
Kuwait,1355,2020-04-14T00:00:00Z
Kuwait,1405,2020-04-15T00:00:00Z
Kuwait,1524,2020-04-16T00:00:00Z
Kuwait,1658,2020-04-17T00:00:00Z
Kuwait,1751,2020-04-18T00:00:00Z
Kuwait,1915,2020-04-19T00:00:00Z
Kuwait,1995,2020-04-20T00:00:00Z
Kuwait,2080,2020-04-21T00:00:00Z
Kuwait,2248,2020-04-22T00:00:00Z
Kuwait,2399,2020-04-23T00:00:00Z
Kuwait,2614,2020-04-24T00:00:00Z
Kuwait,2892,2020-04-25T00:00:00Z
Kuwait,3075,2020-04-26T00:00:00Z
Kuwait,3288,2020-04-27T00:00:00Z
Kuwait,3440,2020-04-28T00:00:00Z
Kuwait,3740,2020-04-29T00:00:00Z
Kuwait,4024,2020-04-30T00:00:00Z
Kuwait,4377,2020-05-01T00:00:00Z
Kuwait,4619,2020-05-02T00:00:00Z
Kuwait,4983,2020-05-03T00:00:00Z
Kuwait,5278,2020-05-04T00:00:00Z
Kuwait,5804,2020-05-05T00:00:00Z
Kuwait,6289,2020-05-06T00:00:00Z
Kuwait,6567,2020-05-07T00:00:00Z
Kuwait,7208,2020-05-08T00:00:00Z
Kuwait,7623,2020-05-09T00:00:00Z
Kuwait,8688,2020-05-10T00:00:00Z
Kuwait,9286,2020-05-11T00:00:00Z
Kuwait,10277,2020-05-12T00:00:00Z
Kuwait,11028,2020-05-13T00:00:00Z
Kuwait,11975,2020-05-14T00:00:00Z
Kuwait,12860,2020-05-15T00:00:00Z
Kuwait,13802,2020-05-16T00:00:00Z
