Country,Cases,Date
Latvia,1,2020-03-02T00:00:00Z
Latvia,1,2020-03-03T00:00:00Z
Latvia,1,2020-03-04T00:00:00Z
Latvia,1,2020-03-05T00:00:00Z
Latvia,1,2020-03-06T00:00:00Z
Latvia,1,2020-03-07T00:00:00Z
Latvia,2,2020-03-08T00:00:00Z
Latvia,6,2020-03-09T00:00:00Z
Latvia,8,2020-03-10T00:00:00Z
Latvia,10,2020-03-11T00:00:00Z
Latvia,10,2020-03-12T00:00:00Z
Latvia,17,2020-03-13T00:00:00Z
Latvia,26,2020-03-14T00:00:00Z
Latvia,30,2020-03-15T00:00:00Z
Latvia,34,2020-03-16T00:00:00Z
Latvia,49,2020-03-17T00:00:00Z
Latvia,71,2020-03-18T00:00:00Z
Latvia,86,2020-03-19T00:00:00Z
Latvia,111,2020-03-20T00:00:00Z
Latvia,124,2020-03-21T00:00:00Z
Latvia,139,2020-03-22T00:00:00Z
Latvia,180,2020-03-23T00:00:00Z
Latvia,197,2020-03-24T00:00:00Z
Latvia,221,2020-03-25T00:00:00Z
Latvia,244,2020-03-26T00:00:00Z
Latvia,280,2020-03-27T00:00:00Z
Latvia,305,2020-03-28T00:00:00Z
Latvia,347,2020-03-29T00:00:00Z
Latvia,376,2020-03-30T00:00:00Z
Latvia,398,2020-03-31T00:00:00Z
Latvia,446,2020-04-01T00:00:00Z
Latvia,458,2020-04-02T00:00:00Z
Latvia,493,2020-04-03T00:00:00Z
Latvia,509,2020-04-04T00:00:00Z
Latvia,533,2020-04-05T00:00:00Z
Latvia,542,2020-04-06T00:00:00Z
Latvia,548,2020-04-07T00:00:00Z
Latvia,577,2020-04-08T00:00:00Z
Latvia,589,2020-04-09T00:00:00Z
Latvia,612,2020-04-10T00:00:00Z
Latvia,630,2020-04-11T00:00:00Z
Latvia,651,2020-04-12T00:00:00Z
Latvia,655,2020-04-13T00:00:00Z
Latvia,657,2020-04-14T00:00:00Z
Latvia,666,2020-04-15T00:00:00Z
Latvia,675,2020-04-16T00:00:00Z
Latvia,682,2020-04-17T00:00:00Z
Latvia,712,2020-04-18T00:00:00Z
Latvia,727,2020-04-19T00:00:00Z
Latvia,739,2020-04-20T00:00:00Z
Latvia,748,2020-04-21T00:00:00Z
Latvia,761,2020-04-22T00:00:00Z
Latvia,778,2020-04-23T00:00:00Z
Latvia,784,2020-04-24T00:00:00Z
Latvia,804,2020-04-25T00:00:00Z
Latvia,812,2020-04-26T00:00:00Z
Latvia,818,2020-04-27T00:00:00Z
Latvia,836,2020-04-28T00:00:00Z
Latvia,849,2020-04-29T00:00:00Z
Latvia,858,2020-04-30T00:00:00Z
Latvia,870,2020-05-01T00:00:00Z
Latvia,871,2020-05-02T00:00:00Z
Latvia,879,2020-05-03T00:00:00Z
Latvia,896,2020-05-04T00:00:00Z
Latvia,896,2020-05-05T00:00:00Z
Latvia,900,2020-05-06T00:00:00Z
Latvia,909,2020-05-07T00:00:00Z
Latvia,928,2020-05-08T00:00:00Z
Latvia,930,2020-05-09T00:00:00Z
Latvia,939,2020-05-10T00:00:00Z
Latvia,946,2020-05-11T00:00:00Z
Latvia,950,2020-05-12T00:00:00Z
Latvia,951,2020-05-13T00:00:00Z
Latvia,962,2020-05-14T00:00:00Z
Latvia,970,2020-05-15T00:00:00Z
Latvia,997,2020-05-16T00:00:00Z
