Country,Cases,Date
Lebanon,1,2020-02-21T00:00:00Z
Lebanon,1,2020-02-22T00:00:00Z
Lebanon,1,2020-02-23T00:00:00Z
Lebanon,1,2020-02-24T00:00:00Z
Lebanon,1,2020-02-25T00:00:00Z
Lebanon,2,2020-02-26T00:00:00Z
Lebanon,2,2020-02-27T00:00:00Z
Lebanon,2,2020-02-28T00:00:00Z
Lebanon,4,2020-02-29T00:00:00Z
Lebanon,10,2020-03-01T00:00:00Z
Lebanon,13,2020-03-02T00:00:00Z
Lebanon,13,2020-03-03T00:00:00Z
Lebanon,13,2020-03-04T00:00:00Z
Lebanon,16,2020-03-05T00:00:00Z
Lebanon,22,2020-03-06T00:00:00Z
Lebanon,22,2020-03-07T00:00:00Z
Lebanon,32,2020-03-08T00:00:00Z
Lebanon,32,2020-03-09T00:00:00Z
Lebanon,41,2020-03-10T00:00:00Z
Lebanon,61,2020-03-11T00:00:00Z
Lebanon,61,2020-03-12T00:00:00Z
Lebanon,77,2020-03-13T00:00:00Z
Lebanon,93,2020-03-14T00:00:00Z
Lebanon,110,2020-03-15T00:00:00Z
Lebanon,110,2020-03-16T00:00:00Z
Lebanon,120,2020-03-17T00:00:00Z
Lebanon,133,2020-03-18T00:00:00Z
Lebanon,157,2020-03-19T00:00:00Z
Lebanon,163,2020-03-20T00:00:00Z
Lebanon,187,2020-03-21T00:00:00Z
Lebanon,248,2020-03-22T00:00:00Z
Lebanon,267,2020-03-23T00:00:00Z
Lebanon,318,2020-03-24T00:00:00Z
Lebanon,333,2020-03-25T00:00:00Z
Lebanon,368,2020-03-26T00:00:00Z
Lebanon,391,2020-03-27T00:00:00Z
Lebanon,412,2020-03-28T00:00:00Z
Lebanon,438,2020-03-29T00:00:00Z
Lebanon,446,2020-03-30T00:00:00Z
Lebanon,470,2020-03-31T00:00:00Z
Lebanon,479,2020-04-01T00:00:00Z
Lebanon,494,2020-04-02T00:00:00Z
Lebanon,508,2020-04-03T00:00:00Z
Lebanon,520,2020-04-04T00:00:00Z
Lebanon,527,2020-04-05T00:00:00Z
Lebanon,541,2020-04-06T00:00:00Z
Lebanon,548,2020-04-07T00:00:00Z
Lebanon,576,2020-04-08T00:00:00Z
Lebanon,582,2020-04-09T00:00:00Z
Lebanon,609,2020-04-10T00:00:00Z
Lebanon,619,2020-04-11T00:00:00Z
Lebanon,630,2020-04-12T00:00:00Z
Lebanon,632,2020-04-13T00:00:00Z
Lebanon,641,2020-04-14T00:00:00Z
Lebanon,658,2020-04-15T00:00:00Z
Lebanon,663,2020-04-16T00:00:00Z
Lebanon,668,2020-04-17T00:00:00Z
Lebanon,672,2020-04-18T00:00:00Z
Lebanon,673,2020-04-19T00:00:00Z
Lebanon,677,2020-04-20T00:00:00Z
Lebanon,677,2020-04-21T00:00:00Z
Lebanon,682,2020-04-22T00:00:00Z
Lebanon,688,2020-04-23T00:00:00Z
Lebanon,696,2020-04-24T00:00:00Z
Lebanon,704,2020-04-25T00:00:00Z
Lebanon,707,2020-04-26T00:00:00Z
Lebanon,710,2020-04-27T00:00:00Z
Lebanon,717,2020-04-28T00:00:00Z
Lebanon,721,2020-04-29T00:00:00Z
Lebanon,725,2020-04-30T00:00:00Z
Lebanon,729,2020-05-01T00:00:00Z
Lebanon,733,2020-05-02T00:00:00Z
Lebanon,737,2020-05-03T00:00:00Z
Lebanon,740,2020-05-04T00:00:00Z
Lebanon,741,2020-05-05T00:00:00Z
Lebanon,750,2020-05-06T00:00:00Z
Lebanon,784,2020-05-07T00:00:00Z
Lebanon,796,2020-05-08T00:00:00Z
Lebanon,809,2020-05-09T00:00:00Z
Lebanon,845,2020-05-10T00:00:00Z
Lebanon,859,2020-05-11T00:00:00Z
Lebanon,870,2020-05-12T00:00:00Z
Lebanon,878,2020-05-13T00:00:00Z
Lebanon,886,2020-05-14T00:00:00Z
Lebanon,891,2020-05-15T00:00:00Z
Lebanon,902,2020-05-16T00:00:00Z
