Country,Cases,Date
Liberia,1,2020-03-16T00:00:00Z
Liberia,1,2020-03-17T00:00:00Z
Liberia,2,2020-03-18T00:00:00Z
Liberia,2,2020-03-19T00:00:00Z
Liberia,2,2020-03-20T00:00:00Z
Liberia,3,2020-03-21T00:00:00Z
Liberia,3,2020-03-22T00:00:00Z
Liberia,3,2020-03-23T00:00:00Z
Liberia,3,2020-03-24T00:00:00Z
Liberia,3,2020-03-25T00:00:00Z
Liberia,3,2020-03-26T00:00:00Z
Liberia,3,2020-03-27T00:00:00Z
Liberia,3,2020-03-28T00:00:00Z
Liberia,3,2020-03-29T00:00:00Z
Liberia,3,2020-03-30T00:00:00Z
Liberia,3,2020-03-31T00:00:00Z
Liberia,6,2020-04-01T00:00:00Z
Liberia,6,2020-04-02T00:00:00Z
Liberia,7,2020-04-03T00:00:00Z
Liberia,10,2020-04-04T00:00:00Z
Liberia,13,2020-04-05T00:00:00Z
Liberia,14,2020-04-06T00:00:00Z
Liberia,14,2020-04-07T00:00:00Z
Liberia,31,2020-04-08T00:00:00Z
Liberia,31,2020-04-09T00:00:00Z
Liberia,37,2020-04-10T00:00:00Z
Liberia,48,2020-04-11T00:00:00Z
Liberia,50,2020-04-12T00:00:00Z
Liberia,59,2020-04-13T00:00:00Z
Liberia,59,2020-04-14T00:00:00Z
Liberia,59,2020-04-15T00:00:00Z
Liberia,59,2020-04-16T00:00:00Z
Liberia,76,2020-04-17T00:00:00Z
Liberia,76,2020-04-18T00:00:00Z
Liberia,91,2020-04-19T00:00:00Z
Liberia,99,2020-04-20T00:00:00Z
Liberia,101,2020-04-21T00:00:00Z
Liberia,101,2020-04-22T00:00:00Z
Liberia,101,2020-04-23T00:00:00Z
Liberia,117,2020-04-24T00:00:00Z
Liberia,120,2020-04-25T00:00:00Z
Liberia,124,2020-04-26T00:00:00Z
Liberia,124,2020-04-27T00:00:00Z
Liberia,141,2020-04-28T00:00:00Z
Liberia,141,2020-04-29T00:00:00Z
Liberia,141,2020-04-30T00:00:00Z
Liberia,152,2020-05-01T00:00:00Z
Liberia,154,2020-05-02T00:00:00Z
Liberia,158,2020-05-03T00:00:00Z
Liberia,166,2020-05-04T00:00:00Z
Liberia,170,2020-05-05T00:00:00Z
Liberia,178,2020-05-06T00:00:00Z
Liberia,189,2020-05-07T00:00:00Z
Liberia,199,2020-05-08T00:00:00Z
Liberia,199,2020-05-09T00:00:00Z
Liberia,199,2020-05-10T00:00:00Z
Liberia,211,2020-05-11T00:00:00Z
Liberia,211,2020-05-12T00:00:00Z
Liberia,213,2020-05-13T00:00:00Z
Liberia,215,2020-05-14T00:00:00Z
Liberia,219,2020-05-15T00:00:00Z
Liberia,223,2020-05-16T00:00:00Z
