Country,Cases,Date
Libya,1,2020-03-24T00:00:00Z
Libya,1,2020-03-25T00:00:00Z
Libya,1,2020-03-26T00:00:00Z
Libya,1,2020-03-27T00:00:00Z
Libya,3,2020-03-28T00:00:00Z
Libya,8,2020-03-29T00:00:00Z
Libya,8,2020-03-30T00:00:00Z
Libya,10,2020-03-31T00:00:00Z
Libya,10,2020-04-01T00:00:00Z
Libya,11,2020-04-02T00:00:00Z
Libya,11,2020-04-03T00:00:00Z
Libya,18,2020-04-04T00:00:00Z
Libya,18,2020-04-05T00:00:00Z
Libya,19,2020-04-06T00:00:00Z
Libya,20,2020-04-07T00:00:00Z
Libya,21,2020-04-08T00:00:00Z
Libya,24,2020-04-09T00:00:00Z
Libya,24,2020-04-10T00:00:00Z
Libya,24,2020-04-11T00:00:00Z
Libya,25,2020-04-12T00:00:00Z
Libya,26,2020-04-13T00:00:00Z
Libya,35,2020-04-14T00:00:00Z
Libya,48,2020-04-15T00:00:00Z
Libya,49,2020-04-16T00:00:00Z
Libya,49,2020-04-17T00:00:00Z
Libya,49,2020-04-18T00:00:00Z
Libya,51,2020-04-19T00:00:00Z
Libya,51,2020-04-20T00:00:00Z
Libya,51,2020-04-21T00:00:00Z
Libya,59,2020-04-22T00:00:00Z
Libya,60,2020-04-23T00:00:00Z
Libya,61,2020-04-24T00:00:00Z
Libya,61,2020-04-25T00:00:00Z
Libya,61,2020-04-26T00:00:00Z
Libya,61,2020-04-27T00:00:00Z
Libya,61,2020-04-28T00:00:00Z
Libya,61,2020-04-29T00:00:00Z
Libya,61,2020-04-30T00:00:00Z
Libya,63,2020-05-01T00:00:00Z
Libya,63,2020-05-02T00:00:00Z
Libya,63,2020-05-03T00:00:00Z
Libya,63,2020-05-04T00:00:00Z
Libya,63,2020-05-05T00:00:00Z
Libya,64,2020-05-06T00:00:00Z
Libya,64,2020-05-07T00:00:00Z
Libya,64,2020-05-08T00:00:00Z
Libya,64,2020-05-09T00:00:00Z
Libya,64,2020-05-10T00:00:00Z
Libya,64,2020-05-11T00:00:00Z
Libya,64,2020-05-12T00:00:00Z
Libya,64,2020-05-13T00:00:00Z
Libya,64,2020-05-14T00:00:00Z
Libya,64,2020-05-15T00:00:00Z
Libya,65,2020-05-16T00:00:00Z
