Country,Cases,Date
Luxembourg,1,2020-02-29T00:00:00Z
Luxembourg,1,2020-03-01T00:00:00Z
Luxembourg,1,2020-03-02T00:00:00Z
Luxembourg,1,2020-03-03T00:00:00Z
Luxembourg,1,2020-03-04T00:00:00Z
Luxembourg,1,2020-03-05T00:00:00Z
Luxembourg,2,2020-03-06T00:00:00Z
Luxembourg,2,2020-03-07T00:00:00Z
Luxembourg,3,2020-03-08T00:00:00Z
Luxembourg,3,2020-03-09T00:00:00Z
Luxembourg,5,2020-03-10T00:00:00Z
Luxembourg,7,2020-03-11T00:00:00Z
Luxembourg,19,2020-03-12T00:00:00Z
Luxembourg,34,2020-03-13T00:00:00Z
Luxembourg,51,2020-03-14T00:00:00Z
Luxembourg,59,2020-03-15T00:00:00Z
Luxembourg,77,2020-03-16T00:00:00Z
Luxembourg,140,2020-03-17T00:00:00Z
Luxembourg,203,2020-03-18T00:00:00Z
Luxembourg,335,2020-03-19T00:00:00Z
Luxembourg,484,2020-03-20T00:00:00Z
Luxembourg,670,2020-03-21T00:00:00Z
Luxembourg,798,2020-03-22T00:00:00Z
Luxembourg,875,2020-03-23T00:00:00Z
Luxembourg,1099,2020-03-24T00:00:00Z
Luxembourg,1333,2020-03-25T00:00:00Z
Luxembourg,1453,2020-03-26T00:00:00Z
Luxembourg,1605,2020-03-27T00:00:00Z
Luxembourg,1831,2020-03-28T00:00:00Z
Luxembourg,1950,2020-03-29T00:00:00Z
Luxembourg,1988,2020-03-30T00:00:00Z
Luxembourg,2178,2020-03-31T00:00:00Z
Luxembourg,2319,2020-04-01T00:00:00Z
Luxembourg,2487,2020-04-02T00:00:00Z
Luxembourg,2612,2020-04-03T00:00:00Z
Luxembourg,2729,2020-04-04T00:00:00Z
Luxembourg,2804,2020-04-05T00:00:00Z
Luxembourg,2843,2020-04-06T00:00:00Z
Luxembourg,2970,2020-04-07T00:00:00Z
Luxembourg,3034,2020-04-08T00:00:00Z
Luxembourg,3115,2020-04-09T00:00:00Z
Luxembourg,3223,2020-04-10T00:00:00Z
Luxembourg,3270,2020-04-11T00:00:00Z
Luxembourg,3281,2020-04-12T00:00:00Z
Luxembourg,3292,2020-04-13T00:00:00Z
Luxembourg,3307,2020-04-14T00:00:00Z
Luxembourg,3373,2020-04-15T00:00:00Z
Luxembourg,3444,2020-04-16T00:00:00Z
Luxembourg,3480,2020-04-17T00:00:00Z
Luxembourg,3537,2020-04-18T00:00:00Z
Luxembourg,3550,2020-04-19T00:00:00Z
Luxembourg,3558,2020-04-20T00:00:00Z
Luxembourg,3618,2020-04-21T00:00:00Z
Luxembourg,3654,2020-04-22T00:00:00Z
Luxembourg,3665,2020-04-23T00:00:00Z
Luxembourg,3695,2020-04-24T00:00:00Z
Luxembourg,3711,2020-04-25T00:00:00Z
Luxembourg,3723,2020-04-26T00:00:00Z
Luxembourg,3729,2020-04-27T00:00:00Z
Luxembourg,3741,2020-04-28T00:00:00Z
Luxembourg,3769,2020-04-29T00:00:00Z
Luxembourg,3784,2020-04-30T00:00:00Z
Luxembourg,3802,2020-05-01T00:00:00Z
Luxembourg,3812,2020-05-02T00:00:00Z
Luxembourg,3824,2020-05-03T00:00:00Z
Luxembourg,3828,2020-05-04T00:00:00Z
Luxembourg,3840,2020-05-05T00:00:00Z
Luxembourg,3851,2020-05-06T00:00:00Z
Luxembourg,3859,2020-05-07T00:00:00Z
Luxembourg,3871,2020-05-08T00:00:00Z
Luxembourg,3877,2020-05-09T00:00:00Z
Luxembourg,3886,2020-05-10T00:00:00Z
Luxembourg,3888,2020-05-11T00:00:00Z
Luxembourg,3894,2020-05-12T00:00:00Z
Luxembourg,3904,2020-05-13T00:00:00Z
Luxembourg,3915,2020-05-14T00:00:00Z
Luxembourg,3923,2020-05-15T00:00:00Z
Luxembourg,3930,2020-05-16T00:00:00Z
