Country,Cases,Date
"Macedonia, Republic of",1,2020-02-26T00:00:00Z
"Macedonia, Republic of",1,2020-02-27T00:00:00Z
"Macedonia, Republic of",1,2020-02-28T00:00:00Z
"Macedonia, Republic of",1,2020-02-29T00:00:00Z
"Macedonia, Republic of",1,2020-03-01T00:00:00Z
"Macedonia, Republic of",1,2020-03-02T00:00:00Z
"Macedonia, Republic of",1,2020-03-03T00:00:00Z
"Macedonia, Republic of",1,2020-03-04T00:00:00Z
"Macedonia, Republic of",1,2020-03-05T00:00:00Z
"Macedonia, Republic of",3,2020-03-06T00:00:00Z
"Macedonia, Republic of",3,2020-03-07T00:00:00Z
"Macedonia, Republic of",3,2020-03-08T00:00:00Z
"Macedonia, Republic of",3,2020-03-09T00:00:00Z
"Macedonia, Republic of",7,2020-03-10T00:00:00Z
"Macedonia, Republic of",7,2020-03-11T00:00:00Z
"Macedonia, Republic of",7,2020-03-12T00:00:00Z
"Macedonia, Republic of",14,2020-03-13T00:00:00Z
"Macedonia, Republic of",14,2020-03-14T00:00:00Z
"Macedonia, Republic of",14,2020-03-15T00:00:00Z
"Macedonia, Republic of",18,2020-03-16T00:00:00Z
"Macedonia, Republic of",26,2020-03-17T00:00:00Z
"Macedonia, Republic of",35,2020-03-18T00:00:00Z
"Macedonia, Republic of",48,2020-03-19T00:00:00Z
"Macedonia, Republic of",67,2020-03-20T00:00:00Z
"Macedonia, Republic of",85,2020-03-21T00:00:00Z
"Macedonia, Republic of",115,2020-03-22T00:00:00Z
"Macedonia, Republic of",136,2020-03-23T00:00:00Z
"Macedonia, Republic of",148,2020-03-24T00:00:00Z
"Macedonia, Republic of",177,2020-03-25T00:00:00Z
"Macedonia, Republic of",201,2020-03-26T00:00:00Z
"Macedonia, Republic of",219,2020-03-27T00:00:00Z
"Macedonia, Republic of",241,2020-03-28T00:00:00Z
"Macedonia, Republic of",259,2020-03-29T00:00:00Z
"Macedonia, Republic of",285,2020-03-30T00:00:00Z
"Macedonia, Republic of",329,2020-03-31T00:00:00Z
"Macedonia, Republic of",354,2020-04-01T00:00:00Z
"Macedonia, Republic of",384,2020-04-02T00:00:00Z
"Macedonia, Republic of",430,2020-04-03T00:00:00Z
"Macedonia, Republic of",483,2020-04-04T00:00:00Z
"Macedonia, Republic of",555,2020-04-05T00:00:00Z
"Macedonia, Republic of",570,2020-04-06T00:00:00Z
"Macedonia, Republic of",599,2020-04-07T00:00:00Z
"Macedonia, Republic of",617,2020-04-08T00:00:00Z
"Macedonia, Republic of",663,2020-04-09T00:00:00Z
"Macedonia, Republic of",711,2020-04-10T00:00:00Z
"Macedonia, Republic of",760,2020-04-11T00:00:00Z
"Macedonia, Republic of",828,2020-04-12T00:00:00Z
"Macedonia, Republic of",854,2020-04-13T00:00:00Z
"Macedonia, Republic of",908,2020-04-14T00:00:00Z
"Macedonia, Republic of",974,2020-04-15T00:00:00Z
"Macedonia, Republic of",1081,2020-04-16T00:00:00Z
"Macedonia, Republic of",1117,2020-04-17T00:00:00Z
"Macedonia, Republic of",1170,2020-04-18T00:00:00Z
"Macedonia, Republic of",1207,2020-04-19T00:00:00Z
"Macedonia, Republic of",1225,2020-04-20T00:00:00Z
"Macedonia, Republic of",1231,2020-04-21T00:00:00Z
"Macedonia, Republic of",1259,2020-04-22T00:00:00Z
"Macedonia, Republic of",1300,2020-04-23T00:00:00Z
"Macedonia, Republic of",1326,2020-04-24T00:00:00Z
"Macedonia, Republic of",1367,2020-04-25T00:00:00Z
"Macedonia, Republic of",1386,2020-04-26T00:00:00Z
"Macedonia, Republic of",1399,2020-04-27T00:00:00Z
"Macedonia, Republic of",1421,2020-04-28T00:00:00Z
"Macedonia, Republic of",1442,2020-04-29T00:00:00Z
"Macedonia, Republic of",1465,2020-04-30T00:00:00Z
"Macedonia, Republic of",1494,2020-05-01T00:00:00Z
"Macedonia, Republic of",1506,2020-05-02T00:00:00Z
"Macedonia, Republic of",1511,2020-05-03T00:00:00Z
"Macedonia, Republic of",1518,2020-05-04T00:00:00Z
"Macedonia, Republic of",1526,2020-05-05T00:00:00Z
"Macedonia, Republic of",1539,2020-05-06T00:00:00Z
"Macedonia, Republic of",1572,2020-05-07T00:00:00Z
"Macedonia, Republic of",1586,2020-05-08T00:00:00Z
"Macedonia, Republic of",1622,2020-05-09T00:00:00Z
"Macedonia, Republic of",1642,2020-05-10T00:00:00Z
"Macedonia, Republic of",1664,2020-05-11T00:00:00Z
"Macedonia, Republic of",1674,2020-05-12T00:00:00Z
"Macedonia, Republic of",1694,2020-05-13T00:00:00Z
"Macedonia, Republic of",1723,2020-05-14T00:00:00Z
"Macedonia, Republic of",1740,2020-05-15T00:00:00Z
"Macedonia, Republic of",1762,2020-05-16T00:00:00Z
